"Home","Away","Field","Age.Group","Gender"
"Carolina Elite Soccer Academy ECNL U15","Richmond United ECNL U15","Mesa Complex - Field 4","U15","Girls"
"South Carolina United ECNL U15","NCFC Youth ECNL U15","SCUFC Monticello Road Complex - Stadium B","U15","Girls"
"McLean YSA ECNL U15","NC Fusion ECNL U15","Lewinsville Park - Field 3","U15","Girls"
"South Carolina United ECNL U15","Richmond United ECNL U15","SCUFC Monticello Road Complex - Stadium B","U15","Girls"
"BRYC Elite Academy ECNL U15","Carolina Rapids ECNL U15","Robinson High School - Stadium Turf","U15","Girls"
"Carolina Elite Soccer Academy ECNL U15","NCFC Youth ECNL U15","Mesa Complex - Field 4","U15","Girls"
"NC Fusion ECNL U15","Richmond United ECNL U15","BBandT Soccer Park - Field 3","U15","Girls"
"McLean YSA ECNL U15","Carolina Elite Soccer Academy ECNL U15","Lewinsville Park - Field 3","U15","Girls"
"Carolina Rapids ECNL U15","NCFC Youth ECNL U15","Ramblewood - Field 10","U15","Girls"
"BRYC Elite Academy ECNL U15","South Carolina United ECNL U15","Woodson High School - Auxiliary Turf Field","U15","Girls"
"NC Fusion ECNL U15","NCFC Youth ECNL U15","BP Field - BP 12","U15","Girls"
"BRYC Elite Academy ECNL U15","Carolina Elite Soccer Academy ECNL U15","Robinson High School - Stadium Turf","U15","Girls"
"Carolina Rapids ECNL U15","Richmond United ECNL U15","Matthews Sportsplex - Field 8","U15","Girls"
"McLean YSA ECNL U15","South Carolina United ECNL U15","Lewinsville Park - Field 2","U15","Girls"
"BRYC Elite Academy ECNL U15","NCFC Youth ECNL U15","Woodson High School - Stadium Turf","U15","Girls"
"McLean YSA ECNL U15","Richmond United ECNL U15","Lewinsville Park - Field 2","U15","Girls"
"South Carolina United ECNL U15","Carolina Rapids ECNL U15","SCUFC Monticello Road Complex - Stadium B","U15","Girls"
"NC Fusion ECNL U15","Carolina Elite Soccer Academy ECNL U15","BP Field - BP 08 Secret","U15","Girls"
"Richmond United ECNL U15","Carolina Elite Soccer Academy ECNL U15","River City Sportsplex - Field 11","U15","Girls"
"NC Fusion ECNL U15","McLean YSA ECNL U15","BP Field - BP 03 Wrangler","U15","Girls"
"NCFC Youth ECNL U15","South Carolina United ECNL U15","Bryan Park - Field 10","U15","Girls"
"Carolina Rapids ECNL U15","BRYC Elite Academy ECNL U15","Bailey Road Park - Field 2 (lower)","U15","Girls"
"Richmond United ECNL U15","South Carolina United ECNL U15","River City Sportsplex - Field 11","U15","Girls"
"NC Fusion ECNL U15","BRYC Elite Academy ECNL U15","BP Field - BP 02 Triton Management","U15","Girls"
"Carolina Rapids ECNL U15","McLean YSA ECNL U15","Ramblewood - Field 9","U15","Girls"
"NCFC Youth ECNL U15","Carolina Elite Soccer Academy ECNL U15","Bryan Park - Field 10","U15","Girls"
"Carolina Rapids ECNL U15","NC Fusion ECNL U15","Bailey Road Park - Field 1 (upper)","U15","Girls"
"South Carolina United ECNL U15","Carolina Elite Soccer Academy ECNL U15","River Bluff High School Stadium - Stadium","U15","Girls"
"Carolina Elite Soccer Academy ECNL U15","BRYC Elite Academy ECNL U15","Mesa Complex - Field 4","U15","Girls"
"South Carolina United ECNL U15","McLean YSA ECNL U15","SCUFC Monticello Road Complex - Stadium B","U15","Girls"
"NCFC Youth ECNL U15","NC Fusion ECNL U15","WRAL Soccer Center - Stadium","U15","Girls"
"Richmond United ECNL U15","Carolina Rapids ECNL U15","Ukrop Park - Turf Field 2","U15","Girls"
