"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51760010200",70.361328125,29.638671875,24.12109375,0,1.5380859375,0,1.953125,4.7,50946,"$50,000-74,999"
"51087200904",39.6266504780695,60.3733495219305,51.4342085293671,0,2.82288662923054,0,3.18713006526028,0,80152,"$75,000-99,999"
"51145500200",91.1367795059469,8.86322049405307,5.69533394327539,0.0800548947849954,0.274473924977127,0,1.89844464775846,4.3,78256,"$75,000-99,999"
"51041100921",65.7219335537711,34.2780664462289,15.4778774996064,0,7.36891828058573,0,9.88820658164069,7.7,67226,"$50,000-74,999"
"51085320300",84.9854612741211,15.0145387258789,11.7367168913561,0,1.74464710547185,0,0.660851176315094,6,86522,"$75,000-99,999"
"51041100819",21.6137888956681,78.3862111043319,56.5131177547285,0,1.81513117754728,0,17.1140939597315,19.7,51765,"$50,000-74,999"
"51041100505",66.4404357921057,33.5595642078943,25.2723700660832,0.214323986426148,0.946597606715485,0,4.80442936238614,15.6,72778,"$50,000-74,999"
"51075400100",87.024098103522,12.975901896478,6.8444317695708,0,1.48296021674034,0,2.49536574932269,4.9,107656,"$100,000+"
"51041101007",82.683576013778,17.316423986222,7.29607014247691,0,2.03538437451073,0.156568028808517,3.19398778769375,0,106816,"$100,000+"
"51121021000",92.4312387070869,7.56876129291307,4.296326038948,0.481830957639028,0,0,0.602288697048785,9.4,54730,"$50,000-74,999"
"51770002300",40.010612894667,59.989387105333,45.2241973998408,0,1.48580525338286,2.30830459007694,3.67471477845582,33.9,44338,"$25,000-49,999"
"51590001302",47.507953340403,52.492046659597,40.2969247083775,0,0,0,12.1951219512195,25.4,28056,"$25,000-49,999"
"51121020201",68.308615819209,31.691384180791,2.98375706214689,0.423728813559322,17.2139830508475,0.635593220338983,5.68502824858757,17.5,36500,"$25,000-49,999"
"51121020900",95.4063604240283,4.59363957597173,1.78641539065567,0,1.51158225363172,0,0.196309383588536,8.5,52598,"$50,000-74,999"
"51089010500",64.7698533131007,35.2301466868993,18.7658067779464,0,0,0,13.5306019221042,41.9,30357,"$25,000-49,999"
"51161030300",88.3566918219621,11.6433081780379,4.28153395964885,0,0.523640843985831,0,3.69628831048822,12.1,57265,"$50,000-74,999"
"51121020700",77.7777777777778,22.2222222222222,9.97732426303855,0,5.12471655328798,0,3.37112622826909,32.9,44518,"$25,000-49,999"
"51067020101",93.9195880372351,6.08041196276491,2.09942562883739,0.277282630223807,0,0,0.65359477124183,0,67931,"$50,000-74,999"
"51678930500",80.542922114838,19.457077885162,8.99658897100625,0,3.95110858442297,0,4.1785105173394,11.6,34464,"$25,000-49,999"
"51161030205",86.1103912930811,13.8896087069189,6.76341020989894,0,6.53018916817828,0,0.233221041720653,0,68997,"$50,000-74,999"
"51750010102",76.6850068775791,23.3149931224209,14.2022008253095,0.120357634112792,0.653370013755158,0,4.7111416781293,38.5,13979,"Under $25,000"
"51071930400",93.702726473175,6.29727352682498,5.52330694810906,0,0.140721196130167,0,0,7.4,46555,"$25,000-49,999"
"51515050100",,,,,,,,,,
"51031020101",75.5346896191967,24.4653103808033,17.6143279429664,0,1.00852025734655,0,5.320813771518,3,55823,"$50,000-74,999"
"51035080400",93.8369781312127,6.16302186878728,1.13862280860293,0,0.795228628230616,0,2.96403397795048,26,43644,"$25,000-49,999"
"51023040302",96.1466416911961,3.85335830880386,2.15413433235215,0.12041744715012,0,0,0.789403264650789,7.9,81382,"$75,000-99,999"
"51161031102",89.1818428920902,10.8181571079098,4.51209567817342,0,3.34329980973091,0,2.96276162000544,18.5,47669,"$25,000-49,999"
"51121021100",83.3572266388636,16.6427733611365,6.47725791737261,0.117294408966506,5.29128111560016,0,3.84465007167992,5.8,67778,"$50,000-74,999"
"51161030900",79.4803345791066,20.5196654208934,7.47463961558996,0,7.93735540131696,0,2.08222103577149,9.3,59120,"$50,000-74,999"
"51067020900",80.2642676412707,19.7357323587293,13.9865054821479,0,0,0,4.52628619623278,29.1,42418,"$25,000-49,999"
"51510200301",39.7315436241611,60.2684563758389,23.5167785234899,0,7.16778523489933,0,21.503355704698,10.3,94259,"$75,000-99,999"
"51510200404",70.7898259705489,29.2101740294511,13.574297188755,0,5.32797858099063,0,6.93440428380187,0,159526,"$100,000+"
"51510201801",70.9888357256778,29.0111642743222,14.4019138755981,0,6.74641148325359,0,6.34768740031898,4,115368,"$100,000+"
"51510201300",78.4022824536377,21.5977175463623,9.44365192582026,0,2.53922967189729,0,7.81740370898716,0,125800,"$100,000+"
"51059452102",39.4845078146422,60.5154921853578,3.7016726076227,0,29.4488620784206,0,25.1987935289279,7.2,102569,"$100,000+"
"51059452200",21.297082979326,78.702917020674,8.45369583687341,0,29.0427640894931,0,38.1053525913339,14.8,59715,"$50,000-74,999"
"51059452501",43.1060994361866,56.8939005638134,9.55920041004613,0,23.7057919015889,0,21.1430035879036,2.9,100521,"$100,000+"
"51059451300",62.2123536536132,37.7876463463868,2.58377069035123,0.524828421477594,12.636253532499,0,20.4683084376262,0,151705,"$100,000+"
"51013101300",75.5096181452771,24.4903818547229,0.933103646281941,0,7.09158771174275,0,9.93396497272466,1.1,182308,"$100,000+"
"51013100200",84.4741235392321,15.525876460768,0.242828957353164,0,5.08423129458188,0,7.08757019274548,0.3,205234,"$100,000+"
"51013103700",75.8726505561949,24.1273494438051,2.80015343306483,0,3.52896049098581,0,16.4556962025316,1.4,195658,"$100,000+"
