"Team","Age Group","Gender"
"Cincinnati United Premier U-12 Boys","U12","Boys"
"Cincinnati United Premier U-13 Boys","U13","Boys"
"Cincinnati United Premier U-14 Boys","U14","Boys"
"Cincinnati United Premier U-15 Boys","U15","Boys"
"Colorado Rapids U-12 Boys","U12","Boys"
"Colorado Rapids U-13 Boys","U13","Boys"
"Colorado Rapids U-14 Boys","U14","Boys"
"Colorado Rapids U-15 Boys","U15","Boys"
"Colorado Rapids U-16/17 Boys","U17","Boys"
"Colorado Rapids U-18/19 Boys","U19","Boys"
"Colorado Rush U-12 Boys","U12","Boys"
"Colorado Rush U-13 Boys","U13","Boys"
"Colorado Rush U-14 Boys","U14","Boys"
"Colorado Rush U-15 Boys","U15","Boys"
"Colorado Rush U-16/17 Boys","U17","Boys"
"Colorado Rush U-18/19 Boys","U19","Boys"
"Colorado Storm U-12 Boys","U12","Boys"
"Colorado Storm U-13 Boys","U13","Boys"
"Colorado Storm U-14 Boys","U14","Boys"
"Concorde Fire U-12 Boys","U12","Boys"
"Concorde Fire U-13 Boys","U13","Boys"
"Concorde Fire U-14 Boys","U14","Boys"
"Concorde Fire U-15 Boys","U15","Boys"
"Concorde Fire U-16/17 Boys","U17","Boys"
"Concorde Fire U-18/19 Boys","U19","Boys"
"Continental FC DELCO U-12 Boys","U12","Boys"
"Continental FC DELCO U-13 Boys","U13","Boys"
"Continental FC DELCO U-14 Boys","U14","Boys"
"Continental FC DELCO U-15 Boys","U15","Boys"
"Continental FC DELCO U-16/17 Boys","U17","Boys"
"Continental FC DELCO U-18/19 Boys","U19","Boys"
"Crew SC Academy U-12 Boys","U12","Boys"
"Crew SC Academy U-13 Boys","U13","Boys"
"Crew SC Academy U-14 Boys","U14","Boys"
"Crew SC Academy U-15 Boys","U15","Boys"
"Crew SC Academy U-16/17 Boys","U17","Boys"
"Crew SC Academy U-18/19 Boys","U19","Boys"
"Crew SC Academy Wolves U-12 Boys","U12","Boys"
"Crew SC Academy Wolves U-13 Boys","U13","Boys"
"Crew SC Academy Wolves U-14 Boys","U14","Boys"
"Crew SC Academy Wolves U-15 Boys","U15","Boys"
"Crew SC Academy Wolves U-16/17 Boys","U17","Boys"
"Crew SC Academy Wolves U-18/19 Boys","U19","Boys"
"Crossfire Oregon U-12 Boys","U12","Boys"
"Crossfire Oregon U-13 Boys","U13","Boys"
"Crossfire Oregon U-14 Boys","U14","Boys"
"Crossfire Premier I U-12 Boys","U12","Boys"
"Crossfire Premier II U-12 Boys","U12","Boys"
"Crossfire Premier U-13 Boys","U13","Boys"
"Crossfire Premier U-14 Boys","U14","Boys"
"Crossfire Premier U-15 Boys","U15","Boys"
"Crossfire Premier U-16/17 Boys","U17","Boys"
"Crossfire Premier U-18/19 Boys","U19","Boys"
"D.C. United U-12 Boys","U12","Boys"
"D.C. United U-13 Boys","U13","Boys"
"D.C. United U-14 Boys","U14","Boys"
"D.C. United U-15 Boys","U15","Boys"
"D.C. United U-16/17 Boys","U17","Boys"
"D.C. United U-18/19 Boys","U19","Boys"
"Dallas Texans U-12 Boys","U12","Boys"
