"Team","Age Group","Gender"
"Silicon Valley Soccer Academy U-12 Boys","U12","Boys"
"Silicon Valley Soccer Academy U-13 Boys","U13","Boys"
"Silicon Valley Soccer Academy U-14 Boys","U14","Boys"
"Silicon Valley Soccer Academy U-15 Boys","U15","Boys"
"Silicon Valley Soccer Academy U-16/17 Boys","U17","Boys"
"Silicon Valley Soccer Academy U-18/19 Boys","U19","Boys"
"Snohomish United U-12 Boys","U12","Boys"
"Snohomish United U-13 Boys","U13","Boys"
"Snohomish United U-14 Boys","U14","Boys"
"Sockers FC Naperville U-12 Boys","U12","Boys"
"Sockers FC U-12 Boys","U12","Boys"
"Sockers FC U-13 Boys","U13","Boys"
"Sockers FC U-14 Boys","U14","Boys"
"Sockers FC U-15 Boys","U15","Boys"
"Sockers FC U-16/17 Boys","U17","Boys"
"Sockers FC U-18/19 Boys","U19","Boys"
"Solar Soccer Club U-12 Boys","U12","Boys"
"Solar Soccer Club U-13 Boys","U13","Boys"
"Solar Soccer Club U-14 Boys","U14","Boys"
"Solar Soccer Club U-15 Boys","U15","Boys"
"Solar Soccer Club U-16/17 Boys","U17","Boys"
"Solar Soccer Club U-18/19 Boys","U19","Boys"
"Southern Soccer Academy U-12 Boys","U12","Boys"
"Southern Soccer Academy U-13 Boys","U13","Boys"
"Southern Soccer Academy U-14 Boys","U14","Boys"
"Sporting Kansas City U-13 Boys","U13","Boys"
"Sporting Kansas City U-14 Boys","U14","Boys"
"Sporting Kansas City U-15 Boys","U15","Boys"
"Sporting Kansas City U-16/17 Boys","U17","Boys"
"Sporting Kansas City U-18/19 Boys","U19","Boys"
"St. Louis Scott Gallagher Illinois U-13 Boys","U13","Boys"
"St. Louis Scott Gallagher Illinois U-14 Boys","U14","Boys"
"St. Louis Scott Gallagher Missouri U-13 Boys","U13","Boys"
"St. Louis Scott Gallagher Missouri U-14 Boys","U14","Boys"
"Star Academy FC U-12 Boys","U12","Boys"
"Strikers FC U-12 Boys","U12","Boys"
"Strikers FC U-13 Boys","U13","Boys"
"Strikers FC U-14 Boys","U14","Boys"
"Strikers FC U-15 Boys","U15","Boys"
"Strikers FC U-16/17 Boys","U17","Boys"
"Strikers FC U-18/19 Boys","U19","Boys"
"TBU Rowdies U-12 Boys","U12","Boys"
"TBU Rowdies U-13 Boys","U13","Boys"
"TBU Rowdies U-14 Boys","U14","Boys"
"TBU Rowdies U-15 Boys","U15","Boys"
"Texans SC Houston U-12 Boys","U12","Boys"
"Texans SC Houston U-13 Boys","U13","Boys"
"Texans SC Houston U-14 Boys","U14","Boys"
"Texans SC Houston U-15 Boys","U15","Boys"
"Texans SC Houston U-16/17 Boys","U17","Boys"
"Texans SC Houston U-18/19 Boys","U19","Boys"
"Toronto FC Academy U-16/17 Boys","U17","Boys"
"Toronto FC Academy U-18/19 Boys","U19","Boys"
"Total Futbol Academy U-12 Boys","U12","Boys"
"TSF Academy U-12 Boys","U12","Boys"
"TSF Academy U-13 Boys","U13","Boys"
"TSF Academy U-14 Boys","U14","Boys"
"United Futbol Academy U-12 Boys","U12","Boys"
"United Futbol Academy U-13 Boys","U13","Boys"
"United Futbol Academy U-14 Boys","U14","Boys"
"United Futbol Academy U-15 Boys","U15","Boys"
"United Futbol Academy U-16/17 Boys","U17","Boys"
"Valeo Futbol Club U-12 Boys","U12","Boys"
"Vancouver Whitecaps FC U-15 Boys","U15","Boys"
"Vancouver Whitecaps FC U-16/17 Boys","U17","Boys"
"Vancouver Whitecaps FC U-18/19 Boys","U19","Boys"
"Vardar U-12 Boys","U12","Boys"
"Vardar U-13 Boys","U13","Boys"
"Vardar U-14 Boys","U14","Boys"
"Vardar U-15 Boys","U15","Boys"
"Vardar U-16/17 Boys","U17","Boys"
"Vardar U-18/19 Boys","U19","Boys"
"Virginia Development Academy U-12 Boys","U12","Boys"
"Virginia Development Academy U-13 Boys","U13","Boys"
"Virginia Development Academy U-14 Boys","U14","Boys"
"Virginia Development Academy U-15 Boys","U15","Boys"
"Virginia Development Academy U-16/17 Boys","U17","Boys"
"Washington Premier FC U-12 Boys","U12","Boys"
"Washington Premier FC U-13 Boys","U13","Boys"
"Washington Premier FC U-14 Boys","U14","Boys"
"Washington Rush U-12 Boys","U12","Boys"
"Washington Rush U-13 Boys","U13","Boys"
"Washington Rush U-14 Boys","U14","Boys"
"Washington Timbers FC Academy U-12 Boys","U12","Boys"
"Washington Timbers FC Academy U-13 Boys","U13","Boys"
"Washington Timbers FC Academy U-14 Boys","U14","Boys"
"Wellington Soccer Club U-12 Boys","U12","Boys"
"West Coast Futbol Club U-12 Boys","U12","Boys"
"Weston FC U-12 Boys","U12","Boys"
"Weston FC U-13 Boys","U13","Boys"
"Weston FC U-14 Boys","U14","Boys"
"Weston FC U-15 Boys","U15","Boys"
"Weston FC U-16/17 Boys","U17","Boys"
"Weston FC U-18/19 Boys","U19","Boys"
"Westside Timbers Soccer Club U-12 Boys","U12","Boys"
"Westside Timbers Soccer Club U-13 Boys","U13","Boys"
"Westside Timbers Soccer Club U-14 Boys","U14","Boys"
"World Class FC U-12 Boys","U12","Boys"
"World Class FC U-13 Boys","U13","Boys"
"World Class FC U-14 Boys","U14","Boys"
