"DA Club Directory","DA Club Directory.1"
"San Joaquin Valley Soccer Academy","Merced, Calif."
"San Jose Earthquakes","Santa Clara, Calif."
"San Juan Soccer Club","Sacramento, Calif."
"Santa Barbara Soccer Club","Santa Barbara, Calif."
"Santa Cruz Breakers Academy","Aptos, Calif."
"Santa Rosa United","Santa Rosa, Calif."
"SC del Sol","Phoenix, Ariz."
"Seacoast United","Hampton, N.H."
"Seattle Reign Academy","Seattle, Wash."
"Seattle Sounders FC","Tukwila, Wash."
"Seattle United","Seattle, Wash."
"Shattuck-Saint Mary's","Faribault, Minn."
"Silicon Valley Soccer Association","Redwood City, Calif."
"Sky Blue - NYSC","Chappaqua, N.Y."
"Sky Blue - PDA","Bernardsville, N.J."
"Snohomish United","Snohomish, Wash."
"So Cal Blues Soccer Club","San Juan Capistrano, Calif."
"Sockers FC","Palatine, Ill."
"Sockers FC Naperville","Naperville, Ill."
"Solar Soccer Club","Dallas, Texas"
"Palm Beach United","Palm Beach Gardens, Fla"
"Southern Soccer Academy","Douglasville, Ga."
"SPORTING Blue Valley","Overland Park, Kan."
"Sporting Kansas City","Kansas City, Mo."
"St. Louis FC","St. Louis, Mo."
"St. Louis Scott Gallagher Illinois","Collinsville, Ill."
"Star Academy FC","Burlingame, Calif."
"Strikers FC","Irvine, Calif."
"TBU Rowdies","Tampa Bay, Fla."
"Texans SC Houston","Spring, Texas"
"Total Futbol Academy","Los Angeles, Calif."
"TSF Academy","Wayne, N.J."
"United Futbol Academy","Norcross, Ga."
"United Soccer Alliance","Jacksonville, Fla."
"Valeo Futbol Club","Newton, Mass."
"Vancouver Whitecaps FC","Vancouver, B.C."
"Vardar","Rochester Hills, Mich."
"Virginia Development Academy","Woodbridge, Va."
"Washington Premier FC","Puyallup, Wash."
"Washington Rush","Everett, Wash."
"Washington Spirit Academy - Baltimore Armour","Boyds, Md."
"Washington Spirit Academy - Virginia","Fairfax, Va."
"Washington Timbers FC Academy","Vancouver, Wash."
"Wellington Soccer Club","Wellington, Fla."
"West Coast Futbol Club","Laguna Hills, Calif."
"West Florida Flames","Brandon, Fla."
"Weston FC","Weston, Fla."
"Westside Timbers Soccer Club","Beaverton, Ore."
"World Class FC","Orangeburg, N.Y."
