"Field"
"Toyota Sports Complex"
"Santa Clara University Santa Clara University - Stanton Field"
"SilverLakes Sports Complex Silverlakes #8"
"Mustang Soccer Complex Mustang Soccer Lower Field"
"Mustang Soccer Complex Mustang Soccer Upper Field"
"PDA Soccer Complex PDA # 5"
"So Cal Sports Complex Oceanside Field 28"
"Empire United Soccer Complex"
"StubHub Center Field 7"
"TD Bank Oakwood Soccer Park TD Bank OSP #1 (front field)"
"Classics Turf"
"Penn Fusion Turf Field"
"Surf Cup Sports Park Surf Cup Sports Park # 17"
"Maryland SoccerPlex Maryland SoccerPlex 8 Grass"
"53rd Street Community Sports Park Field 1"
"53rd Street Community Sports Park Field 2"
"Santa Clara University Santa Clara University - Stanton Field"
"SilverLakes Sports Complex Silverlakes #8"
"Seminole Soccer Complex Field 3"
"Seminole Soccer Complex Field 4"
"PDA Soccer Complex PDA #4"
"So Cal Sports Complex Oceanside Field 28"
"Toyota Sports Complex"
"Mustang Soccer Complex Mustang Soccer Lower Field"
"Mustang Soccer Complex Mustang Soccer Upper Field"
"Georgia Soccer Park - Field 1"
"Georgia Soccer Park - Field 2"
"Empire United Soccer Complex"
"StubHub Center Field 7"
"TD Bank Oakwood Soccer Park TD Bank OSP #1 (front field)"
"Classics Turf"
"Penn Fusion Turf Field"
"Surf Cup Sports Park Surf Cup Sports Park # 17"
"Maryland SoccerPlex Maryland SoccerPlex 8 Grass"
"53rd Street Community Sports Park Field 1"
"53rd Street Community Sports Park Field 2"
"Manhattanville College Turf field"
"Toyota Sports Complex"
"Santa Clara University Santa Clara University - Stanton Field"
"Seminole Soccer Complex Field 4"
"Seminole Soccer Complex Field 3"
"PDA Soccer Complex PDA #4"
"So Cal Sports Complex Oceanside Field 28"
"Classics Turf"
"Penn Fusion Turf Field"
"Georgia Soccer Park - Field 2"
"Georgia Soccer Park - Field 1"
"Empire United Soccer Complex"
"StubHub Center Field 7"
"TD Bank Oakwood Soccer Park TD Bank OSP #1 (front field)"
"Surf Cup Sports Park Surf Cup Sports Park # 17"
"Manhattanville College Turf field"
"PDA Soccer Complex PDA #4"
"Toyota Sports Complex"
"Santa Clara University Santa Clara University - Stanton Field"
"Classics Turf"
"Penn Fusion Turf Field"
"So Cal Sports Complex Oceanside Field 28"
"Manhattanville College Turf field"
"Empire United Soccer Complex"
"StubHub Center Field 7"
"TD Bank Oakwood Soccer Park TD Bank OSP #1 (front field)"
"Surf Cup Sports Park Surf Cup Sports Park # 17"
