"Home","Age.Group","Gender"
"NVSC 2007 U11 Male CCL II","U11","Boys"
"Potomac 2002 U16 Female CCL II","U16","Girls"
"Potomac 2002 U16 Male CCL II","U16","Boys"
"Potomac 2003 U15 Female CCL II","U15","Girls"
"Potomac 2003 U15 Male CCL II","U15","Boys"
"Potomac 2004 U14 Female CCL II","U14","Girls"
"Potomac 2004 U14 Male CCL II","U14","Boys"
"Potomac 2005 U13 Female CCL II","U13","Girls"
"Potomac 2005 U13 Male CCL II","U13","Boys"
"Potomac 2006 U12 Female CCL II","U12","Girls"
"Potomac 2006 U12 Male CCL II","U12","Boys"
"Potomac 2007 U11 Female CCL II","U11","Girls"
"Potomac 2007 U11 Male CCL II","U11","Boys"
"SYA 2002 U16 Female CCL II","U16","Girls"
"SYA 2003 U15 Female CCL II","U15","Girls"
"SYA 2003 U15 Male CCL II","U15","Boys"
"SYA 2004 U14 Female CCL II","U14","Girls"
"SYA 2004 U14 Male CCL II","U14","Boys"
"SYA 2005 U13 Female CCL II","U13","Girls"
"SYA 2005 U13 Male CCL II","U13","Boys"
"SYA 2006 U12 Female CCL II","U12","Girls"
"SYA 2006 U12 Male CCL II","U12","Boys"
"SYA 2007 U11 Female CCL II","U11","Girls"
"SYA 2007 U11 Male CCL II","U11","Boys"
"SYC 2002 U16 Female CCL II","U16","Girls"
"SYC 2002 U16 Male CCL II","U16","Boys"
"SYC 2003 U15 Female CCL II","U15","Girls"
"SYC 2003 U15 Male CCL II","U15","Boys"
"SYC 2004 U14 Female CCL II","U14","Girls"
"SYC 2004 U14 Male CCL II","U14","Boys"
"SYC 2005 U13 Female CCL II","U13","Girls"
"SYC 2005 U13 Male CCL II","U13","Boys"
"SYC 2006 U12 Female CCL II","U12","Girls"
"SYC 2006 U12 Male CCL II","U12","Boys"
"SYC 2007 U11 Female CCL II","U11","Girls"
"SYC 2007 U11 Male CCL II","U11","Boys"
