"TeamID","Age.Group","Gender","LeagueID","TotalCost","CoachPaid","TotalGames","TotalTime","TotalDistance","AwayGames","WeightedCost","WeightedTime","WeightedDistance","LeagueTier"
"51015006","U15","Boys","LG0002",750,"TRUE",9,682.166666666667,493.859609878311,5,333.33,546,395,"Tier 4"
"51015007","U15","Boys","LG0002",750,"TRUE",9,470.3,316.807345104589,5,333.33,376,253,"Tier 4"
"51015008","U19","Boys","LG0002",750,"TRUE",8,693.6,534.778145629524,4,375,694,535,"Tier 4"
"51015009","U12","Girls","LG0002",750,"TRUE",8,550.066666666667,439.101894933588,4,375,550,439,"Tier 4"
"51015010","U19","Girls","LG0002",750,"TRUE",8,346.966666666667,229.000139187147,4,375,347,229,"Tier 4"
"51015011","U19","Girls","LG0002",750,"TRUE",8,427.233333333333,319.921657520083,4,375,427,320,"Tier 4"
"51016001","U12","Boys","LG0002",250,"FALSE",8,538.1,449.670176171161,4,125,538,450,"Tier 4"
"51017001","U13","Boys","LG0002",1020,"TRUE",8,518.5,443.403026326255,4,510,518,443,"Tier 4"
"51017002","U19","Boys","LG0002",1440,"TRUE",8,642.8,572.31766483735,4,720,643,572,"Tier 4"
"51017014","U19","Girls","LG0009",1440,"TRUE",10,207.7,191.740237015828,1,576,831,767,"Tier 4"
"51017017","U16","Boys","LG0009",890,"TRUE",8,775.933333333333,739.987224608288,4,445,776,740,"Tier 4"
"51017018","U12","Boys","LG0009",720,"TRUE",8,654.833333333333,623.144585619979,4,360,655,623,"Tier 4"
"51020001","U11","Boys","LG0003",500,"FALSE",8,184.6,105.053984729182,5,250,148,84,"Tier 4"
"51020002","U12","Boys","LG0003",500,"FALSE",8,220.033333333333,164.970323311859,4,250,220,165,"Tier 4"
"51020003","U09","Girls","LG0003",500,"FALSE",8,173.5,108.957438558817,4,250,174,109,"Tier 4"
"51020004","U10","Boys","LG0003",500,"FALSE",8,253.8,187.319802354251,4,250,254,187,"Tier 4"
"51020005","U16","Girls","LG0003",500,"FALSE",8,391.566666666667,330.790682414698,4,250,392,331,"Tier 4"
"51021001","U10","Boys","LG0003",2250,"TRUE",8,279.966666666667,191.36865704287,4,1125,280,191,"Tier 4"
"51021002","U12","Girls","LG0003",2250,"TRUE",8,331.4,233.077576950608,4,1125,331,233,"Tier 4"
"51021003","U09","Girls","LG0003",2250,"TRUE",8,204.966666666667,112.246977650521,4,1125,205,112,"Tier 4"
"51021004","U09","Girls","LG0003",2250,"TRUE",8,222.233333333333,152.920693151992,4,1125,222,153,"Tier 4"
"51021005","U10","Boys","LG0003",2250,"TRUE",8,306.8,210.97913186988,4,1125,307,211,"Tier 4"
"51021006","U10","Girls","LG0003",2250,"TRUE",9,243.833333333333,151.833293565577,4,1000,244,152,"Tier 4"
"51021007","U11","Boys","LG0003",2250,"TRUE",8,391,279.686630080331,4,1125,391,280,"Tier 4"
"51021008","U11","Boys","LG0003",2250,"TRUE",8,378,313.628410085103,4,1125,378,314,"Tier 4"
"51021009","U11","Girls","LG0003",2250,"TRUE",8,289.633333333333,226.55690765927,4,1125,290,227,"Tier 4"
"51021010","U10","Girls","LG0003",2250,"TRUE",9,270.766666666667,163.165861369602,5,1000,217,131,"Tier 4"
"51021011","U11","Girls","LG0003",2250,"TRUE",8,310.3,234.586266205361,4,1125,310,235,"Tier 4"
"51021012","U09","Boys","LG0003",2250,"TRUE",8,232.133333333333,136.081533842361,4,1125,232,136,"Tier 4"
"51021013","U09","Boys","LG0003",2250,"TRUE",8,207.966666666667,135.824286168774,4,1125,208,136,"Tier 4"
"51021047","U18","Boys","LG0005",2350,"TRUE",9,321.8,195.345432673189,4,1044.44,322,195,"Tier 4"
"51021048","U18","Girls","LG0005",2350,"TRUE",9,242,185.47805814046,3,1044.44,323,247,"Tier 4"
"51021049","U17","Boys","LG0005",2125,"TRUE",9,297.833333333333,210.980374612264,4,944.44,298,211,"Tier 4"
"51021050","U17","Boys","LG0005",2350,"TRUE",9,391.9,269.110892388451,5,1044.44,314,215,"Tier 4"
"51021051","U17","Girls","LG0005",2350,"TRUE",9,349.966666666667,246.468126143323,5,1044.44,280,197,"Tier 4"
"51021052","U16","Boys","LG0005",2125,"TRUE",9,315.3,251.601894933588,4,944.44,315,252,"Tier 4"
"51021053","U16","Girls","LG0005",2125,"TRUE",9,350.666666666667,260.913763620457,4,944.44,351,261,"Tier 4"
"51021054","U15","Boys","LG0005",2125,"TRUE",9,280.233333333333,186.968106259445,4,944.44,280,187,"Tier 4"
"51021055","U15","Girls","LG0005",2125,"TRUE",9,276.866666666667,204.135349558578,4,944.44,277,204,"Tier 4"
"51021056","U14","Boys","LG0005",2125,"TRUE",9,540.533333333333,400.344488188976,4,944.44,541,400,"Tier 4"
"51021057","U14","Girls","LG0005",2125,"TRUE",9,302.8,192.316869482224,4,944.44,303,192,"Tier 4"
"51021058","U14","Girls","LG0005",2125,"TRUE",9,309.566666666667,229.325737691879,4,944.44,310,229,"Tier 4"
"51021059","U13","Boys","LG0005",2125,"TRUE",9,355,235.840193271296,5,944.44,284,189,"Tier 4"
"51021060","U13","Girls","LG0005",2125,"TRUE",9,372.4,282.506412550704,4,944.44,372,283,"Tier 4"
"51021061","U13","Girls","LG0005",2125,"TRUE",9,269.366666666667,198.659826612583,4,944.44,269,199,"Tier 4"
