"Home","Away","Age Group","Gender","Field"
"A3 Swansea U10 Girls NCSL","BAC Badgers U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Storm U15 Girls NCSL","ALEX 03 Girls White U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field A"
"A3 Aston Villa U09 Boys NCSL","DCST Black Metros U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","ABGC AUFC 06 Red U12 Girls NCSL","U12","Girls","Bell Branch Athletic Complex Field D4"
"A3 Lightning U15 Girls NCSL","SYC Pride 03 White U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field A"
"A3 West Brom U09 Boys NCSL","CFC 09B Red U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Blues U11 Girls NCSL","ALEX 07 Girls Red U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","BAC Venom U14 Boys NCSL","U14","Boys","Bell Branch Athletic Complex Field A"
"A3 Rangers U11 Girls NCSL","ALEX 07 Girls White U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Portsmouth U13 Boys NCSL","ABGC AUFC 05 United U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field A"
"A3 Southampton U13 Boys NCSL","ALEX 05 Boys Blue U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field A"
"A3 Spurs U17 Boys NCSL","VYS Titans Black U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field B"
"A3 Lions (Gold) U10 Boys NCSL","CSA United 08B Black U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Everton U11 Boys NCSL","ARL 07B Blue U11 Boys NCSL","U11","Boys","Bell Branch Athletic Complex Field D4"
"A3 Storm U15 Girls NCSL","AUSC Antietam United G03 U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field B"
"A3 Lions (Blue) U10 Boys NCSL","CSA United 08B Gold U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Spurs U12 Boys NCSL","FRED FC Frederick '06 Black U12 Boys NCSL","U12","Boys","Bell Branch Athletic Complex Field D4"
"A3 Swansea U10 Girls NCSL","FRED FC Frederick '08 Black U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Barnsley U11 Girls NCSL","PAC Gold 07 U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Arsenal U10 Girls NCSL","VYS '08G Red U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Blues U11 Girls NCSL","ARL 07G Blue U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Fulham U14 Girls NCSL","FCVA Premier U14 Girls NCSL","U14","Girls","Bell Branch Athletic Complex Field B"
"A3 Oxford U10 Girls NCSL","VYS '08G Black U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Rangers U11 Girls NCSL","ARL 07G Black U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","BRYC Elite Academy U14 Black U14 Boys NCSL","U14","Boys","Bell Branch Athletic Complex Field B"
"A3 Lions (White) U10 Boys NCSL","BAC Express U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","ARL 06G Blue U12 Girls NCSL","U12","Girls","Bell Branch Athletic Complex Field D4"
"A3 Southampton U13 Boys NCSL","CFC 05B White U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Aston Villa U09 Boys NCSL","GRFL 09B Napoli U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D6"
"A3 West Brom U09 Boys NCSL","GRFL 09B Lazio U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D2"
"A3 Spurs U17 Boys NCSL","ABGC AUFC 01 United U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field B"
"A3 Lions (White) U10 Boys NCSL","FRED FC Frederick '08 Black U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Lightning U15 Girls NCSL","CHAN Spirit Red 03 U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field B"
"A3 Lions (Gold) U10 Boys NCSL","CALV MD International 2008 U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Lions (Blue) U10 Boys NCSL","CALV CSA 2008 U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Fulham U14 Girls NCSL","ABGC AUFC  04 Black U14 Girls NCSL","U14","Girls","Bell Branch Athletic Complex Field B"
"A3 Barnsley U11 Girls NCSL","BAC Lightning U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Arsenal U10 Girls NCSL","SMS Fusion U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Oxford U10 Girls NCSL","LAPL La Plata Kraken U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Aston Villa U09 Boys NCSL","PWSI Boys 2009 Swoosh U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 West Brom U09 Boys NCSL","PWSI Boys 2009 Tiempo U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Lions (White) U10 Boys NCSL","VYS '08B White U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Swansea U10 Girls NCSL","LOUD 08G Silver U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Southampton U13 Boys NCSL","LMVS Patriots 2005 Blue U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field A"
"A3 Spurs U17 Boys NCSL","CHAN Rowdies 01 U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field B"
"A3 Oxford U10 Girls NCSL","PWSI Girls 2008 Swoosh U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","ASA Sharp Shooters 06 U12 Girls NCSL","U12","Girls","Bell Branch Athletic Complex Field D4"
"A3 Storm U15 Girls NCSL","BAC Alliance U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field B"
"A3 Spurs U12 Boys NCSL","FSCI Phoenix Orange U12 Boys U12 Boys NCSL","U12","Boys","Bell Branch Athletic Complex Field D4"
"A3 Arsenal U10 Girls NCSL","PWSI Girls 2008 Nike U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Lions (Gold) U10 Boys NCSL","SMS Strikers White U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Everton U11 Boys NCSL","DAA Gators Green U11 Boys NCSL","U11","Boys","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","DCST White Metros U14 Boys NCSL","U14","Boys","Bell Branch Athletic Complex Field B"
"A3 Lions (Blue) U10 Boys NCSL","SMS Strikers Red U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Portsmouth U13 Boys NCSL","AUSC U13 Boys U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Blues U11 Girls NCSL","GRFL 07G Fury White U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Southampton U13 Boys NCSL","FRED FC Frederick '05 Royal II U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Rangers U11 Girls NCSL","GRFL 07G Fury Yellow U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Barnsley U11 Girls NCSL","VSA 07G Pre Academy NCSL U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Lions (White) U10 Boys NCSL","VYS '08B Silver U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Portsmouth U13 Boys NCSL","SDor Barca '05 Premier U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field A"
"A3 Fulham U14 Girls NCSL","LAPL La Plata Lynx U14 Girls NCSL","U14","Girls","Bell Branch Athletic Complex Field B"
"A3 Oxford U10 Girls NCSL","ALEX 08 Girls White U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Barnsley U11 Girls NCSL","WIN United 07G Orange U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Spurs U17 Boys NCSL","FPYC Eagles Blue U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field B"
"A3 Arsenal U10 Girls NCSL","ALEX 08 Girls Red U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Spurs U12 Boys NCSL","FCVA United Premier 06B U12 Boys NCSL","U12","Boys","Bell Branch Athletic Complex Field D4"
"A3 Everton U11 Boys NCSL","REST 07 Blue U11 Boys NCSL","U11","Boys","Bell Branch Athletic Complex Field D4"
"A3 Lions (Gold) U10 Boys NCSL","ASA Liverpool  FCIAA MD 08B Academy U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Spurs U17 Boys NCSL","TAFC Team America 2001 Wisterman USA U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field B"
"A3 Swansea U10 Girls NCSL","VYS '08G Silver U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","DCST White Metros U12 Girls NCSL","U12","Girls","Bell Branch Athletic Complex Field D4"
"A3 Storm U15 Girls NCSL","BSC Girls United Black U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field B"
"A3 Blues U11 Girls NCSL","HERN Alianza Black U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Lions (Blue) U10 Boys NCSL","ASA Liverpool FCIAA MD 08B Pre-Academy U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Rangers U11 Girls NCSL","HERN Alianza RED U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Fulham U14 Girls NCSL","AUSC Cannons U14 Girls NCSL","U14","Girls","Bell Branch Athletic Complex Field B"
"A3 Aston Villa U09 Boys NCSL","WIN United 09B Orange U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Wimbledon U14 Boys NCSL","VSA 04B Pre Academy Select Red U14 Boys NCSL","U14","Boys","Bell Branch Athletic Complex Field B"
"A3 Barnsley U11 Girls NCSL","BRYC Elite Academy U11 Black U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 West Brom U09 Boys NCSL","WIN United 09B Blue U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Southampton U13 Boys NCSL","FTSC Future Monarchs Gold '05B U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Everton U11 Boys NCSL","HERN Central Red U11 Boys NCSL","U11","Boys","Bell Branch Athletic Complex Field D4"
"A3 Portsmouth U13 Boys NCSL","BAC Fusion White U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Swansea U10 Girls NCSL","PAC Gold 08 U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Fulham U14 Girls NCSL","FSCI Phoenix Orange U14 Girls U14 Girls NCSL","U14","Girls","Bell Branch Athletic Complex Field B"
"A3 Barnsley U11 Girls NCSL","LFC Storm U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Southampton U13 Boys NCSL","VYS United White U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field A"
"A3 Lions (White) U10 Boys NCSL","FCVA Elite U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
"A3 Spurs U12 Boys NCSL","LMVS Patriots 2006 NCSL White U12 Boys NCSL","U12","Boys","Bell Branch Athletic Complex Field D4"
"A3 Aston Villa U09 Boys NCSL","VYS 09B Black U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Spurs U17 Boys NCSL","LMVS Patriots 2001 White U17 Boys NCSL","U17","Boys","Bell Branch Athletic Complex Field A"
"A3 West Brom U09 Boys NCSL","VYS 09B White U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Lightning U15 Girls NCSL","LMVS Patriots 2003 Blue U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field A"
"A3 Storm U15 Girls NCSL","POT Black 03 U15 Girls NCSL","U15","Girls","Bell Branch Athletic Complex Field B"
"A3 Lions (White) U10 Boys NCSL","PAC Elite 08 Navy U10 Boys NCSL","U10","Boys","Bell Branch Athletic Complex Field D3"
