"Home","Away","Field","Age.Group","Gender"
"Beach FC Rapids U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA United U09 Boys TASL","Beach FC Impact U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA United U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Impact U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Beach FC Rapids U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Rapids U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Rapids U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CSL Wolverines U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7","U10","Boys"
"Smithfield Flames U10 Boys TASL","CSC Avengers U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"CSC Avengers U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"Beach FC Ghent Racers U10 Boys TASL","CSC Avengers U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"CSL Wolverines U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"CSC Avengers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"Suffolk Rampage U10 Boys TASL","CSL Wolverines U10 Boys TASL","SYAA Field 7","U10","Boys"
"Suffolk Rampage U10 Boys TASL","CSC Avengers U10 Boys TASL","SYAA Field 7","U10","Boys"
"CSC Avengers U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"CSC Avengers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"Portsmouth Ecudor U10 Boys TASL","CSC Avengers U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"Portsmouth Ecudor U10 Boys TASL","CSL Wolverines U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"Beach FC Ghent Racers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
"CSL Wolverines U10 Boys TASL","Smithfield Flames U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7","U10","Boys"
"Beach FC Ghent Racers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"Smithfield Flames U10 Boys TASL","CSL Wolverines U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"Beach FC Ghent Racers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"Beach FC Fire U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"WBSC Gunners U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Joliff Middle School Field 3","U10","Boys"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC United U10 Boys TASL","Warhill Soccer Complex Field 4","U10","Boys"
"Beach FC Fire U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC United U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
"Beach FC Fire U10 Boys TASL","Beach FC United U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"AYSO Arsenal U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","AYSO Cornland Park Field 3","U10","Boys"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC Fire U10 Boys TASL","Warhill Soccer Complex Field 4","U10","Boys"
"WBSC Gunners U10 Boys TASL","Beach FC Fire U10 Boys TASL","Joliff Middle School Field 3","U10","Boys"
"AYSO Arsenal U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","AYSO Cornland Park Field 3","U10","Boys"
"Beach FC United U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC Fire U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"Beach FC Fire U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC United U10 Boys TASL","Warhill Soccer Complex Field 4","U10","Boys"
"Beach FC United U10 Boys TASL","WBSC Gunners U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"WBSC Gunners U10 Boys TASL","Beach FC Fire U10 Boys TASL","Joliff Middle School Field 3","U10","Boys"
"AYSO Arsenal U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","AYSO Cornland Park Field 3","U10","Boys"
"WBSC Gunners U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Joliff Middle School Field 3","U10","Boys"
"Beach FC United U10 Boys TASL","WBSC Gunners U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC United U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"Va Legacy PEN Titans U10 Boys TASL","WBSC Gunners U10 Boys TASL","Warhill Soccer Complex Field 4","U10","Boys"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","WBSC Gunners U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"Beach FC Pride U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
"CUSC Strikers U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Centerville Compex 9B","U10","Boys"
"Portsmouth Hornets U10 Boys TASL","Beach FC Pride U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"TSA Rovers FC U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Wahrill Soccer Complex Field 2","U10","Boys"
"CSL Thunderbolts U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"Portsmouth Hornets U10 Boys TASL","TSA Rovers FC U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"Beach FC Pride U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"CUSC Strikers U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Centerville Compex 9B","U10","Boys"
"Portsmouth Hornets U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"Portsmouth Hornets U10 Boys TASL","CUSC Strikers U10 Boys TASL","John Tyler Complex Field 3","U10","Boys"
"CSL Thunderbolts U10 Boys TASL","CUSC Strikers U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"TSA Rovers FC U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Wahrill Soccer Complex Field 2","U10","Boys"
"CUSC Strikers U10 Boys TASL","Beach FC Pride U10 Boys TASL","Centerville Compex 9B","U10","Boys"
"CSL Thunderbolts U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"CSL Thunderbolts U10 Boys TASL","CUSC Strikers U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"CUSC Strikers U10 Boys TASL","Beach FC Pride U10 Boys TASL","Centerville Compex 9B","U10","Boys"
"TSA Rovers FC U10 Boys TASL","CUSC Strikers U10 Boys TASL","Wahrill Soccer Complex Field 2","U10","Boys"
"Beach FC Pride U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"TSA Rovers FC U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Wahrill Soccer Complex Field 2","U10","Boys"
"Beach FC Pride U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Hampton Roads Soccer Complex Field 18B","U10","Boys"
