"Team","Age.Group","Gender"
"TSA Rovers FC","U11","Boys"
"TSA Rovers FC","U15","Boys"
"TSA Sharks","U09","Girls"
"TSA Sharks","U12","Girls"
"TSA United","U09","Boys"
"Va Legacy PEN Titans","U10","Boys"
"Va Legacy PEN Titans","U12","Boys"
"Va Legacy Phoenix","U10","Girls"
"Va Legacy WMBG Titans","U12","Boys"
"WBSC Arsenal","U11","Boys"
"WBSC Blast","U11","Girls"
"WBSC Chaos","U14","Girls"
"WBSC Dynamite","U12","Girls"
"WBSC Fusion","U12","Boys"
"WBSC Gunners","U10","Boys"
"WBSC Hot Shotz","U13","Girls"
"WBSC Legends","U11","Boys"
"WBSC Sizzlers","U15","Boys"
"WBSC Spartans","U13","Boys"
"WBSC Strikers","U09","Boys"
"WBSC Xtreme","U12","Boys"
