"Home","Age.Group","Gender"
"Ellicott City 2008 U10 Female CCL","U10","Girls"
"Ellicott City 2008 U10 Male CCL","U10","Boys"
"Ellicott City 2009 U09 Female CCL","U09","Girls"
"Ellicott City 2009 U09 Male CCL","U09","Boys"
"FC Frederick 1999 U19 Female CCL","U19","Girls"
"FC Frederick 1999 U19 Male CCL","U19","Boys"
"FC Frederick 2000 U18 Female CCL","U18","Girls"
"FC Frederick 2000 U18 Male CCL","U18","Boys"
"FC Frederick 2001 U17 Female CCL","U17","Girls"
"FC Frederick 2001 U17 Male CCL","U17","Boys"
"FC Frederick 2002 U16 Female CCL","U16","Girls"
"FC Frederick 2002 U16 Male CCL","U16","Boys"
"FC Frederick 2002 U16 Male CCL II","U16","Boys"
"FC Frederick 2003 U15 Female CCL","U15","Girls"
"FC Frederick 2003 U15 Female CCL II","U15","Girls"
"FC Frederick 2003 U15 Male CCL","U15","Boys"
"FC Frederick 2003 U15 Male CCL II","U15","Boys"
"FC Frederick 2004 U14 Female CCL","U14","Girls"
"FC Frederick 2004 U14 Female CCL II","U14","Girls"
"FC Frederick 2004 U14 Male CCL","U14","Boys"
"FC Frederick 2004 U14 Male CCL II","U14","Boys"
"FC Frederick 2005 U13 Female CCL","U13","Girls"
"FC Frederick 2005 U13 Female CCL II","U13","Girls"
"FC Frederick 2005 U13 Male CCL","U13","Boys"
"FC Frederick 2005 U13 Male CCL II","U13","Boys"
"FC Frederick 2006 U12 Female CCL","U12","Girls"
"FC Frederick 2006 U12 Female CCL II","U12","Girls"
"FC Frederick 2006 U12 Male CCL","U12","Boys"
"FC Frederick 2006 U12 Male CCL II","U12","Boys"
"FC Frederick 2007 U11 Female CCL","U11","Girls"
"FC Frederick 2007 U11 Female CCL II","U11","Girls"
"FC Frederick 2007 U11 Male CCL","U11","Boys"
"FC Frederick 2007 U11 Male CCL II","U11","Boys"
"FC Richmond 1999 U19 Female CCL","U19","Girls"
"FC Richmond 1999 U19 Male CCL","U19","Boys"
"FC Richmond 2000 U18 Female CCL","U18","Girls"
"FC Richmond 2000 U18 Male CCL","U18","Boys"
"FC Richmond 2001 U17 Female CCL","U17","Girls"
"FC Richmond 2001 U17 Male CCL","U17","Boys"
"FC Richmond 2002 U16 Female CCL","U16","Girls"
"FC Richmond 2002 U16 Male CCL","U16","Boys"
"FC Richmond 2003 U15 Female CCL","U15","Girls"
"FC Richmond 2003 U15 Male CCL","U15","Boys"
"FC Richmond 2004 U14 Female CCL","U14","Girls"
"FC Richmond 2004 U14 Male CCL","U14","Boys"
"FC Richmond 2005 U13 Female CCL","U13","Girls"
"FC Richmond 2005 U13 Male CCL","U13","Boys"
"FC Richmond 2006 U12 Female CCL","U12","Girls"
"FC Richmond 2006 U12 Male CCL","U12","Boys"
"FC Richmond 2007 U11 Female CCL","U11","Girls"
"FC Richmond 2007 U11 Male CCL","U11","Boys"
"FCSC United 2002 U16 Female CCL II","U16","Girls"
"FCSC United 2002 U16 Male CCL II","U16","Boys"
"FCSC United 2003 U15 Female CCL II","U15","Girls"
"FCSC United 2003 U15 Male CCL II","U15","Boys"
"FCSC United 2004 U14 Female CCL II","U14","Girls"
"FCSC United 2004 U14 Male CCL II","U14","Boys"
"FCSC United 2005 U13 Female CCL II","U13","Girls"
"FCSC United 2005 U13 Male CCL II","U13","Boys"
"FCSC United 2006 U12 Female CCL II","U12","Girls"
