"Home","Away","Age.Group","Field","Gender"
"Loudoun 2004 U14 Female CCL","Roanoke Star 2004 U14 Female CCL","U14","Philip Bolen Park #2","Girls"
"NVSC 2004 U14 Female CCL","SYA 2004 U14 Female CCL","U14","Hellwig Park #7","Girls"
"Arlington 2004 U14 Female CCL","McLean 2004 U14 Female CCL","U14","Long Bridge Park #3","Girls"
"FC Richmond 2004 U14 Female CCL","LMVSC 2004 U14 Female CCL","U14","Huguenot Park #1","Girls"
"Virginia Legacy 2004 U14 Female CCL","SOCA 2004 U14 Female CCL","U14",,"Girls"
"Beach FC 2004 U14 Female CCL","Fredericksburg FC 2004 U14 Female CCL","U14","Hampton Roads Soccer Complex #16","Girls"
"Loudoun 2005 U13 Male CCL","Roanoke Star 2005 U13 Male CCL","U13","Loudoun Soccer Park #1","Boys"
"NVSC 2005 U13 Male CCL","SYA 2005 U13 Male CCL","U13","Hellwig Park #2","Boys"
"Arlington 2005 U13 Male CCL","McLean 2005 U13 Male CCL","U13","Williamsburg Middle School #1","Boys"
"FC Richmond 2005 U13 Male CCL","LMVSC 2005 U13 Male CCL","U13","Huguenot Park #1","Boys"
"Virginia Legacy 2005 U13 Male CCL","SOCA 2005 U13 Male CCL","U13",,"Boys"
"Beach FC 2005 U13 Male CCL","Fredericksburg FC 2005 U13 Male CCL","U13","Hampton Roads Soccer Complex #15","Boys"
"Loudoun 2005 U13 Female CCL","Roanoke Star 2005 U13 Female CCL","U13","Loudoun Soccer Park #2","Girls"
"NVSC 2005 U13 Female CCL","SYA 2005 U13 Female CCL","U13","Hellwig Park #2","Girls"
"Arlington 2005 U13 Female CCL","McLean 2005 U13 Female CCL","U13","Williamsburg Middle School #1","Girls"
"FC Richmond 2005 U13 Female CCL","LMVSC 2005 U13 Female CCL","U13","Huguenot Park #1","Girls"
"Virginia Legacy 2005 U13 Female CCL","SOCA 2005 U13 Female CCL","U13",,"Girls"
"Beach FC 2005 U13 Female CCL","Fredericksburg FC 2005 U13 Female CCL","U13","Hampton Roads Soccer Complex #16","Girls"
"Loudoun 2006 U12 Male CCL","Roanoke Star 2006 U12 Male CCL","U12","Philip Bolen Park #1","Boys"
"NVSC 2006 U12 Male CCL","SYA 2006 U12 Male CCL","U12","Hellwig Park #3","Boys"
"Arlington 2006 U12 Male CCL","McLean 2006 U12 Male CCL","U12","Virginia Highlands #1","Boys"
"FC Richmond 2006 U12 Male CCL","LMVSC 2006 U12 Male CCL","U12","Greenfield Elementary School #1","Boys"
"Virginia Legacy 2006 U12 Male CCL","SOCA 2006 U12 Male CCL","U12",,"Boys"
"Beach FC 2006 U12 Male CCL","Fredericksburg FC 2006 U12 Male CCL","U12","Hampton Roads Soccer Complex #13a","Boys"
"Loudoun 2006 U12 Female CCL","Roanoke Star 2006 U12 Female CCL","U12","Philip Bolen Park #16","Girls"
"NVSC 2006 U12 Female CCL","SYA 2006 U12 Female CCL","U12","Hellwig Park #3","Girls"
"Arlington 2006 U12 Female CCL","McLean 2006 U12 Female CCL","U12","Virginia Highlands #1","Girls"
"FC Richmond 2006 U12 Female CCL","LMVSC 2006 U12 Female CCL","U12","Greenfield Elementary School #1","Girls"
"Virginia Legacy 2006 U12 Female CCL","SOCA 2006 U12 Female CCL","U12",,"Girls"
"Beach FC 2006 U12 Female CCL","Fredericksburg FC 2006 U12 Female CCL","U12","Hampton Roads Soccer Complex #13a","Girls"
"Loudoun 2007 U11 Male CCL","Roanoke Star 2007 U11 Male CCL","U11","Philip Bolen Park #1","Boys"
"NVSC 2007 U11 Male CCL","SYA 2007 U11 Male CCL","U11","Hellwig Park #3","Boys"
"Arlington 2007 U11 Male CCL","McLean 2007 U11 Male CCL","U11","Virginia Highlands #1","Boys"
