"Field","Street Address","City","State","Zip Code"
"Boys Latin School of MarylandGrass","822 W Lake Ave","Baltimore","MD","21210"
"Bretton WoodsField 01","15700 River Road","Germantown","MD","20874"
"Bretton WoodsField 01","15700 River Rd","Germantown","MD","20874"
"BRHS-TURF #2","600 GARRESTON RD","BRIDGEWATER","NJ","08807"
"Bridgewater Soccer Association #1",,,,
"Bridgewater Turf #2","600 Garretson Road","Bridgewater","NJ","08807"
"Brookdale Meadow LargeBML",,,,
"Brookdale Meadow SmallBMS",,,,
"Brookdale Park StadiumBPS",,,,
"Bruns Park East #1","4990 Merrick Road","Massapequa Park","NY","11762"
"Bryantown Soccer Complex #12",,,,
"Bryantown Soccer Complex #3","5665 Bryantown Road","Waldorf","MD","20601"
"Bryantown Soccer Complex #6",,,,
"Bryantown Sports Complex #13","5665 Bryantown Rd","Waldorf","MD","20601"
"Bryantown Sports Complex #3",,,,
"Bryantown Sports Complex #6",,,,
"Bryn Mawr SchoolField 01","109 W. Melrose Avenue","Baltimore","MD","21210"
"Bryn Mawr SchoolTurf","109 W. Melrose Avenue","Baltimore","MD","21210"
"BSC Complex - #4Grass","1600 Berkeley Ave","Beachwood","NJ","08722"
"C. Milton Wright High School (Turf) #3","1301 N Fountain Green Rd","Bel Air","MD","21015"
"Calvert Hall College High SchoolTurf","8102 La Salle Road","Baltimore","MD","21286"
"Calvert Hall HSStadium","8102 Lasalle Road","Baltimore","MD","21286"
"Calvert Regional Park Turf#4","304 Brick Meetinghouse Rd","North East","MD","21901"
"Calverton School #1","300 Calverton School Rd","Huntingtown","NJ","20639"
"Calverton SchoolTurf","300 Calverton School Rd","Huntingtown","MD","20639"
"Calverton School Alumni Field","300 Calverton School Road","Huntingtown","MD","20639"
"Calverton School Turf",,,,
"Camp Dawson","80 Jacksonville rd","Towaco","NJ","07082"
"Cape Horn Park #1","2400 Cape Horn Road","Hampstead","MD","21074"
"Cape Horn Park #4","2400 Cape Horn Road","Hampstead","MD","21074"
"Capelli Sport Complex (Wayside Rd)#4 FS","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd)#4 SS A","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd)#4 SS B","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd)#5 FS","1660 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd)#6 FS","1660 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd)#6 SS A","1660 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex (Wayside Rd) #3","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","520 Dr Martin Luther King Jr Blvd","Newark","NJ","07102"
"Capelli Sport Field at Sycamore Recreation Complex#5 FS","977 Sycamore Avenue","Tinton Falls","NJ","07724"
"Capelli Sport Field at Sycamore Recreation Complex#5 SS A","977 Sycamore Avenue","Tinton Falls","NJ","07724"
"Capelli Sport Outdoor Complex (Pine Island)","547 Glenwood Rd","Pine Island","NY","10969"
"Cardinal Field #1",,,,
"Cardinal Gibbons School BabeRuth","3225 Wilkens Avenue","Baltimore","MD","21229"
"Cardinal O'Hara SchoolTurf","1701 S SPROUL ROAD","SPRINGFIELD","PA","19064"
"Cardinal Stadium","800 Loch Alsh Avenue","Fort Washington","PA","19034"
"Cardinal Stadium #1","800 Loch Alsh Ave.","Fort Washington","PA","19034"
"Carpenter #1","1000 Horsham Road","Ambler","PA","19002"
"Carsins RunField A","500 Carsins Run Rd","Aberdeen","MD","21001"
"Carsins Run FieldC","500 Carsins Run Rd","Aberdeen","MD","21001"
"Carsins Run FieldsField A","500 Carsins Run Rd","Aberdeen","MD","21001"
"Carsins Run FieldsField B","500 Carsins Run Rd","Aberdeen","MD","21001"
"Cattell #04","1002 Cattell Road","Deptford","NJ","08096"
"Cattell Complex in Deptford #1","1002 Cattell Rd","Wenonah","NJ","08090"
"Cattell Complex in Deptford #1","1002 Cattell Rd","Wenonah","NJ","08090"
"Caven Point - small sided1 and 2",,,,
"Caven Point large sided #1","Caven Point Rd","Jersey City","NJ","07305"
"Caven Point Turf #1","1 Chapel ave","Jersey City","NJ","07305"
"CCBC Catonsville","800 S Rolling Rd","Catonsville","MD","21228"
"CCBC Essex FieldTurf","7201 Rossville Blvd.","Baltimore,","MD","21237"
"CCBC Essex FieldTurf","7201 Rossville Blvd","Rosedale","MD","21237"
"Cedar Creek Park","3340 Merrick Rd","Seaford","NY","11783"
"Cedar Crest College #1","100 College Dr","Allentown","PA","18104"
"Cedar Grove HS Turf","90 Rugby Road","Cedar Grove","NJ","07009"
"CEDAR HOLLOW","841 CEDAR HOLLOW ROAD","MALVERN","PA","19355"
"Cedar Hollow Park","785 Cedar Hollow Road","Malvern","PA","19355"
"Cedar Lane Regional Park #4","1100 Cedar Lane","Bel Air","MD","21014"
"Cedar Lane Regional Park #12Turf","1100 Cedar Lane","Bel Air","MD","21015"
"Cedar Lane RP (Harford)","1100 Cedar Lane","Bel Air","MD","21015"
"Cedar Ridge School #1","12146 Cedar Ridge Rd","Williamsport","MD","21795"
"Cedarbrook Park","40 Cedar Ct","Plainfield","NJ","07060"
"Centennial Field #1","880 Bloomfield Ave","Verona","NJ","07044"
"Centennial HSStadium","4300 Centennial Ln","Ellicott City","MD","21042"
"Centercourt - Mt Olive #1","184 Flanders Netcong Rd","Flanders","NJ","07836"
"Centereach Park #1","31 Horsheblock Road","Centereach","NY","11720"
"Central Park #1",,,,
"Central Park #2",,,,
"Central Park #3",,,,
"Central Park3A","91 Central Ave","MORRIS PLAINS","NJ","07950"
"Central Park3B","91 Central Ave","MORRIS PLAINS","NJ","07950"
"Central Park #4",,,,
"Central Park #5","399 New Britain Rd","Doylestown","PA","18901"
"Central Park  #2","425 Wells Rd","Doylestown","PA","18901"
"Central Park (New Britain Rd Entrance)Field 5","331 New Britain road","Doylestown","PA","18901"
"Central Park of Morris County (Field 1)CPM1","91 Central Avenue","Morris Plains","NJ","07950"
"Central Regional High SchoolTurf","509 Forest Hills Parkway","Bayville","NJ","08721"
"Central Valley #29","45 Route 32","Central Valley","NY","10917"
"CFC Field 1","200 New Vernon Road","Gillette","NJ","07928"
"CFC Field 3","200 New Vernon Road","Gillette","NJ","07933"
"CFC Mount Olive Turf #1","184 Flanders Netcong Rd","Flanders","NJ","07836"
"CHAC South","Camp Hill & Highland Avenue","Fort Washington","PA","19034"
"Chancellor's Run Regional ParkField 01","1905 Chancellor's Run Road","Great Mills","MD","20634"
"Chancellors Run ComplexField 01","21905 Chancellor's Run Road","Great Mills","MD","20634"
"Chancellors Run ComplexField 02","21905 Chancellors Run Road","Great Mills","MD","20634"
"Chapel Ave Turf","2000 Chapel Ave W","Cherry Hill","NJ","08002"
"Chase Collegiate #1","565 Chase Pkwy","Waterbury","CT","06708"
"Cherokee High School TurfCHS08","120 Tomlinson Mill Rd","Marlton","NJ","08053"
"Cherokee Street Elementary School #1","135 Cherokee st.","Ronkonkoma","NY","11779"
"Cherokee Street Elementary School #4","130 Cherokee St","Ronkonkoma","NY","11779"
"Cherokee Street Elementary School #5","130 Cherokee St","Ronkonkoma","NY","11779"
"Cherry Hill FC #8","Cropwell Rd & Cobblestone Ln","Cherry Hill","NJ","08003"
"Cherry Hill HS WestTurf","Fulton St and Weld Ave","Cherry Hill","NJ","08002"
"Cherry Hill West High School 11v11 Grass","1501 Weld Ave.","Cherry Hill","NJ","08002"
"Chesland Soccer Park #1","401 elk forest rd","elkton","MD","21921"
"Chestnut Branch ParkA","545 Main Street","Mantua","NJ","08051"
"Choate Fields","333 Christian Street","Wallingford","CT","06492"
"Christopher Columbus Park #1","416 Paulison Avenue","Passaic","NJ","07055"
"Christopher Dock High School- Stadium Turf #1","1000 Forty Foot Road","Lansdale","PA","19446"
"Churchville Rec CenterField 06","111 Glenville Road","Churchville","MD","21028"
"City ParkFosina","453 5th Ave","New Rochelle","NY","10801"
"City ParkSkidelsk","453 5th Ave","New Rochelle","NY","10801"
"Clarkstown North HS #1","151 Congers Road","New City","NY","10956"
"Clarkstown South High School #1","31 Demerest Road","West Nyack","NY","10994"
"Clifton High School","333 Colfax Avenue","Clifton","NJ","07013"
"Clifton HS Turf #1",,,,
"Clover Hill Complex #2 #2","6 Clover Hill Road","Flemington","NJ","08822"
"Clover Hill Complex 1 #1","6 Clover Hill","Flemington","NJ","08822"
"Clover Hill Complex 8x8","6 Clover Hill","Flemington","NJ","08822"
"Clover Hill Soccer Complex","6 Clover Hill Road","Flemington","NJ","08822"
"Cohansey #2","50 Hoover Road","Bridgeton","NJ","08302"
"Cohansey SC",,,,
"College of Staten Island","2800 Victory Blvd","Staten Island","NY","10314"
"Colmar Manor CPField 02","3510 37th Ave","Colmar Manor","MD","20722"
"Colonia High School","180 East St.","Colonia","NJ","07067"
"Community Park #1","Little Falls Road","Cedar Grove","NJ","07009"
"Comstock #1","181 school rd","Wilton","CT","06897"
"Concordia Prep GrassField 02","1145 Concordia Drive","Towson","MD","21286"
"Concordia Prep SchoolTurf","1145 Concordia Dr","Baltimore","MD","21286"
"Concordia Prep TurfField 01","1145 Concordia Drive","Towson","MD","21286"
"Concordia Preparatory School #1","1145 Concordia Drive","Towson","MD","21286"
"Connecticut Sportsplex #1","150 Foxon Road","North Branford","CT","06471"
"Coucil Rock South High School #1","2002 Rock Way","Holland","PA","18966"
"Council Rock South 9v9 (Horse Farm Field) #12","2002 Rock Way","Holland","PA","18966"
"Count Basie Turf Feild #1","11 Henry street","Schrewsbury","NJ","07702"
"Covenant ParkField 01","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 05","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 06","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 07","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 08","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 1A","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 1B","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 1B","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 5A","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 5B","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 6A","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 6B","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 8A","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant ParkField 8B","4560 Centennial Lane","Ellicott City","MD","21042"
"Covered Bridge Park #1","225 Keeley Ave","Doylestown","PA","18901"
"Cowell Field (Veteran's Park)","2206 Kuser Rd","Hamilton Township","NJ","08690"
"Cowenton Parksm Field","8914 Cowenton Ave","Perry Hall","MD","21128"
"Cox Lower Field #1",,,,
"Creamery ParkLS2","8030 Spring Creek Rd","Alburtis","PA","18011"
"Creamery ParkLS4","8030 Spring Creek Rd","Alburtis","PA","18011"
"Creekview Park #1","4795 Creekview Road","Mechanicsburg","PA","17055"
"Crim#1F","1300 Crim Road","Bridgewater","NJ","08807"
"Crim #3","1300 Crim Road","Bridgewater","NJ","08807"
"Crim #4","1300 Crim Road","Bridgewater","NJ","08807"
"Crim #5","1300 Crim Road","Bridgewater","NJ","08807"
"Crockett Middle School Full #1","2631 Kuser Rd","Hamilton","NJ","08691"
"Cross Farm #1","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #10","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #11","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #2","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #3","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #6","10 Longbridge Road","Holmdel","NJ","07733"
"Cross Farm #7","10 Longbridge Road","Holmdel","NJ","07733"
"CROSS FARMS FIELD #10","Longbridge Rd. & Rt. 520","Holmdel","NJ","07733"
"CROSS FARMS FIELD #10","10 Longbridge Road","Holmdel","NJ","07733"
"CROSS FARMS FIELD #10","10 Longbridge Road","Holmdel","NJ","07733"
"CROSS FARMS FIELD #2","10 Longbridge Road","Holmdel","NJ","07733"
"CROSS FARMS FIELD #8","Longbridge Rd. & Rt. 520","Holmdel","NJ","07733"
"CROSS FARMS FIELD #9","Longbridge Rd. & Rt. 520","Holmdel","NJ","07733"
"Crown Sports CenterField 07","28410 Crown Road","Eden","MD","21822"
