"Field"
"1600 Park"
"2694-2698 Southampton Rd #1"
"7th Street Field #1"
"Afrim's Bethlehem Soccer Complex"
"Afrim's Latham Dome"
"Agnes Irwin School Turf"
"Alderfer A1"
"Alderfer A2"
"Allen Pond Turf"
"Allen's Meadow Complex #1"
"Allens Meadows Park #1"
"Allens Meadows Park #3"
"Alma Turf Field #1"
"Ambler Farms #1"
"Andy Brown Field #1"
"Appoquinimink High School #1"
"Archbishop Spalding High School"
"Ark Road Fields #1"
"Arsenal Soccer Schools Academy Mt Olive Training Center"
"Arundel HS"
"Arundel HS Bermuda 9v9"
"Arundel HS Front Bermuda 11v11"
"Asphalt Green"
"Athenia Steel Park"
"Athenia Steel Park ASP1"
"Athenia Steel Recreation Complex #1"
"Ave K Veterans Park #1"
"AW Cox School #1"
"Back Mountain Rec Fields #1"
"Ballenger Creek Park Turf"
"Baltimore PolyTech HS 9v9"
"Baltimore PolyTech HS Turf"
"Banner Field Turf"
"BARBOUR POND #4"
"Barbour Pond Turf"
"Barnegat Soccer Field #1"
"Barrack Hebrew Academy Turf"
"Barrett Field"
"Baymen Soccer Complex #1"
"Baymen Soccer Complex #2"
"Baymen Soccer Complex #3"
"Baymen Soccer Complex #4"
"Beachmont"
"Beachwood Soccer Complex #4"
"Bell Branch Park A"
"Bell Branch Park B"
"Bell Branch Park C"
"Bell Branch Park D4"
"Bell Branch Park Field 01"
"Belmont Oval"
"Belmont Oval Field #1"
"Berkshire Community College #1"
"Berwick Complex #1"
"Berwick Soccer Complex #1"
"Berwick Soccer Complex #3"
"Bey Lea Soccer Complex SS BL2"
"BG&E Field #01"
"Bob Bende Park #1"
"BORDENTOWN-FRIENDSHIP FIELDS #9"
"Bretton Woods Field 01"
"Bridgewater Soccer Association #1"
"Bridgewater Turf #2"
"Brookdale Meadow Large BML"
"Brookdale Meadow Small BMS"
"Brookdale Park Stadium BPS"
"Bruns Park East #1"
"Bryantown Soccer Complex #12"
"Bryantown Soccer Complex #3"
"Bryantown Soccer Complex #6"
"Bryantown Sports Complex #3"
"Bryantown Sports Complex #6"
"Bryn Mawr School Field 01"
"Bryn Mawr School Turf"
"BSC Complex - #4 Grass"
"C. Milton Wright High School (Turf) #3"
"Calvert Hall College High School Turf"
"Calvert Hall HS Stadium"
"Calvert Regional Park Turf #4"
"Calverton School #1"
"Calverton School Alumni Field"
"Camp Dawson"
"Cape Horn Park #1"
"Capelli Sport Complex (Wayside Rd) #3"
"Capelli Sport Complex (Wayside Rd) #4 FS"
"Capelli Sport Complex (Wayside Rd) #4 SS A"
"Capelli Sport Complex (Wayside Rd) #5 FS"
"Capelli Sport Complex (Wayside Rd) #6 FS"
"Capelli Sport Complex (Wayside Rd) #6 SS A"
"Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1"
"Capelli Sport Field at Sycamore Recreation Complex #5 FS"
"Capelli Sport Field at Sycamore Recreation Complex #5 SS A"
"Capelli Sport Outdoor Complex (Pine Island)"
"Cardinal Gibbons School Babe Ruth"
"Cardinal O'Hara School Turf"
"Cardinal Stadium"
"Cardinal Stadium #1"
"Carsins Run Field A"
"Carsins Run Fields Field A"
"Carsins Run Fields Field B"
"Cattell #04"
"Cattell Complex in Deptford #1"
"Caven Point - small sided 1 and 2"
"Caven Point Turf #1"
"CCBC Catonsville"
"CCBC Essex Field Turf"
"Cedar Crest College #1"
"Cedar Grove HS Turf"
"CEDAR HOLLOW"
"Cedar Lane Regional Park #12 Turf"
"Cedar Lane Regional Park #4"
"Cedar Ridge School #1"
"Cedarbrook Park"
"Centennial Field #1"
"Centennial HS Stadium"
"Centereach Park #1"
"Central Park (New Britain Rd Entrance) Field 5"
"Central Park #1"
"Central Park #2"
"Central Park #4"
"Central Park #5"
"Central Park 3A"
"Central Park 3B"
"Central Regional High School Turf"
"CFC Field 1"
"CFC Field 3"
"CHAC South"
"Chancellor's Run Regional Park Field 01"
"Chancellors Run Complex Field 02"
"Chapel Ave Turf"
"Chase Collegiate #1"
"Cherokee High School Turf CHS08"
"Cherokee Street Elementary School #4"
"Cherokee Street Elementary School #5"
"Cherry Hill FC #8"
"Cherry Hill HS West Turf"
"Chestnut Branch Park A"
"Choate Fields"
"Christopher Columbus Park #1"
"Christopher Dock High School- Stadium Turf #1"
"Churchville Rec Center Field 06"
"City Park Fosina"
"City Park Skidelsk"
"Clarkstown North HS #1"
"Clarkstown South High School #1"
"Clifton High School"
"Clifton HS Turf #1"
"Clover Hill Complex #2 #2"
"Clover Hill Complex 1 #1"
"Clover Hill Complex 8x8"
"Clover Hill Soccer Complex"
"Cohansey #2"
"Cohansey SC"
"College of Staten Island"
"Colmar Manor CP Field 02"
"Community Park #1"
"Concordia Prep Grass Field 02"
"Concordia Prep School Turf"
"Connecticut Sportsplex #1"
"Coucil Rock South High School #1"
"Council Rock South 9v9 (Horse Farm Field) #12"
"Count Basie Turf Feild #1"
"Covenant Park Field 01"
"Covenant Park Field 05"
"Covenant Park Field 06"
"Covenant Park Field 07"
"Covenant Park Field 08"
"Covenant Park Field 5A"
"Covenant Park Field 5B"
"Covenant Park Field 6A"
"Covenant Park Field 8A"
"Covenant Park Field 8B"
"Cowell Field (Veteran's Park)"
"Cowenton Park Field 01"
"Cox Lower Field #1"
"Creamery Park LS2"
"Creamery Park LS4"
"Creekview Park #1"
"Crim #3"
"Crim #4"
"Crim #5"
"Crockett Middle School Full #1"
"Cross Farm #1"
"Cross Farm #10"
"Cross Farm #11"
"Cross Farm #2"
"Cross Farm #3"
"Cross Farm #6"
"CROSS FARMS FIELD #10"
"CROSS FARMS FIELD #2"
"CROSS FARMS FIELD #8"
"CROSS FARMS FIELD #9"
"Crown Sports Center Field 07"
"Croydon Hall Turf"
"CT Sportsplex #1"
"Dallas HS Stadium #1"
"Danville Soccer Park #1"
"Davidsonville Park Field F"
"De Paul Catholic #1"
"DE Rush Field #4"
"DE Rush Smith Estate (Turf) #1"
"Decou 9v9 D5"
"Decou D6"
"Decou D7"
"Delaware Sports Complex #1"
"Delaware Sports Complex EDP Futures Festival #1"
"Delaware Union Park #4"
"Delaware Valley Friends School"
"Delaware Valley Friends School DVFS"
"Delaware Valley Friends School Turf"
"Delran Soccer Club"
"Den of Lions - Riverbank Park"
"Den of Lions - Riverfront Park"
"DePaul High School #1"
"Diamond in the Pines #1"
"Dideriksen Park 1A"
"Dideriksen Park Field #4"
"Division Ave HS #6"
"Doc Cramer Sports Complex #1"
"Doc Cramer Sports Complex #10"
"Doc Cramer Sports Complex #6"
"Dorbrook #1"
"Dorbrook #3"
"Dorbrook Full #1"
"Dorbrook Full #2"
"Dorbrook Park #1"
"Dorbrook Recreation Area FS1"
"Dorbrook Recreation Area SS2"
"Dorbrook Recreation Area SS3"
"Dorbrook SS # 2"
"Drew University"
"Drew University #1"
"Drum Point Sports Complex #1"
"Drum Point Sports Complex #2"
"Drum Point Sports Complex #4"
"Duderstadt Grass Field"
"Duderstadt Turf Field"
"Dundalk HS Turf"
"Dundee Island Park"
"East Hanover Middle School"
"East Windsor PAL A"
"East Woods School Upper #1"
"East Woods School Upper #2"
"Eastern Reg Park Field 10"
"Eastern Regional High School #1"
"Eastern Regional Park Grass #2"
"Eastern Regional Park Turf"
"EASTERN TURF 7 HS7"
"Echelon Complex #1"
"Echelon Complex 1 EC1"
"Echelon Complex 2 EC2"
"Echelon Complex 5 EC5"
"ECPS Complex, Westville NJ 11v11"
"Edwards"
"Elizabeth Seton HS #1"
"Elizabeth Seton Turf Field #1"
"Essex Valley High School"
