Home,Away,Field
WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,SubDiv A Team 3 U13 Boys EDP,Unassigned
PARSIPPANY SC 2005 BOYS ACADEMY BLUE U13 Boys EDP,PHILADELPHIA UKRAINIAN NATIONALS '05 BLACK U13 Boys EDP,Unassigned
NJ STALLIONS ACADEMY 04 ROMA EDP U14 Boys EDP,CEDAR STARS ACADEMY BERGEN WEST U14 FLASH GREEN U14 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U14 U14 Boys EDP,UNION CITY UNITED SOCCER FC UNITED SAUL U-14 U14 Boys EDP,Unassigned
PDA HIBERNIAN DRAXLER U14 Boys EDP,IRONBOUND SC 04RED-BARCA U14 Boys EDP,Unassigned
LOWER MERION INVICTUS U14 Boys EDP,SJEB RUSH 04 BOYS ACADEMY U14 Boys EDP,
UNION CITY UNITED SOCCER FC UNITED SAUL U-14 U14 Boys EDP,SFL REVOLUTION U14 Boys EDP,Unassigned
NJ STALLIONS ACADEMY 04 ROMA EDP U14 Boys EDP,WAYNE SC PSG ST GERMAIN U14 Boys EDP,Unassigned
AMERICAS UNITED AJAX U14 Boys EDP,HILLSBOROUGH 04B RAIDERS RED U14 Boys EDP,Unassigned
SAC BALTIMORE ARMOUR PREACADEMY U14 Boys EDP,JOGA SC JOGA 2004/2005 U14 Boys EDP,
DELAWARE FOOTBALL DEFC 04 BOYS U14 Boys EDP,FC EUROPA 04' ELITE U14 Boys EDP,Unassigned
NY STARS PREMIER GALAXY U14 Boys EDP,BEACHSIDE OF CONNECTICUT SC BOYS 2004 U14 Boys EDP,Unassigned
FC EUROPA 04' ELITE U14 Boys EDP,HMMS FC ATLETICO U14 Boys EDP,
DEN OF LIONS UNITED U14 Boys EDP,FC EUROPA SA UNITED U14 Boys EDP,Unassigned
AMERICAS UNITED MANCHESTER U15 Boys EDP,TSF ACADEMY 2004B U15 Boys EDP,Unassigned
DEPTFORD PREMIER FC '03/'04 BOYS U15 Boys EDP,BURLINGTON COUNTY BCSA BOYS 2003 U15 Boys EDP,Unassigned
NJ WILDCATS 04 U15 Boys EDP,MONROE TOWNSHIP YOUTH SOCCER MONROE 3 LIONS LAMPARD U15 Boys EDP,Unassigned
NJ WILDCATS 04 U15 Boys EDP,HADDONFIELD SC 03 RED DAWGS U15 Boys EDP,Unassigned
PENINSULA UNITED EAGLES U15 Boys EDP,UNION COUNTY FC PREMIER UCFC ZURICH U15 Boys EDP,Unassigned
CEDAR STARS ACADEMY - MONMOUTH 2003B GREEN U15 Boys EDP,DUSC B2003 BLUE U15 Boys EDP,Unassigned
LEHIGH VALLEY UNITED LVU 2003 BOYS BLACK U15 Boys EDP,YARDLEY MAKEFIELD SOCCER PREMIER '03 CELTIC-1967 U15 Boys EDP,
HENLOPEN HAMMERHEADS U15 Boys EDP,ASA DMV ELITE '03 U15 Boys EDP,Unassigned
SOMERSET COUNTY FC PIT 02B U16 Boys EDP,PARKLAND AREA PASC RED DEVILS U16 Boys EDP,Unassigned
BRAUSA UNITED FUTEBOL BLUE 02 U16 Boys EDP,SAC B2002 PREMIER BLUE U16 Boys EDP,Unassigned
SOMERSET COUNTY FC PIT 02B U16 Boys EDP,COUNCIL ROCK UNITED FC BUCKS STORM U16 Boys EDP,Unassigned
FC BERNA LEGACY 02B GOLD U16 Boys EDP,HULMEVILLE SC HORNETS U16 Boys EDP,Unassigned
PHILADELPHIA UKRAINIAN NATIONALS ZORIA RED U16 Boys EDP,LAWRENCE HAMNETT SA LIONS U16 Boys EDP,Unassigned
PDA SHORE 2002 SUAREZ U16 Boys EDP,AMERICAS UNITED ARSENAL U16 Boys EDP,Unassigned
SOMERSET COUNTY FC PIT 01B U17 Boys EDP,WEST NEW YORK S.C. WNY TIGER 01-02 U17 Boys EDP,Unassigned
DELAWARE FOOTBALL DEFC 01 BOYS U17 Boys EDP,KIRKWOOD KSC '01 BLUE U17 Boys EDP,Unassigned
MT OLIVE SC PREMIER BLACK 01 U17 Boys EDP,VALENCIA 01/02 BLACK U17 Boys EDP,Unassigned
SOMERSET COUNTY FC PIT 01B U17 Boys EDP,PDA SHORE BAGGIO 2001 U17 Boys EDP,Unassigned
SWSA CYCLONES U17 Boys EDP,FAIRMOUNT UNITED PHILLY SOCCER 2001 BOYS BLUE U17 Boys EDP,Unassigned
SWSA CYCLONES U17 Boys EDP,DONEGAL YOUTH SOCCER THUNDER '01 U17 Boys EDP,Unassigned
FORT WASHINGTON FC UNITED U19 Boys EDP,CAPITAL FC 99B RED (DIPLOMATS) U19 Boys EDP,Unassigned
MT OLIVE SC PREMIER RED U19 Boys EDP,GERMAN AMERICAN KICKERS AZZURRI U19 Boys EDP,Unassigned
GERMAN AMERICAN KICKERS AZZURRI U19 Boys EDP,MANALAPAN HEAT U19 Boys EDP,Unassigned
MONMOUTH UNITED SC KNIGHTS U19 Boys EDP,PISCATAWAY SC LAZIO U19 Boys EDP,Unassigned
SOMERSET COUNTY FC PIT 00B U19 Boys EDP,DUSC B2000 ORANGE U19 Boys EDP,Unassigned
TSF ACADEMY 2007G U11 Girls EDP,STA 2007G NPL U11 Girls EDP,
NEW YORK SC ELITE G07 EDP U11 Girls EDP,SABA NYC G07 U11 Girls EDP,Unassigned
NJ WILDCATS F.C. STRIKERS U11 Girls EDP,MONROE TOWNSHIP SC 07 PURPLE MENACE U11 Girls EDP,Unassigned
CENTERCOURT FC 07G GREEN U11 Girls EDP,FC COPA ACADEMY G07 BLACK U11 Girls EDP,Unassigned
NIRVANA 360 FREEDOM U12 Girls EDP,FC BERNA LEGACY 06G U12 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2006 GIRLS BLACK U12 Girls EDP,A-GAME 2006 U12 Girls EDP,Unassigned
