"Home","Away","Field","Age.Group","Gender"
"RSK CHESTERFIELD 2008 ELITE WHITE U10 Boys ADSL","RSK CHESTERFIELD FIRST TOUCH U10 Boys ADSL","United Training Center #4A","U10","Boys"
"STRIKERS 2008 KNIGHTON U10 Boys ADSL","FC RICHMOND SKY U10 Boys ADSL","Striker Park #09","U10","Boys"
"STRIKERS 2008 OWNBY U10 Boys ADSL","FC RICHMOND NAVY U10 Boys ADSL","Striker Park #09","U10","Boys"
"RSK CHESTERFIELD 2008 ELITE BLUE U10 Boys ADSL","STRIKER 2008 ELITE BLACK U10 Boys ADSL","United Training Center #4B","U10","Boys"
"RSK CHESTERFIELD FIRST TOUCH U10 Boys ADSL","STRIKERS 2008 OWNBY U10 Boys ADSL","United Training Center #4B","U10","Boys"
"RSK CHESTERFIELD 2008 ELITE WHITE U10 Boys ADSL","STRIKERS 2008 KNIGHTON U10 Boys ADSL","United Training Center #4B","U10","Boys"
"STRIKERS 2008 ELITE ORANGE U10 Boys ADSL","BRYC U10B U10 Boys ADSL","Striker Park #09","U10","Boys"
"STRIKER 2008 ELITE BLACK U10 Boys ADSL","BRYC U10B U10 Boys ADSL","Striker Park #10","U10","Boys"
"STRIKERS 2008 OWNBY U10 Boys ADSL","STRIKERS 2008 KNIGHTON U10 Boys ADSL","Striker Park #09","U10","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","Woodlake #1","U11","Boys"
"FC RICHMOND METRO SKY U11 Boys ADSL","POWHATAN FURY 07B U11 Boys ADSL","Greenfield #1","U11","Boys"
"FC RICHMOND METRO NAVY U11 Boys ADSL","KICKERS CENTRAL FIRE U11 Boys ADSL","Greenfield #1","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","Striker Park #04","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","United Training Center #5","U11","Boys"
"KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","Woodlake #3","U11","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Bryan Park A1","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","FC RICHMOND METRO NAVY U11 Boys ADSL","Striker Park #05","U11","Boys"
"STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","Striker Park #04","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","POWHATAN FURY 07B U11 Boys ADSL","Striker Park #04","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","United Training Center #5","U11","Boys"
"POWHATAN FURY 07B U11 Boys ADSL","KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","Fighting Creek Park #2","U11","Boys"
"STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","Striker Park #04","U11","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","KICKERS CENTRAL FIRE U11 Boys ADSL","Woodlake #3","U11","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","Woodlake #3","U11","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","FC RICHMOND METRO NAVY U11 Boys ADSL","Bryan Park A1","U11","Boys"
"POWHATAN FURY 07B U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Fighting Creek Park #2","U11","Boys"
"STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","Striker Park #04","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","United Training Center #4B","U11","Boys"
"KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","Woodlake #3","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","United Training Center #5","U11","Boys"
"FC RICHMOND METRO NAVY U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Greenfield #2","U11","Boys"
"POWHATAN FURY 07B U11 Boys ADSL","KICKERS CENTRAL FIRE U11 Boys ADSL","Fighting Creek Park #2","U11","Boys"
"FC RICHMOND METRO NAVY U11 Boys ADSL","KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","Greenfield #2","U11","Boys"
"FC RICHMOND METRO SKY U11 Boys ADSL","STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","Greenfield #2","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","United Training Center #5","U11","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","Woodlake #3","U11","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Bryan Park A1","U11","Boys"
"POWHATAN FURY 07B U11 Boys ADSL","FC RICHMOND METRO NAVY U11 Boys ADSL","Fighting Creek Park #2","U11","Boys"
"FC RICHMOND METRO SKY U11 Boys ADSL","POWHATAN FURY 07B U11 Boys ADSL","Greenfield #2","U11","Boys"
"FC RICHMOND METRO NAVY U11 Boys ADSL","KICKERS CENTRAL FIRE U11 Boys ADSL","Greenfield #2","U11","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","Woodlake #3","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Striker Park #04","U11","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","POWHATAN FURY 07B U11 Boys ADSL","Bryan Park A1","U11","Boys"
"STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","FC RICHMOND METRO NAVY U11 Boys ADSL","Striker Park #04","U11","Boys"
"KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","Woodlake #3","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","Capital Park #3","U11","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","FC RICHMOND METRO SKY U11 Boys ADSL","Bryan Park A1","U11","Boys"
"POWHATAN FURY 07B U11 Boys ADSL","FC RICHMOND METRO NAVY U11 Boys ADSL","Fighting Creek Park #2","U11","Boys"
"KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","Woodlake #3","U11","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"POWHATAN FURY 06B U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","Fighting Creek Park #1","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","Woodlake #1","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","STRIKERS 2006 UNITED U12 Boys ADSL","United Training Center #5","U12","Boys"
