Home,Away
Roanoke Star 2000 U18 Female CCL,FC Richmond 2000 U18 Female CCL
SOCA 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
NVSC 2004 U14 Female CCL,Ellicott City 2004 U14 Female CCL
NVSC 2007 U11 Female CCL,Ellicott City 2007 U11 Female CCL
SYC 2008 U10 Male CCL,FCSC United 2008 U10 Male CCL
SYC 2008 U10 Female CCL,FCSC United 2008 U10 Female CCL
SYC 2009 U09 Male CCL,FCSC United 2009 U09 Male CCL
SYC 2009 U09 Female CCL,FCSC United 2009 U09 Female CCL
DC Stoddert 1999 U19 Female CCL,FC Richmond 1999 U19 Female CCL
Arlington 2000 U18 Male CCL,Roanoke Star 2000 U18 Male CCL
DC Stoddert 2000 U18 Male CCL,FC Richmond 2000 U18 Male CCL
Arlington 2000 U18 Female CCL,Roanoke Star 2000 U18 Female CCL
DC Stoddert 2000 U18 Female CCL,FC Richmond 2000 U18 Female CCL
Fredericksburg FC 2004 U14 Female CCL,Ellicott City 2004 U14 Female CCL
Fredericksburg FC 2007 U11 Female CCL,Ellicott City 2007 U11 Female CCL
Ellicott City 2008 U10 Male CCL,Fredericksburg FC 2008 U10 Male CCL
Ellicott City 2008 U10 Female CCL,Fredericksburg FC 2008 U10 Female CCL
Ellicott City 2009 U09 Female CCL,Arlington 2009 U09 Female CCL
SYA 2009 U09 Female CCL,DC Stoddert 2009 U09 Female CCL
Ellicott City 2004 U14 Female CCL,Loudoun 2004 U14 Female CCL
Ellicott City 2007 U11 Female CCL,Loudoun 2007 U11 Female CCL
FCSC United 2009 U09 Male CCL,Loudoun 2009 U09 Male CCL
FCSC United 2009 U09 Female CCL,Loudoun 2009 U09 Female CCL
LMVSC 1999 U19 Female CCL,SYA 1999 U19 Female CCL
FC Richmond 1999 U19 Female CCL,Fredericksburg FC 1999 U19 Female CCL
Roanoke Star 2000 U18 Male CCL,SOCA 2000 U18 Male CCL
FC Richmond 2000 U18 Male CCL,Fredericksburg FC 2000 U18 Male CCL
Roanoke Star 2000 U18 Female CCL,SOCA 2000 U18 Female CCL
FC Richmond 2000 U18 Female CCL,Fredericksburg FC 2000 U18 Female CCL
FC Richmond 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
Ellicott City 2004 U14 Female CCL,Potomac 2004 U14 Female CCL
Ellicott City 2007 U11 Female CCL,Potomac 2007 U11 Female CCL
Ellicott City 2009 U09 Female CCL,NVSC 2009 U09 Female CCL
Virginia Legacy 2000 U18 Female CCL,SOCA 2000 U18 Female CCL
Potomac 1999 U19 Female CCL,FC Richmond 1999 U19 Female CCL
Loudoun 1999 U19 Female CCL,SYA 1999 U19 Female CCL
Fredericksburg FC 1999 U19 Female CCL,Loudoun 1999 U19 Female CCL
NVSC 1999 U19 Female CCL,FC Richmond 1999 U19 Female CCL
Ellicott City 2000 U18 Female CCL,Roanoke Star 2000 U18 Female CCL
Potomac 1999 U19 Male CCL,SYA 1999 U19 Male CCL
McLean 1999 U19 Female CCL,Loudoun 1999 U19 Female CCL
Potomac 1999 U19 Female CCL,SYA 1999 U19 Female CCL
LMVSC 2000 U18 Male CCL,Roanoke Star 2000 U18 Male CCL
LMVSC 2000 U18 Female CCL,Roanoke Star 2000 U18 Female CCL
McLean 2001 U17 Female CCL,Loudoun 2001 U17 Female CCL
McLean 2002 U16 Male CCL,Loudoun 2002 U16 Male CCL
McLean 2002 U16 Female CCL,Loudoun 2002 U16 Female CCL
McLean 1999 U19 Female CCL,Potomac 1999 U19 Female CCL
LMVSC 1999 U19 Female CCL,Fredericksburg FC 1999 U19 Female CCL
Roanoke Star 2000 U18 Male CCL,FC Frederick 2000 U18 Male CCL
DC Stoddert 2000 U18 Male CCL,McLean 2000 U18 Male CCL
Ellicott City 2000 U18 Male CCL,Roanoke Star 2000 U18 Male CCL
NVSC 2000 U18 Male CCL,FC Richmond 2000 U18 Male CCL
Potomac 2000 U18 Female CCL,FC Richmond 2000 U18 Female CCL
Ellicott City 2000 U18 Female CCL,FC Richmond 2000 U18 Female CCL
Roanoke Star 2000 U18 Male CCL,FC Frederick 2000 U18 Male CCL
DC Stoddert 2001 U17 Male CCL,McLean 2001 U17 Male CCL
Loudoun 2002 U16 Male CCL,SYA 2002 U16 Male CCL
Fredericksburg FC 2002 U16 Male CCL,Loudoun 2002 U16 Male CCL
Loudoun 2002 U16 Male CCL,LMVSC 2002 U16 Male CCL
DC Stoddert 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
Virginia Legacy 2002 U16 Male CCL,Arlington 2002 U16 Male CCL
LMVSC 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
Fredericksburg FC 2002 U16 Male CCL,Loudoun 2002 U16 Male CCL
McLean 1999 U19 Female CCL,SYA 1999 U19 Female CCL
McLean 2000 U18 Male CCL,SYA 2000 U18 Male CCL
