"Home","Away","Field"
"NVSC 2006 U12 Male CCL","SYA 2006 U12 Male CCL","Hellwig Park #3"
"Arlington 2006 U12 Male CCL","McLean 2006 U12 Male CCL","Virginia Highlands #1"
"FC Richmond 2006 U12 Male CCL","LMVSC 2006 U12 Male CCL","Greenfield Elementary School #1"
"Beach FC 2006 U12 Male CCL","Fredericksburg FC 2006 U12 Male CCL","Hampton Roads Soccer Complex #13a"
"Loudoun 2006 U12 Female CCL","Roanoke Star 2006 U12 Female CCL","Philip Bolen Park #16"
"NVSC 2006 U12 Female CCL","SYA 2006 U12 Female CCL","Hellwig Park #3"
"Arlington 2006 U12 Female CCL","McLean 2006 U12 Female CCL","Virginia Highlands #1"
"FC Richmond 2006 U12 Female CCL","LMVSC 2006 U12 Female CCL","Greenfield Elementary School #1"
"Beach FC 2006 U12 Female CCL","Fredericksburg FC 2006 U12 Female CCL","Hampton Roads Soccer Complex #13a"
"Loudoun 2007 U11 Male CCL","Roanoke Star 2007 U11 Male CCL","Philip Bolen Park #1"
"NVSC 2007 U11 Male CCL","SYA 2007 U11 Male CCL","Hellwig Park #3"
"Arlington 2007 U11 Male CCL","McLean 2007 U11 Male CCL","Virginia Highlands #1"
"FC Richmond 2007 U11 Male CCL","LMVSC 2007 U11 Male CCL","Greenfield Elementary School #1"
"Beach FC 2007 U11 Male CCL","Fredericksburg FC 2007 U11 Male CCL","Hampton Roads Soccer Complex #13a"
"Loudoun 2007 U11 Female CCL","Roanoke Star 2007 U11 Female CCL","Philip Bolen Park #16"
"NVSC 2007 U11 Female CCL","SYA 2007 U11 Female CCL","Hellwig Park #3"
"Arlington 2007 U11 Female CCL","McLean 2007 U11 Female CCL","Virginia Highlands #1"
"FC Richmond 2007 U11 Female CCL","LMVSC 2007 U11 Female CCL","Greenfield Elementary School #1"
"Beach FC 2007 U11 Female CCL","Fredericksburg FC 2007 U11 Female CCL","Hampton Roads Soccer Complex #13a"
"Loudoun 1999 U19 Male CCL","SOCA 1999 U19 Male CCL","Loudoun Soccer Park #2"
"NVSC 1999 U19 Male CCL","FC Frederick 1999 U19 Male CCL","Hellwig Park #8"
"SYA 1999 U19 Male CCL","Arlington 1999 U19 Male CCL","Centreville High School #Practice - Turf"
"McLean 1999 U19 Male CCL","FC Richmond 1999 U19 Male CCL","Lewinsville Park #2"
"Loudoun 1999 U19 Female CCL","SOCA 1999 U19 Female CCL","Philip Bolen Park #12"
"NVSC 1999 U19 Female CCL","FC Frederick 1999 U19 Female CCL","Hellwig Park #7"
"Loudoun 2000 U18 Male CCL","SOCA 2000 U18 Male CCL","Philip Bolen Park #12"
"NVSC 2000 U18 Male CCL","FC Frederick 2000 U18 Male CCL","Hellwig Park #8"
"SYA 2000 U18 Male CCL","Arlington 2000 U18 Male CCL","Centerville High School #Practice - Turf"
"Loudoun 2000 U18 Female CCL","SOCA 2000 U18 Female CCL","Philip Bolen Park #12"
"NVSC 2000 U18 Female CCL","FC Frederick 2000 U18 Female CCL","Hellwig Park #7"
"SYA 2000 U18 Female CCL","Arlington 2000 U18 Female CCL","Centerville High School #Stadium"
"McLean 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","Lewinsville Park #2"
"Loudoun 2001 U17 Male CCL","SOCA 2001 U17 Male CCL","Loudoun Soccer Park #2"
"NVSC 2001 U17 Male CCL","FC Frederick 2001 U17 Male CCL","Hellwig Park #8"
"SYA 2001 U17 Male CCL","Arlington 2001 U17 Male CCL","Centerville High School #Practice - Turf"
"McLean 2001 U17 Male CCL","FC Richmond 2001 U17 Male CCL","Lewinsville Park #2"
"Loudoun 2001 U17 Female CCL","SOCA 2001 U17 Female CCL","Philip Bolen Park #2"
"NVSC 2001 U17 Female CCL","FC Frederick 2001 U17 Female CCL","Hellwig Park #7"
"SYA 2001 U17 Female CCL","Arlington 2001 U17 Female CCL","Centerville High School #Stadium"
"McLean 2001 U17 Female CCL","FC Richmond 2001 U17 Female CCL","Spring Hill Recreation Center #5"
"Loudoun 2002 U16 Male CCL","SOCA 2002 U16 Male CCL","Philip Bolen Park #12"
"NVSC 2002 U16 Male CCL","FC Frederick 2002 U16 Male CCL","Hellwig Park #8"
"SYA 2002 U16 Male CCL","Arlington 2002 U16 Male CCL","Centerville High School #Practice - Turf"
"McLean 2002 U16 Male CCL","FC Richmond 2002 U16 Male CCL","Lewinsville Park #2"
"Loudoun 2002 U16 Female CCL","SOCA 2002 U16 Female CCL","Philip Bolen Park #2"
"NVSC 2002 U16 Female CCL","FC Frederick 2002 U16 Female CCL","Hellwig Park #7"
"SYA 2002 U16 Female CCL","Arlington 2002 U16 Female CCL","Centerville High School #Stadium"
"McLean 2002 U16 Female CCL","FC Richmond 2002 U16 Female CCL","Spring Hill Recreation Center #5"
"Loudoun 2003 U15 Male CCL","SOCA 2003 U15 Male CCL","Loudoun Soccer Park #2"
"NVSC 2003 U15 Male CCL","FC Frederick 2003 U15 Male CCL","Hellwig Park #2"
"SYA 2003 U15 Male CCL","Arlington 2003 U15 Male CCL","SYA Sports Park #4"
"McLean 2003 U15 Male CCL","FC Richmond 2003 U15 Male CCL","Spring Hill Recreation Center #5"
"Loudoun 2003 U15 Female CCL","SOCA 2003 U15 Female CCL","Loudoun Soccer Park #1"
"NVSC 2003 U15 Female CCL","FC Frederick 2003 U15 Female CCL","Hellwig Park #3"
"SYA 2003 U15 Female CCL","Arlington 2003 U15 Female CCL","SYA Sports Park #4"
"McLean 2003 U15 Female CCL","FC Richmond 2003 U15 Female CCL","Spring Hill Recreation Center #5"
"Loudoun 2004 U14 Male CCL","SOCA 2004 U14 Male CCL","Philip Bolen Park #2"
"NVSC 2004 U14 Male CCL","FC Frederick 2004 U14 Male CCL","Hellwig Park #2"
"SYA 2004 U14 Male CCL","Arlington 2004 U14 Male CCL","SYA Sports Park #4"
"McLean 2004 U14 Male CCL","FC Richmond 2004 U14 Male CCL","Spring Hill Recreation Center #2"
"Loudoun 2004 U14 Female CCL","SOCA 2004 U14 Female CCL","Philip Bolen Park #2"
"NVSC 2004 U14 Female CCL","FC Frederick 2004 U14 Female CCL","Hellwig Park #2"
"SYA 2004 U14 Female CCL","Arlington 2004 U14 Female CCL","SYA Sports Park #4"
"McLean 2004 U14 Female CCL","FC Richmond 2004 U14 Female CCL","Spring Hill Recreation Center #2"
"Loudoun 2005 U13 Male CCL","SOCA 2005 U13 Male CCL","Loudoun Soccer Park #1"
"NVSC 2005 U13 Male CCL","FC Frederick 2005 U13 Male CCL","Hellwig Park #2"
"SYA 2005 U13 Male CCL","Arlington 2005 U13 Male CCL","SYA Sports Park #4"
"McLean 2005 U13 Male CCL","FC Richmond 2005 U13 Male CCL","Spring Hill Recreation Center #2"
"Loudoun 2005 U13 Female CCL","SOCA 2005 U13 Female CCL","Loudoun Soccer Park #1"
"NVSC 2005 U13 Female CCL","FC Frederick 2005 U13 Female CCL","Hellwig Park #2"
"SYA 2005 U13 Female CCL","Arlington 2005 U13 Female CCL","SYA Sports Park #4"
"McLean 2005 U13 Female CCL","FC Richmond 2005 U13 Female CCL","Spring Hill Recreation Center #2"
"Loudoun 2006 U12 Male CCL","SOCA 2006 U12 Male CCL","Philip Bolen Park #1"
"NVSC 2006 U12 Male CCL","FC Frederick 2006 U12 Male CCL","Hellwig Park #3"
"SYA 2006 U12 Male CCL","Arlington 2006 U12 Male CCL","SYA Sports Park #2"
"McLean 2006 U12 Male CCL","FC Richmond 2006 U12 Male CCL","Spring Hill Recreation Center #3"
"Loudoun 2006 U12 Female CCL","SOCA 2006 U12 Female CCL","Philip Bolen Park #16"
"NVSC 2006 U12 Female CCL","FC Frederick 2006 U12 Female CCL","Hellwig Park #3"
"SYA 2006 U12 Female CCL","Arlington 2006 U12 Female CCL","SYA Sports Park #2"
"McLean 2006 U12 Female CCL","FC Richmond 2006 U12 Female CCL","Spring Hill Recreation Center #3"
"Loudoun 2007 U11 Male CCL","SOCA 2007 U11 Male CCL","Philip Bolen Park #16"
"NVSC 2007 U11 Male CCL","FC Frederick 2007 U11 Male CCL","Hellwig Park #3"
"SYA 2007 U11 Male CCL","Arlington 2007 U11 Male CCL","SYA Sports Park #2"
"McLean 2007 U11 Male CCL","FC Richmond 2007 U11 Male CCL","Spring Hill Recreation Center #3"
"Loudoun 2007 U11 Female CCL","SOCA 2007 U11 Female CCL","Philip Bolen Park #16"
"NVSC 2007 U11 Female CCL","FC Frederick 2007 U11 Female CCL","Hellwig Park #3"
"SYA 2007 U11 Female CCL","Arlington 2007 U11 Female CCL","SYA Sports Park #2"
"McLean 2007 U11 Female CCL","FC Richmond 2007 U11 Female CCL","Spring Hill Recreation Center #3"
"Arlington 1999 U19 Female CCL","McLean 1999 U19 Female CCL","Gunston Middle School #1"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","EC Lawrence Park #3a"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","Philip Bolen Park #14b"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","Muldoon’s Farm #6a"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","Philip Bolen Park #14a"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","Muldoon’s Farm #6a"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","EC Lawrence Park #3a"
"SYA 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","EC Lawrence Park #3b"
"SYA 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","EC Lawrence Park #3b"
"SYA 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","EC Lawrence Park #3a"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","Philip Bolen Park #14b"
"Loudoun 2008 U10 Male CCL","Arlington 2008 U10 Male CCL","Philip Bolen Park #14b"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","Philip Bolen Park #14a"
"Loudoun 2008 U10 Female CCL","Arlington 2008 U10 Female CCL","Philip Bolen Park #14a"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","Spring Hill Recreation Center #5a"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","Spring Hill Recreation Center #5a"
"McLean 2008 U10 Male CCL","SYC 2008 U10 Male CCL","Spring Hill Recreation Center #5a"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","Spring Hill Recreation Center #5b"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","Spring Hill Recreation Center #5b"
"McLean 2008 U10 Female CCL","SYC 2008 U10 Female CCL","Spring Hill Recreation Center #5b"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","Muldoon’s Farm #6b"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","Muldoon’s Farm #6a"
"Potomac 2008 U10 Male CCL","DC Stoddert 2008 U10 Male CCL","Muldoon’s Farm #6b"
"Potomac 2008 U10 Female CCL","DC Stoddert 2008 U10 Female CCL","Muldoon’s Farm #6a"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","Philip Bolen Park #14b"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","Spring Hill Recreation Center #5a"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","Muldoon’s Farm #6a"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","Philip Bolen Park #14a"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","Spring Hill Recreation Center #5b"
"Potomac 2009 U09 Female CCL","DC Stoddert 2009 U09 Female CCL","Muldoon’s Farm #6b"
"SYA 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","EC Lawrence Park #3b"
"SYA 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","EC Lawrence Park #3a"
"SYA 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","EC Lawrence Park #3a"
"SYA 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","EC Lawrence Park #3b"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","Philip Bolen Park #14b"
"Loudoun 2009 U09 Male CCL","Arlington 2009 U09 Male CCL","Philip Bolen Park #14b"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","Philip Bolen Park #14a"
"Loudoun 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","Philip Bolen Park #14a"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","Muldoon’s Farm #6a"
"Potomac 2009 U09 Female CCL","DC Stoddert 2009 U09 Female CCL","Muldoon’s Farm #6b"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","Spring Hill Recreation Center #5a"
"McLean 2009 U09 Male CCL","SYC 2009 U09 Male CCL","Spring Hill Recreation Center #5a"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","Spring Hill Recreation Center #5b"
"Potomac 2009 U09 Male CCL","DC Stoddert 2009 U09 Male CCL","Muldoon’s Farm #6b"
"FC Frederick 1999 U19 Male CCL","Arlington 1999 U19 Male CCL","Oakdale High School #Aux"
"Ellicott City 1999 U19 Male CCL","LMVSC 1999 U19 Male CCL","Troy Park #4"
"Fredericksburg FC 1999 U19 Male CCL","Virginia Legacy 1999 U19 Male CCL","FFC Park #10"
"NVSC 1999 U19 Male CCL","Potomac 1999 U19 Male CCL","Hellwig Park #8"
"McLean 1999 U19 Male CCL","Roanoke Star 1999 U19 Male CCL","Linway"
"FC Richmond 1999 U19 Male CCL","Beach FC 1999 U19 Male CCL","Huguenot Park #3"
"SOCA 1999 U19 Male CCL","SYA 1999 U19 Male CCL","SOCA South Fork Soccer Park #4"
"FC Frederick 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","Oakdale High School #Aux"
"DC Stoddert 1999 U19 Female CCL","Loudoun 1999 U19 Female CCL","Maryland SoccerPlex #6"
"McLean 1999 U19 Female CCL","Roanoke Star 1999 U19 Female CCL","Lewinsville Park #2"
"Virginia Legacy 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","Hampton Roads Soccer Complex #15"
"FC Frederick 2000 U18 Male CCL","Arlington 2000 U18 Male CCL","Ballenger Creek Park #Turf"
"Ellicott City 2000 U18 Male CCL","LMVSC 2000 U18 Male CCL","Troy Park #4"
"Fredericksburg FC 2000 U18 Male CCL","Virginia Legacy 2000 U18 Male CCL","FFC Park #10"
"NVSC 2000 U18 Male CCL","Potomac 2000 U18 Male CCL","Hellwig Park #8"
"SOCA 2000 U18 Male CCL","SYA 2000 U18 Male CCL","SOCA South Fork Soccer Park #4"
"FC Frederick 2000 U18 Female CCL","Arlington 2000 U18 Female CCL","Oakdale High School #Aux"
"DC Stoddert 2000 U18 Female CCL","Loudoun 2000 U18 Female CCL","Maryland SoccerPlex #6"
"Fredericksburg FC 2000 U18 Female CCL","Virginia Legacy 2000 U18 Female CCL","FFC Park #12"
"NVSC 2000 U18 Female CCL","Potomac 2000 U18 Female CCL","Hellwig Park #7"
"FC Richmond 2000 U18 Female CCL","Beach FC 2000 U18 Female CCL","Huguenot Park #3"
"SOCA 2000 U18 Female CCL","SYA 2000 U18 Female CCL","SOCA South Fork Soccer Park #4"
"FC Frederick 2001 U17 Male CCL","Arlington 2001 U17 Male CCL","Urbana High School #Stadium"
"Ellicott City 2001 U17 Male CCL","LMVSC 2001 U17 Male CCL","Troy Park #4"
