"Home","Away","Field","Age.Group","Gender"
"SUSA EAST B07 U11 Boys EDP","NEW YORK RED BULLS RDS NYS 07 U11 Boys EDP","Baymen Soccer Complex #4","U11","Boys"
"MIDDLETOWN SC ARSENAL RED U11 Boys EDP","FISHTOWN AC ROWDIES U11 Boys EDP","Thompson SS","U11","Boys"
"CEDAR STARS ACADEMY BERGEN 2007 WHITE U11 Boys EDP","A.S. JUNIOR ELITE - 2007 BOYS U11 Boys EDP","Overpeck #1","U11","Boys"
"PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP","PDA SHORE 2007 DEBRUYNE U11 Boys EDP","Greenway Meadows Park SS Â","U11","Boys"
"CHERRY HILL FC DIABLOS U11 Boys EDP","SJEB 2007 NEWCASTLE U11 Boys EDP","Decou 9v9 D5","U11","Boys"
"PREMIER SC NAVY 07B U11 Boys EDP","CENTRAL CARROLL STRIKERS U11 Boys EDP","Notre Dame Prep School #1","U11","Boys"
"BRAUSA UNITED FUTEBOL 07 U11 Boys EDP","SAC PREMIER WHITE 07 U11 Boys EDP","Concordia Preparatory School #1","U11","Boys"
"WORLD CLASS FC '07 NJ WHITE U11 Boys EDP","NY STARS PREMIER GRAVITY U11 Boys EDP","Orangetown Soccer Complex 4 Turf","U11","Boys"
"ELECTRIC CITY SHOCK JUNIORS FC ECSJSC 07 U11 Boys EDP","BTSC GOALQUEST NAPOLI U11 Boys EDP","Luzerne County Sports Complex A","U11","Boys"
"PASCACK FC PFC CANO U11 Boys EDP","AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP","Memorial Field Park Ridge","U11","Boys"
"CEDAR STARS ACADEMY MONMOUTH B-2007 WHITE U11 Boys EDP","ROBBINSVILLE SA RAIDERS U11 Boys EDP","Capelli Sport Field at Sycamore Recreation Complex #5 SS A","U11","Boys"
"YMS BLACKOUT U11 Boys EDP","KEYSTONE ATHLETIC 2007 GRIFOS U11 Boys EDP","Macclesfield Park L","U11","Boys"
"ALEXANDRIA SA 07B RED U11 Boys EDP","WALDORF SC '07 BOYS - ORANGE U11 Boys EDP","Witter Fields #1","U11","Boys"
"SILVER LAKE SA TIGERS U11 Boys EDP","NEW YORK RED BULLS RDS NY NORTH 2007 U11 Boys EDP","Miller Field #5","U11","Boys"
"IRONBOUND SC 07RED-RAIDERS U11 Boys EDP","ARSENAL SOCCER SCHOOLS ACADEMY 2007 BERGKAMP U11 Boys EDP","RiverBank Park","U11","Boys"
"JACKSON WARRIORS U11 Boys EDP","FISHTOWN AC ROWDIES U11 Boys EDP","Justice Complex 1B","U11","Boys"
"PHILADELPHIA SC COPPA 07 YOUNG GUNS U11 Boys EDP","FC EUROPA 07' ELITE U11 Boys EDP","PSC/Agusta A6","U11","Boys"
"PIPELINE SC BLACK NORTH U11 Boys EDP","SAC PREMIER BLUE SPURS 2007 U11 Boys EDP","Ulla Popken #1","U11","Boys"
"KINGS PARK X-TREME U11 Boys EDP","CEDAR STARS ACADEMY BERGEN WEST U11 FUSION GREEN U11 Boys EDP","Tiffany Fields #1","U11","Boys"
