"Home","Away","Field"
"Sky Blue - NYSC U-16/17 Girls USDA","Long Island SC U-16/17 Girls USDA","Manhattanville College Turf field "
"Empire United U-18/19 Girls USDA","New York City FC U-18/19 Girls USDA","Empire United Soccer Complex"
"LA Galaxy U-18/19 Girls USDA","Pateadores U-18/19 Girls USDA","Field 7"
"Oakwood Soccer Club U-18/19 Girls USDA","FC Fury NY U-18/19 Girls USDA","TD Bank OSP #1 (front field)"
"San Diego Surf U-18/19 Girls USDA","SC del Sol U-18/19 Girls USDA","Surf Cup Sports Park # 17"
"Sky Blue - NYSC U-18/19 Girls USDA","Long Island SC U-18/19 Girls USDA","Manhattanville College Turf field "
"Beach Futbol Club U-14 Girls USDA","SC del Sol U-14 Girls USDA","El Camino College"
"FC Dallas U-15 Girls USDA","Solar Soccer Club U-15 Girls USDA","Field 8"
"San Jose Earthquakes U-14 Girls USDA","Reign Academy U-14 Girls USDA","Mustang Soccer Lower Field"
"San Jose Earthquakes U-16/17 Girls USDA","Reign Academy U-16/17 Girls USDA","Mustang Soccer Upper Field"
"California Thorns FC U-14 Girls USDA","Crossfire Premier U-14 Girls USDA","Prospect High School Back Field"
"LA Galaxy San Diego U-14 Girls USDA","LAFC Slammers U-14 Girls USDA","Army and Navy Academy"
"FC Dallas U-14 Girls USDA","Solar Soccer Club U-14 Girls USDA","Field 5"
"FC Dallas U-16/17 Girls USDA","Solar Soccer Club U-16/17 Girls USDA","Field 8"
"Beach Futbol Club U-15 Girls USDA","SC del Sol U-15 Girls USDA","El Camino College"
"San Jose Earthquakes U-15 Girls USDA","Reign Academy U-15 Girls USDA","Mustang Soccer Lower Field"
"San Jose Earthquakes U-18/19 Girls USDA","Reign Academy U-18/19 Girls USDA","Mustang Soccer Upper Field"
"California Thorns FC U-15 Girls USDA","Crossfire Premier U-15 Girls USDA","Prospect High School Back Field"
"LA Galaxy San Diego U-15 Girls USDA","LAFC Slammers U-15 Girls USDA","Army and Navy Academy"
"FC Dallas U-18/19 Girls USDA","Solar Soccer Club U-18/19 Girls USDA","Field 8"
"Beach Futbol Club U-16/17 Girls USDA","SC del Sol U-16/17 Girls USDA","El Camino College"
"California Thorns FC U-16/17 Girls USDA","Crossfire Premier U-16/17 Girls USDA","Prospect High School Back Field"
"LA Galaxy San Diego U-16/17 Girls USDA","LAFC Slammers U-16/17 Girls USDA","Army and Navy Academy"
"Beach Futbol Club U-18/19 Girls USDA","SC del Sol U-18/19 Girls USDA","El Camino College"
"California Thorns FC U-18/19 Girls USDA","Crossfire Premier U-18/19 Girls USDA","Prospect High School Back Field"
"LA Galaxy San Diego U-18/19 Girls USDA","LAFC Slammers U-18/19 Girls USDA","Army and Navy Academy"
"FC Stars U-14 Girls USDA","Boston Breakers Academy U-14 Girls USDA","Field 1"
"FC Stars U-15 Girls USDA","Boston Breakers Academy U-15 Girls USDA","Field 1"
"FC Stars U-16/17 Girls USDA","Boston Breakers Academy U-16/17 Girls USDA","Field 1"
"FC Stars U-18/19 Girls USDA","Boston Breakers Academy U-18/19 Girls USDA","Field 1"
"Eagles Soccer Club U-14 Girls USDA","Legends FC U-14 Girls USDA","Field 14"
"FC Dallas U-15 Girls USDA","Dallas Texans U-15 Girls USDA","Toyota Soccer Center - Field 6"
"Cedar Stars Academy - Monmouth U-16/17 Girls USDA","Virginia Development Academy U-16/17 Girls USDA","Capelli Sport Complex - Field 3 FS"
"Empire United U-14 Girls USDA","FC Fury NY U-14 Girls USDA","Empire United Soccer Complex"
"FC Virginia U-14 Girls USDA","Washington Spirit Academy - Baltimore Armour U-14 Girls USDA","Field 2"
"Indiana Fire Academy U-14 Girls USDA","Sockers FC U-14 Girls USDA","Grand Park Sports Campus - Field 3 (Turf)"
"LA Galaxy San Diego U-14 Girls USDA","West Coast Futbol Club U-14 Girls USDA","Pacific Ridge School"
"Long Island SC U-14 Girls USDA","FC Stars U-14 Girls USDA","Hofstra University"
"Oakwood Soccer Club U-14 Girls USDA","New York City FC U-14 Girls USDA","TD Bank OSP #1 (front field)"
"San Diego Surf U-14 Girls USDA","Albion SC U-14 Girls USDA","Surf Cup Sports Park # 5"
"San Diego Surf U-16/17 Girls USDA","Albion SC U-16/17 Girls USDA","Surf Cup Sports Park # 6"
"Sky Blue - PDA U-14 Girls USDA","Washington Spirit Academy - Virginia U-14 Girls USDA","PDA #3 "
"Boston Breakers Academy U-14 Girls USDA","Sky Blue - NYSC U-14 Girls USDA","Field 2"
"Eagles Soccer Club U-15 Girls USDA","Legends FC U-15 Girls USDA","Field 14"
"FC Dallas U-14 Girls USDA","Dallas Texans U-14 Girls USDA","Toyota Soccer Center - Field 5"
"FC Dallas U-16/17 Girls USDA","Dallas Texans U-16/17 Girls USDA","Toyota Soccer Center - Field 6"
"FC Kansas City U-14 Girls USDA","Houston Dash U-14 Girls USDA","Field 1"
"SPORTING Blue Valley U-14 Girls USDA","Lonestar SC Academy U-14 Girls USDA","Field #11"
"SPORTING Blue Valley U-15 Girls USDA","Lonestar SC Academy U-15 Girls USDA","Field #12"
"Empire United U-15 Girls USDA","FC Fury NY U-15 Girls USDA","Empire United Soccer Complex"
"FC Kansas City U-15 Girls USDA","Houston Dash U-15 Girls USDA","Field 2"
"FC Virginia U-15 Girls USDA","Washington Spirit Academy - Baltimore Armour U-15 Girls USDA","Field 2"
"Indiana Fire Academy U-15 Girls USDA","Sockers FC U-15 Girls USDA","Grand Park Sports Campus - Field 3 (Turf)"
"LA Galaxy San Diego U-15 Girls USDA","West Coast Futbol Club U-15 Girls USDA","Pacific Ridge School"
"Long Island SC U-15 Girls USDA","FC Stars U-15 Girls USDA","Hofstra University"
"Oakwood Soccer Club U-15 Girls USDA","New York City FC U-15 Girls USDA","TD Bank OSP #1 (front field)"
"Placer United SC U-14 Girls USDA","Burlingame Soccer Club U-14 Girls USDA","Mahany Park"
"Sky Blue - PDA U-15 Girls USDA","Washington Spirit Academy - Virginia U-15 Girls USDA","PDA #3 "
"Boston Breakers Academy U-15 Girls USDA","Sky Blue - NYSC U-15 Girls USDA","Field 2"
"Cedar Stars Academy - Monmouth U-18/19 Girls USDA","Virginia Development Academy U-18/19 Girls USDA","Capelli Sport Complex - Field 3 FS"
"San Diego Surf U-15 Girls USDA","Albion SC U-15 Girls USDA","Surf Cup Sports Park # 5"
"San Diego Surf U-18/19 Girls USDA","Albion SC U-18/19 Girls USDA","Surf Cup Sports Park # 6"
"FC Dallas U-18/19 Girls USDA","Dallas Texans U-18/19 Girls USDA","Toyota Soccer Center - Field 6"
"FC Kansas City U-16/17 Girls USDA","Houston Dash U-16/17 Girls USDA","Field 1"
"SPORTING Blue Valley U-16/17 Girls USDA","Lonestar SC Academy U-16/17 Girls USDA","Field #11"
