"Field"
"BETHEL ELEMENTARY #1"
"BETHEL ELEMENTARY #3"
"BETHEL ELEMENTARY #4"
"Bryan Park A"
"BSCHS Main"
"Buckroe A"
"Buckroe B"
"Capital Park #1"
"Capital Park #2"
"Capt. John Smith Elementary CJS"
"Carrollton Nike Park #2"
"Carrollton Nike Park #3"
"Centerville Athletic Complex #11"
"Centerville Athletic Complex 9A"
"Centerville Athletic Complex 9B"
"Chesapeake / Centerville Soccer Complex #6"
"Chesapeake / Centerville Soccer Complex 7b"
"Cornland Park CPK1"
"Cornland Park CPK2"
"Cornland Park CPK3"
"Cornland Park CPK9"
"Courthouse Park #2"
"Courthouse Park #7"
"Courthouse Park 1A"
"Courthouse Park 1B"
"Fighting Creek Park #2"
"First Flight Middle School #1"
"Hines Middle School #1"
"Hornsby Middle School #3"
"HRSC #1"
"HRSC #11"
"HRSC #13"
"HRSC #14"
"HRSC #15"
"HRSC #16"
"HRSC #17"
"HRSC #19"
"HRSC #2"
"HRSC #3"
"HRSC #5"
"HRSC #7"
"HRSC #9"
"HRSC 13A"
"HRSC 18C"
"HRSC 4A"
"HRSC 4B"
"HRSC Turf #6"
"HRSC Turf #8"
"Huguenot Park #1"
"John Tyler Soccer Complex JT1"
"John Tyler Soccer Complex JT2"
"Jolliff Middle School #1"
"MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"MCREYNOLDS ATHLETIC COMPLEX (MAC) #4"
"MCREYNOLDS ATHLETIC COMPLEX (MAC) #5"
"MonU Park #1"
"MonU Park #2"
"MonU Park #3"
"Nags Head Soccer Complex #1"
"Nags Head Soccer Complex #2"
"Norfolk Collegiate Lower School #1"
"Norfolk Collegiate Turf #1"
"Norfolk Collegiate Turf #2"
"PAAC #4"
"PAAC #5"
"PAAC #6"
"Poor Farm Park A"
"Powhatan Middle School"
"Rave #1"
"Rave #2"
"Rave #5"
"SOUTH LAWSON #1"
"South Lawson #2"
"South Lawson #3"
"Sportplex Stadium Field Turf"
"Stratton Park S1"
"SYAA #6"
"Taylor Park #1"
"Ukrop Park #3"
"Ukrop Park #4"
"Ukrop Park #6"
"Ukrop Park #7"
"Ukrop Park 1A"
"Ukrop Park 1B"
"Ukrop Park Turf #1"
"Ukrop Park Turf #2"
"United Training Center #2"
"United Training Center #3"
"United Training Center #6"
"Warhill Sports Complex #1"
"Warhill Sports Complex #2"
"Warhill Sports Complex #5"
"Warhill Sports Complex #6"
"Warhill Sports Complex #7"
"Warhill Sports Complex #8"
"Warhill Turf 3 #3"
"Warhill-8v8 GRASS #3"
"Warhill-8v8 GRASS #4"
"Warhill-TURF #1"
"Watkins Ele #1"
"West Creek #06"
"West Creek #09"
"West Creek #10"
"Western Branch Park #1"
"Woodlake W2"
"Woodlake W4"
