"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"09/10/2017","12:00 PM","2252","OD0420G","LOUD 04G Gray",0,1,"OD04103G","LOUD 04G Silver","Bles Park #4","U14 Division G1","ODSL"
"09/16/2017","07:00 PM","1917","OD0581G","LOUD 05G Gray",1,2,"OD0597G","TCSC Spirit Blue","Riverside HS Stadium","U13 Division G1","ODSL"
"09/17/2017","10:30 AM","956","OD0737G","LOUD 07G Gray",6,1,"OD0741G","FRED FC Frederick �07 White","Ida Lee Park #1","U11 Division G2","ODSL"
"09/17/2017","12:00 PM","107","OD0907B","LOUD 09B Gray",9,2,"OD0922B","IFC International FC 09B","Bolen Park Field #14B","U09 Boys Div Monroe","ODSL"
"09/17/2017","12:00 PM","1659","OD0526B","LOUD 05B Gray",4,3,"OD0484B","PAC Elite 05 Gold","Bles Park #4","U13 Division B1","ODSL"
"09/17/2017","01:30 PM","205","OD0917G","LOUD 09G Gray",1,2,"OD0912G","ABGC United 09G","Bolen Park Field #14B","U09 Girls Div Calypso","ODSL"
"09/17/2017","01:30 PM","2253","OD0420G","LOUD 04G Gray",2,0,"OD04104G","DFC United","Bles Park #4","U14 Division G1","ODSL"
"09/17/2017","03:00 PM","2254","OD04103G","LOUD 04G Silver",2,0,"OD04105G","PWSI Courage Girls 2004 Pride","Bles Park #4","U14 Division G1","ODSL"
"09/17/2017","04:30 PM","1906","OD0581G","LOUD 05G Gray",10,0,"OD0596G","SCSL Lightning","Bles Park #4","U13 Division G1","ODSL"
"09/24/2017","10:30 AM","959","OD0737G","LOUD 07G Gray",0,6,"OD0738G","PWSI Courage Girls 2007 Pride","Ida Lee Park #1","U11 Division G2","ODSL"
"09/24/2017","12:00 PM","1262","OD0610B","LOUD 06B Gray",6,8,"OD0654B","LPFC 2006B","Ida Lee Park #1","U12 Division B2","ODSL"
"09/24/2017","12:00 PM","1662","OD0526B","LOUD 05B Gray",1,9,"OD0594B","PWSI Courage Boys 2005 Classic","Ida Lee Park #2","U13 Division B1","ODSL"
"09/24/2017","01:30 PM","2165","OD04101B","LOUD 04B Silver",1,1,"OD04118B","TAFC Team America 2004 Revolution","Ida Lee Park #2","U14 Division B2","ODSL"
"09/24/2017","03:00 PM","2256","OD0420G","LOUD 04G Gray",2,1,"OD0331G","VYS Fire white","Ida Lee Park #2","U14 Division G1","ODSL"
"10/01/2017","10:30 AM","1465","OD0668G","LOUD 06G Gray",1,3,"OD0462G","VSA 06G Pre Academy Select Red","Ida Lee Park #1","U12 Division G1","ODSL"
"10/01/2017","12:00 PM","115","OD0907B","LOUD 09B Gray",3,1,"OD0905B","CYA 09B Black","Ida Lee Park #1","U09 Boys Div Monroe","ODSL"
"10/01/2017","12:00 PM","2170","OD04101B","LOUD 04B Silver",1,3,"OD04122B","PWSI Courage Boys 2004 Pride","Ida Lee Park #2","U14 Division B2","ODSL"
"10/01/2017","01:30 PM","2257","OD04103G","LOUD 04G Silver",1,2,"OD04104G","DFC United","Ida Lee Park #2","U14 Division G1","ODSL"
