"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"10/22/2017","10:30 AM","2167","OD04117B","PWSI Courage Boys 2004 Classic",4,1,"OD04116B","CULP CSC Comets 04B","Tyrell Field Complex Tyrell #1","U14 Division B2","ODSL"
"10/22/2017","12:00 PM","2823","OD01159B","PWSI Courage Boys 2001 Pride",16,0,"OD01158B","FSCI Academy FC United","Tyrell Field Complex Tyrell #1","HS Division B1","ODSL"
"10/22/2017","12:00 PM","2912","OD00135G","PWSI Courage Girls 2000 Pride",1,7,"OD99137G","BRDW Lynx G00","Tyrell Field Complex Tyrell #3","HS Division G1","ODSL"
"10/22/2017","02:00 PM","2177","OD04122B","PWSI Courage Boys 2004 Pride",11,0,"OD04110B","TCSC 04 Sounders FC","Tyrell Field Complex Tyrell #3","U14 Division B2","ODSL"
"10/22/2017","02:00 PM","2422","OD02146G","PWSI Courage Girls 2002 Pride",7,0,"OD03130G","GSC 03 Girls","Tyrell Field Complex Tyrell #1","U15-16 Division G1","ODSL"
"10/22/2017","02:00 PM","530","OD0841G","PWSI Courage Girls 2008 Pride",2,4,"OD0803G","ARL 08G Silver","Howison Homestead Park Howison #2B","U10 Division G1","ODSL"
"10/22/2017","03:30 PM","2316","OD04123G","PWSI Courage Girls 2004 Classic",2,0,"OD04121G","FRED 04 Royal II","Tyrell Field Complex Tyrell #3","U14 Division G2","ODSL"
"10/29/2017","02:00 PM","977","OD0738G","PWSI Courage Girls 2007 Pride",3,0,"OD0728G","BRYC Griffins","Howison Homestead Park Howison #2A","U11 Division G2","ODSL"
"10/29/2017","03:30 PM","419","OD0830B","PWSI Courage Boys 2008 Pride",8,1,"OD0827B","CULP CSC Comets 08B","Howison Homestead Park Howison #2A","U10 Division B3","ODSL"
"11/04/2017","12:00 PM","2909","OD00135G","PWSI Courage Girls 2000 Pride",0,5,"OD99138G","FRSA ROX 99G Blue","Tyrell Field Complex Tyrell #4","HS Division G1","ODSL"
"11/04/2017","02:00 PM","2406","OD02146G","PWSI Courage Girls 2002 Pride",3,0,"OD01147G","BRDW Lynx","Tyrell Field Complex Tyrell #4","U15-16 Division G1","ODSL"
"11/05/2017","02:00 PM","425","OD0830B","PWSI Courage Boys 2008 Pride",6,3,"OD0834B","CYA 08B Black","Howison Homestead Park Howison #2B","U10 Division B3","ODSL"
"11/12/2017","02:30 PM","2260","OD04105G","PWSI Courage Girls 2004 Pride",0,0,"OD0420G","LOUD 04G Gray","Chinn Park Chinn #2","U14 Division G1","ODSL"
"09/09/2017","11:00 AM","2375","OD02144B","RWFC VA Allstars FC",0,8,"OD03131B","IFC Eagles","Stonewall Jackson High School Field 7","U15-16 Division B1","ODSL"
"09/10/2017","10:30 AM","1202","OD0663B","RWFC Gremio USA",2,1,"OD0569B","IFC United II","Stonewall Jackson High School Small Sided Field","U12 Division B1","ODSL"
"09/10/2017","12:00 PM","2123","OD04106B","RWFC Bayern Munich",8,1,"OD0475B","SCSL Dynamo","Stonewall Jackson High School Field 6","U14 Division B1","ODSL"
"09/17/2017","10:30 AM","58","OD0919B","RWFC Barrio Boys Elite 09",5,2,"OD0904B","CFC 09B White","Stonewall Jackson High School Small Sided Field","U09 Boys Div Jefferson","ODSL"
"09/17/2017","12:00 PM","1205","OD0663B","RWFC Gremio USA",2,1,"OD0653B","HCFC Harrisonburg City F.C. 06","Stonewall Jackson High School Small Sided Field","U12 Division B1","ODSL"
"09/17/2017","01:30 PM","2356","OD02143B","RWFC BVB Dortmund",1,1,"OD03131B","IFC Eagles","Stonewall Jackson High School Field 6","U15-16 Division B1","ODSL"
"09/23/2017","10:00 AM","2109","OD04106B","RWFC Bayern Munich",3,0,"OD04109B","TAFC Team America 2004 Bata","Stonewall Jackson High School Field 6","U14 Division B1","ODSL"
"09/24/2017","12:00 PM","1208","OD0663B","RWFC Gremio USA",4,5,"OD0657B","WBSC STRIKERS 06B BLUE","Stonewall Jackson High School Small Sided Field","U12 Division B1","ODSL"
"09/24/2017","01:30 PM","2114","OD03126B","RWFC VA Allstars FC",4,3,"OD03127B","HCFC Harrisonburg City F.C. 04","Stonewall Jackson High School Field 7","U14 Division B1","ODSL"
"09/24/2017","03:00 PM","2112","OD04106B","RWFC Bayern Munich",NA,NA,"OD04115B","WBSC STRIKERS 04B BLUE","Stonewall Jackson High School Field 7","U14 Division B1","ODSL"
"10/01/2017","10:30 AM","1266","OD0669B","RWFC Barrio Boys Elite 06",9,1,"OD0604B","BRYC Blaze","Stonewall Jackson High School Small Sided Field","U12 Division B2","ODSL"
"10/01/2017","12:00 PM","66","OD0919B","RWFC Barrio Boys Elite 09",5,1,"OD0906B","GSC 09 Boys White","Stonewall Jackson High School Small Sided Field","U09 Boys Div Jefferson","ODSL"
"10/01/2017","01:30 PM","2814","OD01154B","RWFC Vipers FC",1,5,"OD97172B","SCSL Maxx 2","Stonewall Jackson High School Field 7","HS Division B1","ODSL"
"10/01/2017","03:30 PM","2360","OD02144B","RWFC VA Allstars FC",2,3,"OD02145B","MSC Lions 02","Stonewall Jackson High School Field 7","U15-16 Division B1","ODSL"
"10/15/2017","10:30 AM","1270","OD0669B","RWFC Barrio Boys Elite 06",4,4,"OD0500B","ALEX 06 Boys Black","Stonewall Jackson High School Small Sided Field","U12 Division B2","ODSL"
"10/15/2017","12:00 PM","2125","OD03126B","RWFC VA Allstars FC",3,5,"OD03104B","IFC International FC","Stonewall Jackson High School Field 7","U14 Division B1","ODSL"
"10/15/2017","01:30 PM","2364","OD02143B","RWFC BVB Dortmund",5,0,"OD02144B","RWFC VA Allstars FC","Stonewall Jackson High School Field 7","U15-16 Division B1","ODSL"
"10/15/2017","03:30 PM","2103","OD04106B","RWFC Bayern Munich",4,0,"OD03127B","HCFC Harrisonburg City F.C. 04","Stonewall Jackson High School Field 7","U14 Division B1","ODSL"
"10/22/2017","10:30 AM","1216","OD0663B","RWFC Gremio USA",10,1,"OD0655B","TAFC Team America All Stars Jr","Stonewall Jackson High School Small Sided Field","U12 Division B1","ODSL"
"10/22/2017","02:00 PM","2129","OD03126B","RWFC VA Allstars FC",0,3,"OD04106B","RWFC Bayern Munich","Stonewall Jackson High School Field 6","U14 Division B1","ODSL"
"10/22/2017","03:30 PM","2367","OD02143B","RWFC BVB Dortmund",2,0,"OD02142B","HCFC Harrisonburg City F.C. 02","Stonewall Jackson High School Field 6","U15-16 Division B1","ODSL"
"11/04/2017","12:00 PM","2372","OD02144B","RWFC VA Allstars FC",11,0,"OD02138B","ALEX 03 Boys Blue","Stonewall Jackson High School Field 6","U15-16 Division B1","ODSL"
"11/04/2017","02:00 PM","2145","OD04106B","RWFC Bayern Munich",1,3,"OD0479B","DFC Loudoun Timberwolves","Stonewall Jackson High School Field 7","U14 Division B1","ODSL"
"11/05/2017","10:30 AM","1282","OD0669B","RWFC Barrio Boys Elite 06",8,0,"OD0610B","LOUD 06B Gray","Stonewall Jackson High School Small Sided Field","U12 Division B2","ODSL"
"11/11/2017","09:00 AM","1284","OD0669B","RWFC Barrio Boys Elite 06",2,1,"OD0654B","LPFC 2006B","Stonewall Jackson High School Small Sided Field","U12 Division B2","ODSL"
"11/11/2017","10:30 AM","60","OD0919B","RWFC Barrio Boys Elite 09",13,2,"OD0908B","VSA 09B Jr Academy Pogba","Stonewall Jackson High School Small Sided Field","U09 Boys Div Jefferson","ODSL"
"11/11/2017","02:00 PM","2134","OD04106B","RWFC Bayern Munich",11,2,"OD03104B","IFC International FC","Stonewall Jackson High School Field 6","U14 Division B1","ODSL"
"11/11/2017","02:00 PM","76","OD0919B","RWFC Barrio Boys Elite 09",6,3,"OD0902B","ARL 09B Gold","Stonewall Jackson High School Small Sided Field","U09 Boys Div Jefferson","ODSL"
"11/12/2017","08:00 AM","2827","OD01154B","RWFC Vipers FC",0,4,"OD01159B","PWSI Courage Boys 2001 Pride","Stonewall Jackson High School Field 6","HS Division B1","ODSL"
"11/12/2017","10:00 AM","2369","OD02144B","RWFC VA Allstars FC",5,3,"OD0276B","SCSL Storm","Stonewall Jackson High School Field 7","U15-16 Division B1","ODSL"
"11/12/2017","10:00 AM","2373","OD02143B","RWFC BVB Dortmund",1,1,"OD02145B","MSC Lions 02","Stonewall Jackson High School Field 6","U15-16 Division B1","ODSL"
"11/12/2017","12:00 PM","2142","OD03126B","RWFC VA Allstars FC",0,3,"OD0480B","DFC Western Loudoun United","Stonewall Jackson High School Field 6","U14 Division B1","ODSL"
"11/12/2017","02:00 PM","2822","OD01154B","RWFC Vipers FC",5,2,"OD01156B","CHAN United 01","Stonewall Jackson High School Field 6","HS Division B1","ODSL"
"09/09/2017","01:00 PM","2104","OD0475B","SCSL Dynamo",5,1,"OD03126B","RWFC VA Allstars FC","SCSL SoccerPlex U13-U19","U14 Division B1","ODSL"
"09/10/2017","12:00 PM","2801","OD97172B","SCSL Maxx 2",8,0,"OD01158B","FSCI Academy FC United","SCSL SoccerPlex U13-U19","HS Division B1","ODSL"
"09/10/2017","02:00 PM","2353","OD0276B","SCSL Storm",1,3,"OD02142B","HCFC Harrisonburg City F.C. 02","SCSL SoccerPlex U13-U19","U15-16 Division B1","ODSL"
"09/10/2017","04:30 PM","402","OD0831B","SCSL Gladiators",2,3,"OD0825B","VSA 08B Jr Academy Pogba","SCSL SoccerPlex U9-U10","U10 Division B3","ODSL"
"09/10/2017","06:00 PM","1903","OD0596G","SCSL Lightning",0,10,"OD0597G","TCSC Spirit Blue","SCSL SoccerPlex U13-U19","U13 Division G1","ODSL"
"09/17/2017","12:00 PM","2805","OD97172B","SCSL Maxx 2",2,2,"OD01159B","PWSI Courage Boys 2001 Pride","SCSL SoccerPlex U13-U19","HS Division B1","ODSL"
"09/17/2017","02:00 PM","1258","OD0644B","SCSL Trail Blazers",4,1,"OD0645B","SYC Lions 06 Black","SCSL SoccerPlex U11-U12","U12 Division B2","ODSL"
"09/17/2017","03:30 PM","405","OD0831B","SCSL Gladiators",2,7,"OD0821B","GRFL 08 Lazio White","SCSL SoccerPlex U9-U10","U10 Division B3","ODSL"
"09/24/2017","12:00 PM","2411","OD0296G","SCSL Shenandoah Storm",1,0,"OD02146G","PWSI Courage Girls 2002 Pride","SCSL SoccerPlex U13-U19","U15-16 Division G1","ODSL"
"09/24/2017","12:00 PM","408","OD0831B","SCSL Gladiators",0,7,"OD0834B","CYA 08B Black","SCSL SoccerPlex U9-U10","U10 Division B3","ODSL"
"09/24/2017","02:00 PM","2113","OD0475B","SCSL Dynamo",1,4,"OD0448B","CYC Cougars 04B Royal","SCSL SoccerPlex U13-U19","U14 Division B1","ODSL"
"09/24/2017","04:00 PM","1260","OD0644B","SCSL Trail Blazers",3,0,"OD0669B","RWFC Barrio Boys Elite 06","SCSL SoccerPlex U11-U12","U12 Division B2","ODSL"
"09/30/2017","12:00 PM","2404","OD0296G","SCSL Shenandoah Storm",6,0,"OD03130G","GSC 03 Girls","SCSL SoccerPlex U13-U19","U15-16 Division G1","ODSL"
"10/01/2017","10:00 AM","1911","OD0596G","SCSL Lightning",0,8,"OD0401G","ALEX 05 Girls Blue","SCSL SoccerPlex U13-U19","U13 Division G1","ODSL"
"10/01/2017","12:00 PM","2361","OD0276B","SCSL Storm",9,1,"OD02138B","ALEX 03 Boys Blue","SCSL SoccerPlex U13-U19","U15-16 Division B1","ODSL"
"10/14/2017","11:30 AM","1915","OD0596G","SCSL Lightning",0,7,"OD0595G","BRYC Promise","SCSL SoccerPlex U13-U19","U13 Division G1","ODSL"
"10/14/2017","01:00 PM","2420","OD0296G","SCSL Shenandoah Storm",2,0,"OD03123G","OCRA Freedom","SCSL SoccerPlex U13-U19","U15-16 Division G1","ODSL"
"10/14/2017","03:00 PM","2377","OD0276B","SCSL Storm",1,9,"OD02143B","RWFC BVB Dortmund","SCSL SoccerPlex U13-U19","U15-16 Division B1","ODSL"
"10/15/2017","12:30 PM","1269","OD0644B","SCSL Trail Blazers",8,1,"OD0664B","STAF Revolution 06B White","SCSL SoccerPlex U11-U12","U12 Division B2","ODSL"
"10/15/2017","04:00 PM","2910","OD97140G","SCSL Shenandoah Fire",1,4,"OD99137G","BRDW Lynx G00","SCSL SoccerPlex U13-U19","HS Division G1","ODSL"
"10/21/2017","01:00 PM","2137","OD0475B","SCSL Dynamo",3,4,"OD0480B","DFC Western Loudoun United","SCSL SoccerPlex U13-U19","U14 Division B1","ODSL"
"10/22/2017","12:00 PM","2421","OD0296G","SCSL Shenandoah Storm",7,0,"OD01147G","BRDW Lynx","SCSL SoccerPlex U13-U19","U15-16 Division G1","ODSL"
"10/22/2017","02:00 PM","2127","OD0475B","SCSL Dynamo",0,2,"OD04115B","WBSC STRIKERS 04B BLUE","SCSL SoccerPlex U13-U19","U14 Division B1","ODSL"
"10/22/2017","03:30 PM","416","OD0831B","SCSL Gladiators",1,8,"OD0827B","CULP CSC Comets 08B","SCSL SoccerPlex U9-U10","U10 Division B3","ODSL"
"10/28/2017","03:30 PM","2905","OD97140G","SCSL Shenandoah Fire",1,4,"OD99135G","VIST Renegades","SCSL SoccerPlex U13-U19","HS Division G1","ODSL"
"11/05/2017","12:00 PM","2913","OD97140G","SCSL Shenandoah Fire",3,0,"OD00135G","PWSI Courage Girls 2000 Pride","SCSL SoccerPlex U13-U19","HS Division G1","ODSL"
"11/05/2017","03:00 PM","2829","OD97172B","SCSL Maxx 2",6,0,"OD01157B","FFC 01 Boys Red","SCSL SoccerPlex U13-U19","HS Division B1","ODSL"
"11/11/2017","01:00 PM","2365","OD0276B","SCSL Storm",1,5,"OD02144B","RWFC VA Allstars FC","SCSL SoccerPlex U13-U19","U15-16 Division B1","ODSL"
"11/12/2017","10:00 AM","2817","OD97172B","SCSL Maxx 2",0,1,"OD0199B","BRDW Lynx B01","SCSL SoccerPlex U13-U19","HS Division B1","ODSL"
"11/12/2017","12:00 PM","1283","OD0644B","SCSL Trail Blazers",5,3,"OD0604B","BRYC Blaze","SCSL SoccerPlex U11-U12","U12 Division B2","ODSL"
"11/12/2017","12:00 PM","2918","OD97140G","SCSL Shenandoah Fire",8,0,"OD99138G","FRSA ROX 99G Blue","SCSL SoccerPlex U13-U19","HS Division G1","ODSL"
"11/12/2017","02:00 PM","1927","OD0596G","SCSL Lightning",0,8,"OD0581G","LOUD 05G Gray","SCSL SoccerPlex U13-U19","U13 Division G1","ODSL"
"11/12/2017","03:30 PM","2144","OD0475B","SCSL Dynamo",1,4,"OD04109B","TAFC Team America 2004 Bata","SCSL SoccerPlex U13-U19","U14 Division B1","ODSL"
"09/23/2017","03:30 PM","2307","OD04124G","SYA Wolves",1,2,"OD03112G","WBSC Strikers 04G Blue","Ellanor C. Lawrence Park Turf Field #2","U14 Division G2","ODSL"
"09/30/2017","03:30 PM","2311","OD04124G","SYA Wolves",2,1,"OD04120G","EPIC Blue","Ellanor C. Lawrence Park Turf Field #2","U14 Division G2","ODSL"
"10/14/2017","03:30 PM","2313","OD04124G","SYA Wolves",0,1,"OD04121G","FRED 04 Royal II","Ellanor C. Lawrence Park Turf Field #2","U14 Division G2","ODSL"
"11/05/2017","01:00 PM","2323","OD04124G","SYA Wolves",1,1,"OD04119G","CYC Cougars 04G","Centreville High School Stadium","U14 Division G2","ODSL"
"09/10/2017","03:30 PM","1254","OD0645B","SYC Lions 06 Black",3,0,"OD0669B","RWFC Barrio Boys Elite 06","Key Middle School 1","U12 Division B2","ODSL"
"10/01/2017","03:30 PM","1265","OD0645B","SYC Lions 06 Black",1,1,"OD0610B","LOUD 06B Gray","Key Middle School 1","U12 Division B2","ODSL"
"10/22/2017","03:30 PM","1273","OD0645B","SYC Lions 06 Black",3,0,"OD0500B","ALEX 06 Boys Black","Key Middle School 1","U12 Division B2","ODSL"
"11/05/2017","03:30 PM","1281","OD0645B","SYC Lions 06 Black",3,0,"OD0604B","BRYC Blaze","Key Middle School 1","U12 Division B2","ODSL"
"09/24/2017","02:00 PM","1261","OD0664B","STAF Revolution 06B White",4,2,"OD0500B","ALEX 06 Boys Black","Embrey Mill Athletic Fields Embrey Mill #4B","U12 Division B2","ODSL"
"10/22/2017","02:00 PM","1272","OD0664B","STAF Revolution 06B White",3,4,"OD0669B","RWFC Barrio Boys Elite 06","Embrey Mill Athletic Fields Embrey Mill #4B","U12 Division B2","ODSL"
"11/04/2017","02:00 PM","1285","OD0664B","STAF Revolution 06B White",3,3,"OD0645B","SYC Lions 06 Black","Embrey Mill Athletic Fields Embrey Mill #6","U12 Division B2","ODSL"
"11/05/2017","02:00 PM","1280","OD0664B","STAF Revolution 06B White",1,3,"OD0619B","GRFL 06 Force","Embrey Mill Athletic Fields Embrey Mill #4B","U12 Division B2","ODSL"
"09/09/2017","05:00 PM","2105","OD04109B","TAFC Team America 2004 Bata",1,8,"OD04115B","WBSC STRIKERS 04B BLUE","Falls Church HS Turf Field","U14 Division B1","ODSL"
"09/10/2017","02:30 PM","952","OD0739G","TAFC 07 Freedom",5,0,"OD0717G","WIN United 2007G Blue","Plum Center (Edsall Rd Park) Field #1","U11 Division G2","ODSL"
"09/10/2017","04:00 PM","1203","OD0655B","TAFC Team America All Stars Jr",6,4,"OD0557B","VSA 06B Pre Academy Select Red","Plum Center (Edsall Rd Park) Field #1","U12 Division B1","ODSL"
"09/16/2017","05:00 PM","2155","OD04118B","TAFC Team America 2004 Revolution",2,1,"OD04110B","TCSC 04 Sounders FC","Falls Church HS Stadium Field","U14 Division B2","ODSL"
"09/17/2017","02:30 PM","957","OD0739G","TAFC 07 Freedom",4,0,"OD0735G","BRYC Phoenix","Plum Center (Edsall Rd Park) Field #1","U11 Division G2","ODSL"
"09/23/2017","05:00 PM","2178","OD04118B","TAFC Team America 2004 Revolution",9,1,"OD03101B","CYA 04B White","Falls Church HS Stadium Field","U14 Division B2","ODSL"
"10/01/2017","11:00 AM","2118","OD04109B","TAFC Team America 2004 Bata",3,0,"OD03126B","RWFC VA Allstars FC","Ossian Hall Park Turf #1","U14 Division B1","ODSL"
"10/01/2017","01:00 PM","1211","OD0655B","TAFC Team America All Stars Jr",1,2,"OD0653B","HCFC Harrisonburg City F.C. 06","Plum Center (Edsall Rd Park) Field #1","U12 Division B1","ODSL"
"10/15/2017","12:30 PM","2138","OD04109B","TAFC Team America 2004 Bata",4,4,"OD0479B","DFC Loudoun Timberwolves","Ossian Hall Park Turf #1","U14 Division B1","ODSL"
"10/15/2017","02:30 PM","1215","OD0655B","TAFC Team America All Stars Jr",1,5,"OD0657B","WBSC STRIKERS 06B BLUE","Plum Center (Edsall Rd Park) Field #1","U12 Division B1","ODSL"
"10/22/2017","02:30 PM","971","OD0739G","TAFC 07 Freedom",0,4,"OD0738G","PWSI Courage Girls 2007 Pride","Plum Center (Edsall Rd Park) Field #1","U11 Division G2","ODSL"
"10/29/2017","02:30 PM","978","OD0739G","TAFC 07 Freedom",2,1,"OD0736G","CULP CSC Comets 07G","Plum Center (Edsall Rd Park) Field #1","U11 Division G2","ODSL"
"11/05/2017","12:00 PM","2188","OD04118B","TAFC Team America 2004 Revolution",2,4,"OD04114B","LPFC 2004B","Bull Run Regional Park Field 2","U14 Division B2","ODSL"
"11/11/2017","11:00 AM","2168","OD04118B","TAFC Team America 2004 Revolution",1,1,"OD0486B","WYSC Mustangs 04B","Ossian Hall Park Turf #1","U14 Division B2","ODSL"
"11/11/2017","12:30 PM","2128","OD04109B","TAFC Team America 2004 Bata",3,1,"OD0448B","CYC Cougars 04B Royal","Ossian Hall Park Turf #1","U14 Division B1","ODSL"
"11/12/2017","02:30 PM","1227","OD0655B","TAFC Team America All Stars Jr",0,5,"OD0569B","IFC United II","Plum Center (Edsall Rd Park) Field #1","U12 Division B1","ODSL"
"09/09/2017","11:00 AM","1476","OD0647G","TCSC Freedom",7,1,"OD0666G","CFC 06G White","Morgan Grove Park (TCSC Fields) Field 2","U12 Division G1","ODSL"
"09/17/2017","11:30 AM","1456","OD0647G","TCSC Freedom",3,2,"OD0462G","VSA 06G Pre Academy Select Red","Dupont Soccer Complex Field #5","U12 Division G1","ODSL"
"09/17/2017","04:00 PM","2160","OD04110B","TCSC 04 Sounders FC",0,9,"OD04101B","LOUD 04B Silver","Dupont Soccer Complex Field #7","U14 Division B2","ODSL"
"09/24/2017","10:00 AM","761","OD0734B","TCSC Force Blue",3,4,"OD0708B","FRSA ROX 07B Blue","Dupont Soccer Complex Field #5","U11 Division B2","ODSL"
"09/24/2017","11:30 AM","1459","OD0647G","TCSC Freedom",2,3,"OD0650G","BRYC Stars","Dupont Soccer Complex Field #5","U12 Division G1","ODSL"
"09/24/2017","04:00 PM","1909","OD0597G","TCSC Spirit Blue",3,1,"OD0588G","CFC 05G Red","Dupont Soccer Complex Field #7","U13 Division G1","ODSL"
"10/01/2017","03:00 PM","1912","OD0597G","TCSC Spirit Blue",1,0,"OD0595G","BRYC Promise","Dupont Soccer Complex Field #7","U13 Division G1","ODSL"
"10/01/2017","04:30 PM","2169","OD04110B","TCSC 04 Sounders FC",0,12,"OD04114B","LPFC 2004B","Dupont Soccer Complex Field #7","U14 Division B2","ODSL"
"10/15/2017","11:30 AM","1467","OD0647G","TCSC Freedom",1,2,"OD0639G","BRYC Fireballs","Dupont Soccer Complex Field #5","U12 Division G1","ODSL"
"10/15/2017","03:00 PM","2174","OD04110B","TCSC 04 Sounders FC",0,6,"OD03101B","CYA 04B White","Dupont Soccer Complex Field #7","U14 Division B2","ODSL"
"10/22/2017","11:30 AM","772","OD0734B","TCSC Force Blue",3,9,"OD0716B","WIN United 2007B Blue","Dupont Soccer Complex Field #5","U11 Division B2","ODSL"
"11/04/2017","09:00 AM","1924","OD0597G","TCSC Spirit Blue",3,0,"OD0596G","SCSL Lightning","Dupont Soccer Complex Field #7","U13 Division G1","ODSL"
"11/04/2017","01:00 PM","1920","OD0597G","TCSC Spirit Blue",3,3,"OD0513G","CCS FC Fury","Dupont Soccer Complex Field #7","U13 Division G1","ODSL"
"11/04/2017","01:30 PM","785","OD0734B","TCSC Force Blue",6,2,"OD0651B","CFC 07B White","Dupont Soccer Complex Field #5","U11 Division B2","ODSL"
"11/04/2017","03:00 PM","2189","OD04110B","TCSC 04 Sounders FC",1,5,"OD0486B","WYSC Mustangs 04B","Dupont Soccer Complex Field #7","U14 Division B2","ODSL"
"11/05/2017","11:30 AM","780","OD0734B","TCSC Force Blue",2,15,"OD0700B","ARL 07B Gold","Dupont Soccer Complex Field #5","U11 Division B2","ODSL"
"09/10/2017","12:00 PM","2251","OD0331G","VYS Fire white",0,4,"OD04104G","DFC United","Oakton HS Stadium Turf","U14 Division G1","ODSL"
"09/17/2017","03:30 PM","1308","OD0648B","VYS O6B Silver",2,5,"OD0659B","ABGC United Black 06","Oakton HS #3L","U12 Division B3","ODSL"
"09/24/2017","03:00 PM","1310","OD0648B","VYS O6B Silver",0,2,"OD0660B","BRYC Bulldogs","Oakton HS #3R","U12 Division B3","ODSL"
"10/01/2017","03:00 PM","716","OD0614B","VYS 07B Silver",1,2,"OD0730B","ABGC United FC Red 07B","Oakton HS #3L","U11 Division B1","ODSL"
"10/01/2017","04:00 PM","2258","OD0331G","VYS Fire white",1,4,"OD04105G","PWSI Courage Girls 2004 Pride","Marshall High School Field #1 turf","U14 Division G1","ODSL"
"10/15/2017","03:00 PM","720","OD0614B","VYS 07B Silver",0,7,"OD0601B","ALEX 07 Boys Black","Oakton HS #3L","U11 Division B1","ODSL"
"10/15/2017","04:30 PM","1319","OD0648B","VYS O6B Silver",1,6,"OD0591B","WBSC Strikers 06B White","Oakton HS #3L","U12 Division B3","ODSL"
"10/29/2017","12:00 PM","2270","OD0331G","VYS Fire white",2,2,"OD04103G","LOUD 04G Silver","Marshall High School Field #1 turf","U14 Division G1","ODSL"
"11/05/2017","12:00 PM","2266","OD0331G","VYS Fire white",0,3,"OD0420G","LOUD 04G Gray","Marshall High School Field #1 turf","U14 Division G1","ODSL"
"11/05/2017","03:30 PM","732","OD0614B","VYS 07B Silver",3,6,"OD0731B","CVFC Silver","Oakton HS #3L","U11 Division B1","ODSL"
"11/12/2017","03:00 PM","734","OD0614B","VYS 07B Silver",3,3,"OD0703B","BRYC Fireballs","Oakton HS #3L","U11 Division B1","ODSL"
"11/12/2017","04:30 PM","1333","OD0648B","VYS O6B Silver",3,3,"OD0566B","BRDW Boys 05","Oakton HS #3L","U12 Division B3","ODSL"
"09/09/2017","03:00 PM","2907","OD99135G","VIST Renegades",4,1,"OD00135G","PWSI Courage Girls 2000 Pride","Embrey Mill Athletic Fields Embrey Mill #3","HS Division G1","ODSL"
"09/16/2017","03:00 PM","2903","OD99135G","VIST Renegades",4,1,"OD99137G","BRDW Lynx G00","Embrey Mill Athletic Fields Embrey Mill #3","HS Division G1","ODSL"
"10/14/2017","10:00 AM","2911","OD99135G","VIST Renegades",5,1,"OD99138G","FRSA ROX 99G Blue","Embrey Mill Athletic Fields Embrey Mill #1","HS Division G1","ODSL"
"11/04/2017","03:00 PM","2915","OD99135G","VIST Renegades",3,0,"OD97140G","SCSL Shenandoah Fire","Embrey Mill Athletic Fields Embrey Mill #3","HS Division G1","ODSL"
"09/09/2017","10:30 AM","51","OD0908B","VSA 09B Jr Academy Pogba",4,2,"OD0904B","CFC 09B White","Long Park Turf #5B","U09 Boys Div Jefferson","ODSL"
"09/10/2017","01:30 PM","102","OD0911B","VSA 09B Jr Academy Ronaldo",5,3,"OD0909B","ALEX 09 Boys Silver","Long Park #2B","U09 Boys Div Monroe","ODSL"
"09/10/2017","03:00 PM","504","OD0814G","VSA 08G Jr Academy Pugh",1,1,"OD0837G","CFC 08G White","Long Park #2B","U10 Division G1","ODSL"
"09/16/2017","03:00 PM","901","OD0715G","VSA 07G Pre Academy Select Red",3,7,"OD0621G","ARL 07G Gold","Long Park #2B","U11 Division G1","ODSL"
"09/17/2017","10:30 AM","207","OD0918G","VSA 09G Jr Academy Pugh",2,3,"OD0914G","ARL 09G Gold","Long Park Turf #5B","U09 Girls Div Calypso","ODSL"
"09/17/2017","12:00 PM","55","OD0908B","VSA 09B Jr Academy Pogba",1,14,"OD0901B","ALEX 09 Boys Black","Long Park Turf #5B","U09 Boys Div Jefferson","ODSL"
"09/17/2017","01:30 PM","406","OD0825B","VSA 08B Jr Academy Pogba",0,11,"OD0827B","CULP CSC Comets 08B","Long Park Turf #5B","U10 Division B3","ODSL"
"09/17/2017","03:00 PM","756","OD0634B","VSA 07B Pre Academy Select Red",2,0,"OD0732B","GSC 07 Boys","Long Park Turf #5B","U11 Division B2","ODSL"
"09/23/2017","12:00 PM","513","OD0814G","VSA 08G Jr Academy Pugh",5,2,"OD0839G","GSC 08 Girls White","Long Park Turf #6B","U10 Division G1","ODSL"
"09/23/2017","01:30 PM","1224","OD0557B","VSA 06B Pre Academy Select Red",0,5,"OD0524B","IFC United","Long Park Turf #6B","U12 Division B1","ODSL"
"09/24/2017","10:30 AM","759","OD0634B","VSA 07B Pre Academy Select Red",1,4,"OD0700B","ARL 07B Gold","Long Park Turf #5B","U11 Division B2","ODSL"
"09/24/2017","12:00 PM","1209","OD0557B","VSA 06B Pre Academy Select Red",0,7,"OD0539B","MSC Lions 06","Long Park Turf #5B","U12 Division B1","ODSL"
"09/24/2017","01:30 PM","1462","OD0462G","VSA 06G Pre Academy Select Red",2,2,"OD0639G","BRYC Fireballs","Long Park Turf #5B","U12 Division G1","ODSL"
"09/24/2017","03:00 PM","112","OD0911B","VSA 09B Jr Academy Ronaldo",1,2,"OD0905B","CYA 09B Black","Long Park Turf #5B","U09 Boys Div Monroe","ODSL"
"09/30/2017","04:00 PM","1453","OD0462G","VSA 06G Pre Academy Select Red",8,0,"OD0666G","CFC 06G White","Long Park Turf #6B","U12 Division G1","ODSL"
