"Names","Street.Address","City","State","Zip.Code"
"Kenilworth Park","4088 Nannie Helen Buroughs Ave SE","Washington","DC","20019"
"Kenmore MS","200 S Carlin Springs Road","Arlington","VA","22204"
"Key Middle School","6402 Franconia Road","Springfield","VA","22150"
"Key Middle School","6402 Franconia Road","Springfield","VA","22150"
"Kilmer Middle School","8100 Wolftrap Rd","Vienna","VA","22182"
"Kincheloe","8000 Kincheloe Road","Clifton","VA","20124"
"KM Oak","1002 E Market St","Leesburg","VA","20175"
"Kutner Park","Fairfax","VA","22030",
"Lacey Center","3705 Crest Drive","Annandale","Va 22003",
"Lacey Spring Elementary School","8621 North Valley Pike","Harrisonburg","VA","22802"
"Lake Braddock Park","Lake Braddock Drive","Burke","VA","20115"
"Lake Braddock Secondary School","9200 Burke Lake Rd","Burke","VA","22015"
"Lake Fairfax","Lake Fairfax Park","Reston","VA","20191"
"Lake Fairfax Park",,,,
"Lake Newport Park","Lake Newport and Reston Parkway","Reston","VA","20190"
"Lake of the Woods","101 Sweetbriar Park Lane","Locust Grove","VA","22508"
"Lake Ridge Middle School","12350 Mohican Rd","Woodbridge","VA","22192"
"Langley HS","6520 Georgetown Pike","McLean","VA","22101"
"Langley School","1411 Balls Hill Rd","McLean","VA",
"Langston Hughes MS","11401 Ridge Heights Road","Reston","VA","20191"
"Lanier MS","3710 Bevan Drive","Fairfax","VA","22030"
"Lansdowne Park","18900 Kipheart Drive","Leesburg","VA","20176"
"Larry Graves Field Complex","300 Hillwood Avenue","Falls Church","VA","22042"
"Laurel Hill ES","8390 Laurel Crest Dr","Lorton","VA","22079"
"Laurel Hills Field","Rte 123 and Lorton Road,","Lorton","VA","22079"
"Laurel Springs","5940 Radio Station Rd","La Plata","MD","20646"
"Laurel Springs Regional Park","5940 Radio Station Road","La Plata","MD","20646"
"Laurel Springs Regional Park","5940 Radio Station Road","La Plata","MD","20646"
"Laurel WSSC Field","14500 Sweitzer Ln","Laurel","MD","20707"
"Lawrence Park","Route 28","Chantilly","VA",
"Leaman Local Park","14021 Eternity Road","Germantown","MD","20874"
"Lee District Park","6601 Telegraph Road","Alexandria","VA","22310"
"Lee High Park","Deepford Street","Springfield","VA","22150"
"Lee High School","6540 Franconia Rd","Springfield","VA","22150"
"Lees Corner","VA",,,
"Lees Corner ES","13500 Hollinger Avenue","Fairfax","VA","22033"
"Leesburg Annex Field","North Street","Leesburg","VA","20176"
"Leesburg FC Complex","1002 East Market Street/Rte 7","Leesburg","VA","20176"
"Legacy ES","22995 Minerva Drive","Ashburn","VA","20148"
"Legion Drive Field","Warrenton","VA",,
"Legion Field","8802 Courthouse Road (Rt 208)","Spotsylvania","VA","22553"
"Lemon Road ES","7230 Idlywood Road","McLean","VA","22043"
"Leo Santabella","Great Falls","Va 22042",,
"Lewinsville Center","1609 Great Falls St","McLean","VA","22101"
"Lewinsville Park","1659 Chain Bridge Road","McLean","VA","22101"
"Liberty ES","25491 Riding Center Blvd","South Riding","VA","20152"
"Liberty High School","6300 Independence Ave","Bealton","VA","22712"
"Limerick Field","1800 Limerick Dr","Alexandria","VA","22314"
"Linway Terrace","6246 Linway Terrace","McLean","VA","22101"
"Little River ES","43464 Hyland Hills Street","South Riding","VA","20152"
"Little Run ES","4511 Olley Ln","Fairfax","VA","22032"
"Lockmeade Park","1100 Riva Ridge Road","Great Falls","VA","22066"
"Loisdale Park","7601 Loisdale Road","Springfield","VA","22150"
"Long Bridge Park","475 S Old Jefferson Davis Highway","Arlington","VA","22202"
"Long Park","4603 James Madison Hwy","Haymarket","VA","20169"
"Loriella Park","10910 Leavells Rd","Fredericksburg","VA","22407"
"Lorton Station ES","9298 Lewis Chapel Road","Lorton","VA","22079"
"Loudoun Soccer Park","19798 Sycolin Road","Leesburg","VA","20177"
"Lower Potomac Park","9515 Richmond Highway","Lorton","VA","22079"
"Lowes Island ES","20755 Whitewater Drive","Sterling","VA","20165"
"Lucketts","14550 James Monroe Highway/Rte 15 N","Lucketts","VA","20177"
"Luther Jackson MS","3020 Gallows Road","Falls Church","VA","22042"
"Lynbrook ES","5801 Backlick Rd","Springfield","VA","22152"
"Lyndora Park","43624 Lucketts Bridge Circle","Ashburn","VA","20148"
"Madison Manor","N 12th Road","Arlington","VA","22205"
"Manchester Lakes","Charles Arrington Blvd","Alexandria","VA","22310"
"Marine Barracks","1000 7th Street SE","Washington","DC","20003-3627"
"Marshall ES","12505 Kahns Road","Manassas","VA","20112"
"Marshall High School","7731 Leesburg Pike","Falls Church","VA","22043"
"Marshall MS","4048 Zulla Road","Marshall","VA","20115"
"Marshall Rd. ES","Marshall Rd","Vienna","VA","22180"
"Martin Luther King Jr. ES","13224 Nickleson Dr","Woobridge","VA","22193"
"Martinsburg High School","701 W Queen St","Martinsburg","WV","25401"
"Mary Lee Carter Park","9901 Benchmark Road","Fredericksburg","VA","22408"
"Maryland Soccerplex","18031 Central Park Circle","Boyds","MD",
"Mason District Park","6621 Columbia Pike","Annandale","VA","22003"
"McLean HS","1633 Davidson Road","McLean","VA","22101"
"McLean Youth Soccer Field","8201 Lewinsville Rd","Mclean","VA","22102"
"McNair ES","2499 Thomas Jefferson Dr","Herndon","VA","20171"
"Meadow Hall ES","951 Twinbrook Parkway","Rockville","MD","20851"
"Meadow Lane Park","Vienna","VA",,
"Meadowlands ES","729 S Sugarland Run","Sterling","VA",
"Melcher Field at Old Gayle MS","Gayle Street at Melcher Drive","Falmouth","VA","22405"
"Mercer MS","42149 Greenstone Drive","Aldie","VA","20105"
"Mill Run ES","42901 Waxpool Rd","Ashburn","VA","20147"
"Miller School of Albemarle","1000 Samuel Miller Loop","Charlottesville","VA","22903"
"Minnie Howard Athletic Field","3801 W Braddock Road","Alexandria","VA",
"Monger Park","Rt 11 South","Mt Crawford","VA","22841"
"Montanus","VA",,,
"Montclair ES","Tallowwood Drive","Montclair","VA","22026"
"Monticello High School","1400 Independence Way","Charlottesville","VA","22902"
"MonU Park","1313 Polo Grounds Road","Charlottesville","VA","22911"
"Morgan Grove Park","4198 Kearneysville Pike","Shepherdstown","wv 25443",
"Morgan Grove Park (TCSC Fields)","4198 Kearneysville Pike","Shepherdstown","WV","25443"
"Morven Park","41793 Tutt Lane","Leesburg","VA","20176"
"Mount Jackson Press Bldg","Mt Jackson","VA",,
"Mount Vernon HS","8515 Old Mt Vernon Rd","Alexandria","VA","22309"
"Mountain View ES","Lightner Road","Haymarket","VA","20169"
"Muddy Hole","7900 Kidd Street","Alexandria","VA","22309"
"Muldoon's Farm","18911 Beallsville Rd","Poolesville","MD","20837"
"Mullen ES","8000 Rodes Drive","Manassas","VA","20109"
"Murphy Field at Dunn Loring Center","Intersection Gallows Rd and Idlywood Rd","Vienna","VA","22182"
"MYI/MYS","1301 Spring Hill Road","McLean","VA","22101"
"Nanny Lee Center","1108 JEFFERSON ST","ALEXANDRIA","VA","22314"
"Navy Elementary School","Fairfax","VA","22033",
"Newington Heights Park","8590 Heller Rd","Lorton","VA","22079"
"Newton Lee ES","43335 Gloucester Parkway","Ashburn","VA","20147"
"Nike Park","Utterback Store Road and Route 7","Great Falls","VA","20194"
"Nokesville",,,,
"Nokesville Park","Nokesville Park / Aden Road","Nokesville","VA","20136"
"North Newport Upper","VA",,,
"North Springfield","VA",,,
"Northern Fauquier Community Park","4155 Monroe Parkway","Marshall","VA","20115"
"Nottoway Park","9601 Courthouse Rd","Vienna","VA","22180"
"NOVA","1000 Harry Byrd Highway","Sterling","VA","20165"
"Oak Marr","3200 Jermantown Road","Oakton","VA","22124"
"Oakton HS","2900 Sutton Rd","Vienna","Va 22181",
"Occoquan ES","12915 Occoquan Road","Woodbridge","VA","22191"
"Occoquan Regional Park","9751 Ox Road","Lorton","VA","22079"
"Old Middle School","500 W 15th St","Front Royal","VA","22630"
"Old Mill Park","VA",,,
"Old Stafford MS","VA",,,
"Olde Creek ES","9524 Old Creek Drive","Fairfax","VA","22032"
"Ossian Hall Park","7900 Heritage Drive","Annandale","VA","22003"
"Palisades","5200 Sherier Place","NW","Washington","DC"
"Patawomeck Park","25 Chopawamsic Parkway","Stafford","VA","22554"
"Patrick Henry College","1 Patrick Henry Cir","Purcellville","VA","20132"
"Patriot Park - Fairfax","12111 Braddock Road","Fairfax","VA","22030"
"Patriot Park - Fredericksburg","5710 Smith Station Road","Fredericksburg","VA","22407"
"Patriot Park-Fredericksburg","5710 Smith Station Road","Frederickburg","VA","22407"
"PB Smith ES","6176 Dumfries Rd (Rt 605)","Warrenton","VA","20187"
"Pearson ES","9347 Bastable Mill Road","Catlett","VA","20119"
"Penn Elementary School","12980 Queen Chapel Road","Woodbridge","VA","22193"
"Pine Ridge Park","3401 Woodburn Rd","Annandale","VA","22003"
"Pine Spring ES","Pine Spring Dr","Falls Church","VA","22042"
"Pinebrook Elementary School","25480 Mindful Court","Aldie","VA","20105"
"Plum Center (Edsall Rd Park)","6815 Edsall Road","Springfield","VA","22151"
"Poe MS","7000 Cindy Lane","Annandale","VA","22003"
"Police Field","1437 Balls Hill Rd","McLean","VA","22101"
"Pope's Head","Revercomb Court","Fairfax","VA","22030"
"Poplar Tree Park","4718 Stringfellow Road","Chantilly","VA","20151"
"Porterfield Park","VA",,,
"Potomac Lakes Sportsplex","20280 Cascades Parkway","Sterling","VA","20165"
"Potomac Yards","2393 Jefferson Davis Hwy","Alexandria","VA","22301"
"Potomac Yards","2393 Jefferson Davis Hwy","Alexandria","VA","22301"
"Potomack ES","46465 Esterbrook Circle","Sterling","VA","20165"
"Powhatan Springs","6020 Wilson Blvd","Arlington","VA","22204"
"Pratt Park","120 River Road","Falmouth","VA","22405"
"Pratt Park","120 River Road","Falmouth","VA","22405"
"Private school",,,,
"Providence Park","West Drive","Fairfax City","VA","22030"
"Quartermaster","11395 Glade Dr","Reston","VA","20191"
"Quincy Street","1019 N Quincy St","Arlington","VA",
"Rachel Carson ES","100 Tschiffely Square Road","Gaithersburg","MD","20878"
"Rachel Carson MS","McLearen Road","Herndon","VA","20171"
"Ray Muth Park","20971 Marblehead Drive","Ashburn","VA","20147"
"RE Ayler MS",,,,
"RE Aylor MS","Aylor Rd","Stephens City","VA","22655"
"Ridge Rd Field Complex","1087 Ridge Rd (only approx address for gps","Martinsburg","WV","25403"
"Ridge Road Rec Center ü¾£¤¼ DC","800 Ridge Road SE","Washington","DC","20019"
"Ridge Road Recreational Park","21155 Frederick Road","Germantown","MD","20876"
"Ridge Road Recreational Park","21155 Frederick Road","Germantown","MD","20876"
"Riggs LaSalle Community Center","501 Riggs Rd NE","Washington","DC","20011"
"Ritchie ES","Broad Run Church Rd &amp; Riley Rd","New Baltimore","VA","20187"
"Rivendell Field","Rivendell","Front Royal","VA","22630"
"River Bend Middle School","46240 Algonkian Parkway","Sterling","VA","20165"
"Rivers Edge Farm","8707 Liberty Road","Frederick","MD",
"Riverside","1801 Monocacy Blvd","Frederick","Md",
"Riverside Center Park","1811 Monocacy Blvd","Frederick","MD","21701"
"Riverside HS","19019 Upper Belmont Place","Leesburg","VA","20175"
"Riverton Field",,,,
"Robinson Field Hockey","5035 Sideburn Rd","Fairfax","VA","22032"
"Robinson HS","5035 Sideburn Road","Fairfax","VA","22032"
"Rock Hill",,,,
"Rock Ridge HS","43460 Loudoun Reserve Drive","Ashburn","VA","20149"
"Rocky Run MS","Popular Tree Rd &amp; Stringfellow Rd","Chantilly","VA","20151"
"Rodney Thompson MS","75 Walpole St","Stafford","VA","22559"
"Rolling Valley","6512 Sydenstriker Rd","Burke","VA","22015"
"Rosa Lee Carter ES","43330 Loudoun Reserve Drive","Ashburn","VA","20148"
"Rosedale Rec Center, DC","500 19th St NE","Washington","DC","20002"
"Round Hill ES","17115 Evening Star Dr","Round Hill","VA",
"Rudolph Rec Center","2nd &amp; Hamilton Sts NW","Washington","DC","20010"
"Saint Anthony Church","3305 Glen Carlyn Rd","Falls Church","VA","22041"
