Field,Team1,Team2,Age.Group,Gender
z - Central Virginia United,CVU U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Central Virginia United,SOCA Cville U15 Boys Premier U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
z - Augusta,SOCA Augusta U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL,U15,Boys
z - Central Virginia United,NRU U14 Boys Blue U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - New River United,SOCA Augusta U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville U15 Boys Premier U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL,U15,Boys
z - Augusta,SOCA Augusta U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL,U15,Boys
Booster Park #1,Orange Fire 03/02 Boys U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
Zions Crossroads #1,SOCA Cville 03 Boys White U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,U16,Boys
Booster Park #1,SOCA Cville 03 Boys White U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
CVRSC #7,SOCA Cville 03 Boys Blue U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys White U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys Blue U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,U16,Boys
CVRSC #6,FYSA U16 Boys U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys Blue U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys Blue U16 Boys SCSL,SOCA Cville 03 Boys White U16 Boys SCSL,U16,Boys
CVRSC #7,Orange Fire 03/02 Boys U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys White U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,U16,Boys
Booster Park #1,SOCA Cville 03 Boys Blue U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys White U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys Blue U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
Zions Crossroads #1,FYSA U16 Boys U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
Booster Park #1,FYSA U16 Boys U16 Boys SCSL,Orange Fire 03/02 Boys U16 Boys SCSL,U16,Boys
Zions Crossroads #1,SOCA Cville 03 Boys Blue U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,U16,Boys
CVRSC #7,SOCA Cville 03 Boys White U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
Zions Crossroads #1,FYSA U16 Boys U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,U16,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Boys Blue U16 Boys SCSL,SOCA Cville 03 Boys White U16 Boys SCSL,U16,Boys
z - Augusta,SOCA Cville U16 Boys Premier U17 Boys SCSL,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,U17,Boys
z - New River United,NRU U15 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - Charlottesville,SOCA Cville U16 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Central Virginia United,CVU U16 Boys U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - New River United,NRU U15 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Shenandoah Valley United,CVU U16 Boys U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - New River United,SOCA Cville U16 Boys Premier U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL,U17,Boys
z - Augusta,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - Valley AFC,SVU U16/17 Boys U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - New River United,NRU U15 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Valley AFC,SOCA Cville U16 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Shenandoah Valley United,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Charlottesville,SOCA Cville U16 Boys Premier U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL,U17,Boys
z - Central Virginia United,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - Shenandoah Valley United,SVU U16/17 Boys U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Augusta,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL,U17,Boys
z - Charlottesville,SOCA Cville U16 Boys Premier U17 Boys SCSL,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,U17,Boys
z - Valley AFC,CVU U16 Boys U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Valley AFC,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Shenandoah Valley United,NRU U15 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Valley AFC,NRU U15 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Central Virginia United,CVU U16 Boys U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Central Virginia United,SOCA Cville U16 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - Charlottesville,SOCA Cville U16 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Augusta,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - Central Virginia United,NRU U15 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - New River United,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL,U17,Boys
z - Charlottesville,SOCA Cville U16 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL,U17,Boys
z - Augusta,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL,U17,Boys
z - Shenandoah Valley United,SOCA Cville U16 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL,U17,Boys
z - New River United,SOCA Cville U19 Boys Premier U19 Boys SCSL,NRU U19 Boys Premier U19 Boys SCSL,U19,Boys
z - New River United,NRU U17 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U19 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,CVU U18 Boys U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U17 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Shenandoah Valley United,CVU U18 Boys U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - New River United,SOCA Cville U19 Boys Premier U19 Boys SCSL,NRU U17 Boys Premier U19 Boys SCSL,U19,Boys
z - Valley AFC,SVU U19 Boys U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U19 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U17 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,SOCA Cville U19 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Shenandoah Valley United,NRU U19 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U19 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U19 Boys Premier U19 Boys SCSL,NRU U17 Boys Premier U19 Boys SCSL,U19,Boys
z - Shenandoah Valley United,SVU U19 Boys U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U19 Boys Premier U19 Boys SCSL,NRU U19 Boys Premier U19 Boys SCSL,U19,Boys
z - Valley AFC,CVU U18 Boys U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,NRU U19 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Shenandoah Valley United,NRU U17 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,NRU U17 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,CVU U18 Boys U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,SOCA Cville U19 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U19 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,NRU U17 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U19 Boys Premier U19 Boys SCSL,NRU U17 Boys Premier U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U19 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U19 Boys Premier U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL,U19,Boys
z - Shenandoah Valley United,SOCA Cville U19 Boys Premier U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,NRU U19 Boys Premier U19 Boys SCSL,CVU U18 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U19 Boys Premier U19 Boys SCSL,NRU U17 Boys Premier U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Cville U17 Boys Premier U19 Boys SCSL,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,U19,Boys
z - New River United,NRU U16 Boys U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U17 Boys Premier U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,CVU U17 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U16 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Fluvanna Force,CVU U17 Boys U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - New River United,SOCA Cville U17 Boys Premier U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,FYSA U17 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - New River United,NRU U16 Boys U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,SOCA Cville U17 Boys Premier U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U17 Boys Premier U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - Fluvanna Force,FYSA U17 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Fluvanna Force,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U17 Boys Premier U19 Boys SCSL,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,U19,Boys
z - Fluvanna Force,SOCA Cville U17 Boys Premier U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Fluvanna Force,NRU U16 Boys U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,NRU U16 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,SOCA Cville U17 Boys Premier U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U17 Boys Premier U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,NRU U16 Boys U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - New River United,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL,U19,Boys
z - Charlottesville,SOCA Cville U17 Boys Premier U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
z - Central Virginia United,CVU U17 Boys U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL,U19,Boys
z - Valley AFC,CVU U17 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL,U19,Boys
Luray High School #1,FSCI Academy FC Fury U17 U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
Vinyard East #4,GFC Dynamo U19 Boys U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Hoover Ridge Large,SOCA Cville 01 Boys Classic U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 01 Boys Classic U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
Patriot Park #5,FSCI Academy FC Fury U17 U19 Boys SCSL,GFC Dynamo U19 Boys U19 Boys SCSL,U19,Boys
Hoover Ridge Large,Valley FC U19B Black U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 01 Boys Classic U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Greene County Community Park (GCCP) Rear,GFC Dynamo U19 Boys U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
Patriot Park #5,FSCI Academy FC Fury U17 U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 01 Boys Classic U19 Boys SCSL,FSCI Academy FC Fury U17 U19 Boys SCSL,U19,Boys
Greene County Community Park (GCCP) Rear,SOCA Cville 01 Boys Classic U19 Boys SCSL,GFC Dynamo U19 Boys U19 Boys SCSL,U19,Boys
Vinyard East #4,FSCI Academy FC Fury U17 U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Hoover Ridge Large,Luray Valley U19 Boys U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Luray High School #1,SOCA Cville 01 Boys Classic U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 01 Boys Classic U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Greene County Community Park (GCCP) Rear,GFC Dynamo U19 Boys U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Luray High School #1,Luray Valley U19 Boys U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Hoover Ridge Large,GFC Dynamo U19 Boys U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Vinyard East #4,Valley FC U19B Black U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Greene County Community Park (GCCP) Rear,FSCI Academy FC Fury U17 U19 Boys SCSL,GFC Dynamo U19 Boys U19 Boys SCSL,U19,Boys
Luray High School #1,GFC Dynamo U19 Boys U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
Vinyard East #4,SOCA Cville 01 Boys Classic U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Hoover Ridge Large,FSCI Academy FC Fury U17 U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Greene County Community Park (GCCP) Rear,GFC Dynamo U19 Boys U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Vinyard East #4,Luray Valley U19 Boys U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
Patriot Park #5,SOCA Cville 01 Boys Classic U19 Boys SCSL,FSCI Academy FC Fury U17 U19 Boys SCSL,U19,Boys
Patriot Park #5,FSCI Academy FC Fury U17 U19 Boys SCSL,Valley FC U19B Black U19 Boys SCSL,U19,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 01 Boys Classic U19 Boys SCSL,GFC Dynamo U19 Boys U19 Boys SCSL,U19,Boys
Luray High School #1,Luray Valley U19 Boys U19 Boys SCSL,Madison U18B U19 Boys SCSL,U19,Boys
Patriot Park #5,FSCI Academy FC Fury U17 U19 Boys SCSL,Luray Valley U19 Boys U19 Boys SCSL,U19,Boys
z - Augusta,SOCA Cville U12 Girls Premier U12 Girls SCSL,SOCA Augusta U12 Girls Premier U12 Girls SCSL,U12,Girls
z - New River United,NRU U12 Girls U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - Charlottesville,SOCA Cville U12 Girls Premier U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Augusta,SOCA Augusta U12 Girls Premier U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL,U12,Girls
z - Central Virginia United,CVU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - New River United,NRU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Shenandoah Valley United,CVU U12 Girls U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - New River United,SOCA Cville U12 Girls Premier U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL,U12,Girls
z - Augusta,SOCA Augusta U12 Girls Premier U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - Valley AFC,SVU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - New River United,NRU U12 Girls U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Valley AFC,SOCA Cville U12 Girls Premier U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Shenandoah Valley United,SOCA Augusta U12 Girls Premier U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Charlottesville,SOCA Cville U12 Girls Premier U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL,U12,Girls
z - Central Virginia United,SOCA Augusta U12 Girls Premier U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - Shenandoah Valley United,SVU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Charlottesville,SOCA Cville U12 Girls Premier U12 Girls SCSL,SOCA Augusta U12 Girls Premier U12 Girls SCSL,U12,Girls
z - Shenandoah Valley United,SOCA Cville U12 Girls Premier U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Valley AFC,CVU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Valley AFC,SOCA Augusta U12 Girls Premier U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Shenandoah Valley United,NRU U12 Girls U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Valley AFC,NRU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Central Virginia United,CVU U12 Girls U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Central Virginia United,SOCA Cville U12 Girls Premier U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - Charlottesville,SOCA Cville U12 Girls Premier U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
z - Augusta,SOCA Augusta U12 Girls Premier U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL,U12,Girls
z - Central Virginia United,NRU U12 Girls U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - New River United,SOCA Augusta U12 Girls Premier U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL,U12,Girls
z - Charlottesville,SOCA Cville U12 Girls Premier U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL,U12,Girls
z - Augusta,SOCA Augusta U12 Girls Premier U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls Blue U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
William Monroe High School - Upper Field,SOCA Cville 06 Girls White U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
Zions Crossroads #2,SOCA Cville 07 Girls Classic U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
Zions Crossroads #2,SOCA Cville 06 Girls Blue U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls White U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,SOCA Cville 06 Girls White U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls Blue U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
Booster Park #2,Orange Fire 07/06 Girls U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
William Monroe High School - Upper Field,GFC Fusion U12 Girls U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
Booster Park #2,SOCA Cville 07 Girls Classic U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls Blue U12 Girls SCSL,SOCA Cville 06 Girls White U12 Girls SCSL,U12,Girls
Zions Crossroads #2,SOCA Cville 06 Girls White U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,SOCA Cville 06 Girls Blue U12 Girls SCSL,U12,Girls
William Monroe High School - Upper Field,SOCA Cville 07 Girls Classic U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls Blue U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
Booster Park #2,SOCA Cville 06 Girls White U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
William Monroe High School - Upper Field,Orange Fire 07/06 Girls U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
Booster Park #2,SOCA Cville 06 Girls Blue U12 Girls SCSL,Orange Fire 07/06 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls White U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,SOCA Cville 06 Girls White U12 Girls SCSL,U12,Girls
William Monroe High School - Upper Field,SOCA Cville 06 Girls Blue U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
Zions Crossroads #2,Orange Fire 07/06 Girls U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
Booster Park #2,Orange Fire 07/06 Girls U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Girls Classic U12 Girls SCSL,SOCA Cville 06 Girls Blue U12 Girls SCSL,U12,Girls
Zions Crossroads #2,GFC Fusion U12 Girls U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls Blue U12 Girls SCSL,SOCA Cville 06 Girls White U12 Girls SCSL,U12,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Girls White U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,U12,Girls
z - Augusta,SOCA Cville U13 Girls Premier U13 Girls SCSL,SOCA Augusta U13 Girls Premier U13 Girls SCSL,U13,Girls
z - New River United,NRU U13 Girls U13 Girls SCSL,CVU U13 Girls U13 Girls SCSL,U13,Girls
z - Augusta,SOCA Augusta U13 Girls Premier U13 Girls SCSL,NRU U13 Girls U13 Girls SCSL,U13,Girls
