Field,Team1,Team2,Age.Group,Gender
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Boys White U12 Boys SCSL,SOCA Aug 07/06 Boys Classic U12 Boys SCSL,U12,Boys
CVRSC #5,SOCA Cville 06 Boys Blue U12 Boys SCSL,CVU 07/06 Boys U12 Boys SCSL,U12,Boys
Monger #3,SOCA Cville 06 Boys Blue U12 Boys SCSL,SVU U12 Boys White U12 Boys SCSL,U12,Boys
Ridgeview #3,SOCA Aug 07/06 Boys Classic U12 Boys SCSL,CVU 07/06 Boys U12 Boys SCSL,U12,Boys
CVRSC #5,SOCA Cville 06 Boys White U12 Boys SCSL,CVU 07/06 Boys U12 Boys SCSL,U12,Boys
Ridgeview #3,SOCA Aug 07/06 Boys Classic U12 Boys SCSL,SVU U12 Boys White U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 06 Boys Blue U12 Boys SCSL,SOCA Cville 06 Boys White U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Cville U12 Boys Premier U12 Boys SCSL,SOCA Augusta U12 Boys Premier U12 Boys SCSL,U12,Boys
z - New River United,NRU U12 Boys U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - Charlottesville,SOCA Cville U12 Boys Premier U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Augusta U12 Boys Premier U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL,U12,Boys
z - Central Virginia United,CVU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - New River United,NRU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Shenandoah Valley United,CVU U12 Boys U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - New River United,SOCA Cville U12 Boys Premier U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Augusta U12 Boys Premier U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - Valley AFC,SVU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - New River United,NRU U12 Boys U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Valley AFC,SOCA Cville U12 Boys Premier U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Shenandoah Valley United,SOCA Augusta U12 Boys Premier U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Charlottesville,SOCA Cville U12 Boys Premier U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL,U12,Boys
z - Central Virginia United,SOCA Augusta U12 Boys Premier U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - Shenandoah Valley United,SVU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Charlottesville,SOCA Cville U12 Boys Premier U12 Boys SCSL,SOCA Augusta U12 Boys Premier U12 Boys SCSL,U12,Boys
z - Shenandoah Valley United,SOCA Cville U12 Boys Premier U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Valley AFC,CVU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Valley AFC,SOCA Augusta U12 Boys Premier U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Shenandoah Valley United,NRU U12 Boys U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Valley AFC,NRU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Central Virginia United,CVU U12 Boys U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Central Virginia United,SOCA Cville U12 Boys Premier U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - Charlottesville,SOCA Cville U12 Boys Premier U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Augusta U12 Boys Premier U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL,U12,Boys
z - Central Virginia United,NRU U12 Boys U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - New River United,SOCA Augusta U12 Boys Premier U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL,U12,Boys
z - Charlottesville,SOCA Cville U12 Boys Premier U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Augusta U12 Boys Premier U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL,U12,Boys
z - Augusta,SOCA Cville U13 Boys Premier U13 Boys SCSL,SOCA Augusta U13 Boys Premier U13 Boys SCSL,U13,Boys
z - New River United,CVU U13 Boys U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Charlottesville,SOCA Cville U13 Boys Premier U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
z - Augusta,SOCA Augusta U13 Boys Premier U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Central Virginia United,CVU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Shenandoah Valley United,CVU U13 Boys U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
z - New River United,NRU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - New River United,SOCA Cville U13 Boys Premier U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Augusta,SOCA Augusta U13 Boys Premier U13 Boys SCSL,CVU U13 Boys U13 Boys SCSL,U13,Boys
z - Valley AFC,SVU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - New River United,SVU U13 Boys U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Valley AFC,SOCA Cville U13 Boys Premier U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Shenandoah Valley United,SOCA Augusta U13 Boys Premier U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
