"Home","Away","Field"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC Rapids U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Revolution U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Rapids U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Rapids U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CSL Wolverines U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Churchland Park Field  6"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7"
"Smithfield Flames U10 Boys TASL","CSC Avengers U10 Boys TASL","Carrollton Nike Park  1"
"CSC Avengers U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Centerville Complex Field 7b"
"Beach FC Ghent Racers U10 Boys TASL","CSC Avengers U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"CSL Wolverines U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Churchland Park Field  6"
"CSC Avengers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Centerville Complex Field 7b"
"Suffolk Rampage U10 Boys TASL","CSL Wolverines U10 Boys TASL","SYAA Field 7"
"Suffolk Rampage U10 Boys TASL","CSC Avengers U10 Boys TASL","SYAA Field 7"
"CSC Avengers U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Centerville Complex Field 7b"
"CSC Avengers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Centerville Complex Field 7b"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1"
"Portsmouth Ecudor U10 Boys TASL","CSC Avengers U10 Boys TASL","John Tyler Complex Field 3"
"Portsmouth Ecudor U10 Boys TASL","CSL Wolverines U10 Boys TASL","John Tyler Complex Field 3"
"Beach FC Ghent Racers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CSL Wolverines U10 Boys TASL","Smithfield Flames U10 Boys TASL","Churchland Park Field  6"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7"
"Beach FC Ghent Racers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"Smithfield Flames U10 Boys TASL","CSL Wolverines U10 Boys TASL","Carrollton Nike Park  1"
"Beach FC Ghent Racers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"Beach FC Fire U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"WBSC Gunners U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Joliff Middle School Field 3"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC United U10 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC Fire U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC United U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Fire U10 Boys TASL","Beach FC United U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"AYSO Arsenal U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","AYSO Cornland Park Field 3"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC Fire U10 Boys TASL","Warhill Soccer Complex Field 4"
"WBSC Gunners U10 Boys TASL","Beach FC Fire U10 Boys TASL","Joliff Middle School Field 3"
"AYSO Arsenal U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","AYSO Cornland Park Field 3"
"Beach FC United U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC Fire U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"Beach FC Fire U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Va Legacy PEN Titans U10 Boys TASL","Beach FC United U10 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC United U10 Boys TASL","WBSC Gunners U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"WBSC Gunners U10 Boys TASL","Beach FC Fire U10 Boys TASL","Joliff Middle School Field 3"
"AYSO Arsenal U10 Boys TASL","Va Legacy PEN Titans U10 Boys TASL","AYSO Cornland Park Field 3"
"WBSC Gunners U10 Boys TASL","AYSO Arsenal U10 Boys TASL","Joliff Middle School Field 3"
"Beach FC United U10 Boys TASL","WBSC Gunners U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","Beach FC United U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"Va Legacy PEN Titans U10 Boys TASL","WBSC Gunners U10 Boys TASL","Warhill Soccer Complex Field 4"
