"Field"
"Albemarle School Field 1"
"Albemarle School Field 2"
"AYSO Cornland Park Field 1"
"AYSO Cornland Park Field 2"
"AYSO Cornland Park Field 3"
"AYSO Cornland Park Field 5"
"Carrollton Nike Park  1"
"Carrollton Nike Park 2"
"Carrollton Nike Park 3"
"Centerville 10"
"Centerville Compex 9B"
"Centerville Complex Field 6"
"Centerville Complex Field 7A"
"Centerville Complex Field 7b"
"Centerville Complex Field 9"
"Churchland Park Field  1"
"Churchland Park Field  3"
"Churchland Park Field  6"
"Churchland Park Field 11"
"Franklin Soccer Field 1"
"Hampton Roads Soccer Complex  9"
"Hampton Roads Soccer Complex 6"
"Hampton Roads Soccer Complex Field 11"
"Hampton Roads Soccer Complex Field 13A"
"Hampton Roads Soccer Complex Field 13B"
"Hampton Roads Soccer Complex Field 13C"
"Hampton Roads Soccer Complex Field 14"
"Hampton Roads Soccer Complex Field 15"
"Hampton Roads Soccer Complex Field 16"
"Hampton Roads Soccer Complex Field 18A"
"Hampton Roads Soccer Complex Field 18B"
"Hampton Roads Soccer Complex Field 19"
"John Tyler Complex Field 1"
"John Tyler Complex Field 2"
"John Tyler Complex Field 3"
"Joliff Middle School Field 1"
"Joliff Middle School Field 2"
"Joliff Middle School Field 3"
"Lake Taylor Soccer Complex Field 10"
"Lake Taylor Soccer Complex Field 11"
"Lake Taylor Soccer Complex Field 13"
"Lake Taylor Soccer Complex Field 14"
"Lake Taylor Soccer Complex Field 15"
"SYAA Field 4"
"SYAA field 5"
"SYAA Field 6"
"SYAA Field 7"
"Wahrill Soccer Complex Field 2"
"Warhill Soccer Complex 6"
"Warhill Soccer Complex Field 4"
