"Home","Away","Field"
"CSC 11U 07B Navy U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Christiansburg Middle School Field 3"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Countryside Sportsplex Advance Auto A"
"Danville Blast U11 Boys U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Dan Daniel Memorial Park Field 2"
"New River United 07B White U11B U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Kipps Elementary Field 2"
"CSC 11U 07B Navy U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Good Shepherd Baptist Church Field 1"
"CSC 11U 07B Navy U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Christiansburg Middle School Field 3"
"Danville Blast U11 Boys U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Dan Daniel Memorial Park Field 2"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Smith River Sports Complex Field 3B"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Smith River Sports Complex Field 3B"
"CSC 11U 07B Navy U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Good Shepherd Baptist Church Field 1"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Countryside Sportsplex Advance Auto A"
"Salem Sabres U11B Maroon U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","St John's Place Field 1"
"Danville Blast U11 Boys U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Dan Daniel Memorial Park Field 2"
"New River United 07B White U11B U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Va Tech Rec Sports Turf (VTRST) Field 3"
"Danville Blast U11 Boys U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Dan Daniel Memorial Park Field 2"
"Salem Sabres U11B Maroon U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","St John's Place Field 1"
"New River United 07B White U11B U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Kipps Elementary Field 2"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Smith River Sports Complex Field 3B"
"Salem Sabres U11B Maroon U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","St John's Place Field 1"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Countryside Sportsplex Advance Auto A"
"New River United 07B White U11B U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Va Tech Rec Sports Turf (VTRST) Field 3"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Countryside Sportsplex Advance Auto A"
"Salem Sabres U11B Maroon U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","St John's Place Field 1"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Smith River Sports Complex Field 3B"
"Salem Sabres U12B White U11 Boys BRSL","Smith Mountain Lake Jets 11UB U11 Boys BRSL","St John's Place Field 1"
"Smith Mountain Lake Jets 11UB U11 Boys BRSL","Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Dudley Elementary School Field 1"
"CSC 11U 07B White U11 Boys BRSL","SWVA 12U (06B) Nero U11 Boys BRSL","Good Shepherd Baptist Church Field 1"
"Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","SWVA 12U (06B) Nero U11 Boys BRSL","Jordan's Point Field 1"
"Rockbridge United Augusta U11B U11 Boys BRSL","Salem Sabres U12B White U11 Boys BRSL","Jordan's Point Field 1"
"SWVA 12U (06B) Nero U11 Boys BRSL","Salem Sabres U12B White U11 Boys BRSL","New River Community College Field 2"
"Rockbridge United Augusta U11B U11 Boys BRSL","CSC 11U 07B White U11 Boys BRSL","Jordan's Point Field 1"
"CSC 11U 07B White U11 Boys BRSL","Salem Sabres U12B White U11 Boys BRSL","Good Shepherd Baptist Church Field 1"
"Rockbridge United Augusta U11B U11 Boys BRSL","Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Jordan's Point Field 1"
"SWVA 12U (06B) Nero U11 Boys BRSL","Smith Mountain Lake Jets 11UB U11 Boys BRSL","New River Community College Field 2"
"Salem Sabres U12B White U11 Boys BRSL","Rockbridge United Augusta U11B U11 Boys BRSL","St John's Place Field 1"
"SWVA 12U (06B) Nero U11 Boys BRSL","Rockbridge United Augusta U11B U11 Boys BRSL","New River Community College Field 2"
"Salem Sabres U12B White U11 Boys BRSL","Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","St John's Place Field 1"
"SWVA 12U (06B) Nero U11 Boys BRSL","CSC 11U 07B White U11 Boys BRSL","New River Community College Field 2"
"Smith Mountain Lake Jets 11UB U11 Boys BRSL","Rockbridge United Augusta U11B U11 Boys BRSL","Dudley Elementary School Field 1"
"Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Salem Sabres U12B White U11 Boys BRSL","Jordan's Point Field 1"
"CSC 11U 07B White U11 Boys BRSL","Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Christiansburg Middle School Field 3"
"Smith Mountain Lake Jets 11UB U11 Boys BRSL","SWVA 12U (06B) Nero U11 Boys BRSL","Dudley Elementary School Field 1"
"Salem Sabres U12B White U11 Boys BRSL","CSC 11U 07B White U11 Boys BRSL","St John's Place Field 1"
"Rockbridge United Augusta U11B U11 Boys BRSL","SWVA 12U (06B) Nero U11 Boys BRSL","Jordan's Point Field 1"
"Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Smith Mountain Lake Jets 11UB U11 Boys BRSL","Washington & Lee University Liberty Hall Turf Field 1"
"Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","Rockbridge United Augusta U11B U11 Boys BRSL","Washington & Lee University Liberty Hall Turf Field 1"
