"Field"
"Bailey Road Park - Field 1 (upper)"
"Bailey Road Park - Field 2 (lower)"
"BBandT Soccer Park - Field 1"
"BBandT Soccer Park - Field 3"
"BBandT Soccer Park - Field 5"
"BP Field - BP 02 Triton Management"
"BP Field - BP 03 Wrangler"
"BP Field - BP 07"
"BP Field - BP 08 Secret"
"BP Field - BP 12"
"BP Field - Field 4"
"Bryan Park - Field 10"
"Bryan Park - Field 11"
"Lewinsville Park - Field 2"
"Lewinsville Park - Field 3"
"Matthews Sportsplex - Field 1"
"Matthews Sportsplex - Field 6"
"Matthews Sportsplex - Field 7"
"Matthews Sportsplex - Field 8"
"Matthews Sportsplex - Field 9"
"Mesa Complex - Field 4"
"Mesa Complex - Field 5"
"Ramblewood - Field 10"
"Ramblewood - Field 8"
"Ramblewood - Field 9"
"River Bluff High School Stadium - Stadium"
"River City Sportsplex - Field 11"
"River City Sportsplex - Field 12"
"Robinson High School - Stadium Turf"
"Robinson High School - Upper Turf"
"SCUFC Monticello Road Complex - Field 3"
"SCUFC Monticello Road Complex - Stadium A"
"SCUFC Monticello Road Complex - Stadium B"
"Spring Hill Rec Center - Field 5"
"Ukrop Park - Turf Field 1"
"Ukrop Park - Turf Field 2"
"West Creek - Field 10"
"West Creek - Field 8"
"Woodson High School - Auxiliary Turf Field"
"Woodson High School - Stadium Turf"
"WRAL Soccer Center - Accentuate Staffing"
"WRAL Soccer Center - Powerade #3"
"WRAL Soccer Center - Stadium"
"WRAL Soccer Center - Travers Lasik"
